tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612948,121,,Marcus78,2020-08-09T15:08:18+00:00,0,6,Vaya coincidencia
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612768,120,,--494665--,2020-08-09T14:40:38+00:00,0,7,"#_119 Jajajaj, bloqueando a lo cerdo. Ese es tu nivel obviamente, nivel basura.

Comportarte como una mierda por internet es tu forma de ser. Lo siento. Intenta ser mejor."
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612755,119,118.0,Benja_Bueno,2020-08-09T14:39:03+00:00,1,1,"#118 Yo te he insultado y soy desagradable?? {lol} {lol} {lol}  yo sigo el nivel de mi interlocutor, que es lo correcto en estos casos

Tu problema es que el guion ese que tienes se te ha terminado rápido, como a cualquier fachilla que habla de inmigración, has intentado ponerte a discutir tonterías semánticas, poniéndote tu solo en evidencia, para intentar escapar y no quedar en evidencia, no cuela.

Visto tu aporte y tu nivel tu sitio es el cajón de los ignores, hasta luego salado, ah, y lee mas, que es importante."
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612687,118,117.0,--494665--,2020-08-09T14:31:04+00:00,0,7,"#117 ¿Por que te iba responder nadie a nada?

Te comportas de una forma desagradable, insultado a gente que no conoces de nada. No, gracias.   {palm}"
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612667,117,116.0,Benja_Bueno,2020-08-09T14:28:03+00:00,0,8,"#116 Lo dicho, no tienes ni puta idea de lo que es una ironía.

Pero yo aquí no vengo a discutir de semántica, ya que demuestras ir bastante justo y no tiene sentido.

Volviendo al tema en cuestión, vas a responder a la pregunta?"
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612610,116,115.0,--494665--,2020-08-09T14:20:36+00:00,0,7,"#115 Intentas colar varias falacias del hombre de paja como si fuera ironía. Qué patetico es eso?

{palm} {palm} {palm}"
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612439,115,114.0,Benja_Bueno,2020-08-09T13:53:51+00:00,0,8,"#114 Te copió y te pego la respuesta en la que te has perdido, no sólo no pillas las ironías, ademas te cuesta seguir un hilo de conversación y eso que este es cortito, igual deberías probar forocoches:


 ”Tenemos las fronteras abiertas? Primera noticia, habrá que comentarselo a la GC que las custodia, muchas veces jugándose el tipo. 

Y en tu mundo ideal de la piruleta en el consigues lo que ningún país del mundo ha conseguido jamás con la inmigración ilegal que es evitarla, que haces con los que se han colado?“

Joder he vuelto a leer el primer párrafo y es que si no pillas esa ironía macho... {lol} {lol} {palm} {palm}"
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612409,114,113.0,--494665--,2020-08-09T13:48:54+00:00,0,7,"#113 Que pais de piruleta mio?

¿Eres incapaz de hablar sin inventarte gilipolleces?"
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612389,113,111.0,Benja_Bueno,2020-08-09T13:45:24+00:00,0,8,"#111 Sabes lo que es la ironía?? {lol} {lol} {lol} {lol} {lol} {lol} 

Si no pillas esa ironía te resultará complicado hablar aquí de cualquier tema, pero tranquilo, visto tu nivel a cada ironía pondré este emoticono detrás {troll} justo detrás y te entrecomillaré la frase para que así no tengas más dudas. 

Ahora al lío, que te despistas en seguida, que haces con los que ya se te han colado “en ese país de la piruleta tuyo” {troll}"
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612358,112,,Ka1900,2020-08-09T13:41:41+00:00,0,6,No deja de ser curioso que tras este partido se esconda tanta escoria incongruente.
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612346,111,110.0,--494665--,2020-08-09T13:40:21+00:00,0,7,"#110 Fronteras abiertas?  {lol} {lol} 

Necesitas inventarte chorradas como argumento?. Que triste, macho"
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612295,110,108.0,Benja_Bueno,2020-08-09T13:32:10+00:00,0,8,"#108 Tenemos las fronteras abiertas? Primera noticia, habrá que comentarselo a la GC que las custodia, muchas veces jugándose el tipo. 

Y en tu mundo ideal de la piruleta en el consigues lo que ningún país del mundo ha conseguido jamás con la inmigración ilegal que es evitarla, que haces con los que se han colado?"
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612183,109,74.0,asfaltaplayas,2020-08-09T13:10:57+00:00,0,13,"#74 Sí, y me jode porque lo de la fecha ni lo he mirado pero lo gracioso es que me acordé al de un rato de ponerlo que había sido en Murcia y no en Jaen pero ya no lo podía editar."
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612075,108,107.0,--494665--,2020-08-09T12:56:21+00:00,0,7,#107 Por eso hay que poner mayor seguridad para que lleguen los menos posibles.
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612052,107,106.0,Benja_Bueno,2020-08-09T12:53:50+00:00,0,8,"#106 ah ya, coger a todos los ilegales que entren al país y devolverlos a...

Vaya otro plan sin fisuras {shit} {shit} {shit}"
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30612039,106,105.0,--494665--,2020-08-09T12:52:10+00:00,0,7,"#105 Ah ya. Coger a todos los ilegales que entren al pais y darles papeles.

Parece una idea sin fisuras. {roll} {roll}"
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30611992,105,103.0,Benja_Bueno,2020-08-09T12:45:38+00:00,0,8,"#103 Doble sándwich? Lo que se pretende es regularizar su situación, para doble sándwich el de la derecha que propone devolverlos a su país, como si se supiese cuál es"
inmigracion,https://www.meneame.net/story/empresario-abandono-cadaver-inmigrante-era-apoderado-vox,3360716,30611965,104,,azvez,2020-08-09T12:39:43+00:00,0,6,LA NOTICIA ES DE DICIEMBRE DE 2019!!!! Espero que esto no sea un burdo montaje para mezclar la última salvajada del temporero de Murcia con VOX. Porque además el único detenido por eso es otro inmigrante ecuatoriano que era el manijero.
