tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26241062,82,81.0,--586887--,2019-01-28T14:56:25+00:00,0,7,"#81 seguro que sí, no lo pongo en duda.

Sería impensable que se usasen los recursos de la fiesta para la manifestación, o que se utilizase la fiesta como una reivindicación política, que para el caso sería lo mismo.

Son dos cosas separadas, que gestionan organizaciones independientes entre sí.

El dinero que recibe la asociación de festejos LGTBI no pasa por las manos de la asociación por la defensa de los derechos LGTBI.

Y por si hay alguna persona que pueda albergar tal sospecha, hay mecanismos de fiscalización como los que impiden a otro tipo de organizaciones políticas hacer trapicheos semejantes."
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26240828,81,79.0,--264566--,2019-01-28T14:25:57+00:00,0,10,#79 La manifestación de hecho no los recibe.
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26237521,80,8.0,Graffin,2019-01-28T08:05:12+00:00,1,20,"#8 Y podemos enterrar a Franco también ahí, así no colapsamos la zona de la Almudena con fachas."
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26237385,79,77.0,--586887--,2019-01-28T07:29:52+00:00,0,7,#77 las manifestaciones no deben recibir fondos públicos
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26237040,78,,--530071--,2019-01-28T02:14:45+00:00,0,8,Si funciona bien al año siguiente les van ofrecer instalarse en unos pavellones donde hay unas duchas de gas gratis.
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26237031,77,72.0,--264566--,2019-01-28T02:07:17+00:00,0,10,"#72 Manifestacion, seguida de fiesta. Pero nació y sigue siendo una manifestación."
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26236569,76,31.0,Esperanza_MM,2019-01-27T22:44:34+00:00,1,19,"#31 Ojalá, por mí encantada."
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26236237,75,1.0,--588850--,2019-01-27T21:37:13+00:00,2,32,#1 pues lo mismo con las procesiones de semana santa
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26236204,74,31.0,Feindesland,2019-01-27T21:29:01+00:00,0,15,"#31 ¿La de Madrid?

Trato hecho

{lol} {lol} {lol}"
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26235990,73,1.0,--538651--,2019-01-27T20:43:54+00:00,4,50,"#1 Se ofrece CM/troll amateur con mucha experiencia para partidos de derechas. Miles de cuentas cerradas le avalan. Al ser liberal en lo económico, se ofrece a cobrar la voluntad, porque está en contra del salario mínimo y entiende que es el empresario el que le hace un favor al darle un trabajo, por lo que está muy agradecido. También trabajará todas las horas que le digan, pues está en contra de los derechos laborales y le parecen algo propio de los países comunistas que él tanto detesta. Interesados preguntar en menéame por ""bienhecho"" (el número puede variar)."
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26235673,72,51.0,--586887--,2019-01-27T19:52:12+00:00,0,7,"#51 ¿visibilidad por qué?

¿Es una fiesta o una manifestación?"
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26235665,71,,tiopio,2019-01-27T19:50:58+00:00,0,16,Y las procesiones.
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26235651,70,,jm22381,2019-01-27T19:48:16+00:00,2,42,Y la Semana Santa al Valle de los Caídos ahora que va a quedar libre {troll}
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26235623,69,,fpove,2019-01-27T19:44:38+00:00,2,17,"Es lo que tienen los partidos populistas, que aplican el cuento a los demas pero a ellos no.

Imaginaos que alguien dijera lo mismo de la semana santa, veriais lo ofendiditos que estarian."
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26235506,68,8.0,--224180--,2019-01-27T19:23:41+00:00,2,39,#8 ¡Que hagan lo mismo con la huelga de taxistas!
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26235471,67,32.0,Urasandi,2019-01-27T19:15:56+00:00,1,13,#32 ... y VOX suelta estas gansadas para lograr visibilidad.
lgtbi,https://www.meneame.net/story/vox-propone-llevarse-orgullo-gay-casa-campo-no-colapsar-madrid,3074042,26235438,66,62.0,--44380--,2019-01-27T19:08:19+00:00,2,36,"#62 Por la Selección no parece que haya que preocuparse últimamente {grin}

Y los del atléti somos cuidadosos {grin}"
