tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27159434,48,47.0,--19782--,2019-06-08T07:40:50+00:00,0,12,#47 esto está lleno de Trolls te pregunté para asegurarme y si lo eras ignorarte en Mnm
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27158220,47,46.0,--351185--,2019-06-07T20:20:11+00:00,0,13,#46  Gracias por retirar lo de troll. Nunca opino para fastidiar. Saludos.
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27158201,46,42.0,--19782--,2019-06-07T20:14:57+00:00,0,12,"#42 Bueno, te doy la razon, habia leido todos los sitios donde ponia pederasta y en la última no lo ponia, asi que no me la leí. Te doy la razón, disculpa por el despiste. {hug} Retiro lo de troll. Me había parecido el señor majete en toda la entrevista... pero claro ahí ya se le ha visto el plumero"
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27158181,45,44.0,--19782--,2019-06-07T20:12:12+00:00,0,12,#44 Edit
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27157748,44,25.0,--351185--,2019-06-07T18:06:39+00:00,0,13,"#25 le las dos ultimas preguntas y respuestas y veras como el tipo hace la vista gorda ante los abusos, dice que son cosas del pasado y que la iglesia no debe pedir perdón por eso si no los que los cometieron ( al amparo de su poder por ser gente de la iglesia)….
 de invento nada. Que las cosas no son literales pero son."
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27157738,43,24.0,--351185--,2019-06-07T18:04:54+00:00,0,13,#24  Y tiene  el valor de decir que fue en tiempos pasados cuando está pasando  tb hoy en dia..hay que ser miserable. Y  se atreve a añadir que   hay menos pederastia al igual que ahora hay menos politicos corruptos.....
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27157706,42,24.0,--351185--,2019-06-07T17:57:48+00:00,0,13,"#24 Me lo han pasado por facebook. ( ironic mode)
 Lee la ultima pregunta y respuesta...
. .. Pero se encubrió y la Iglesia se resistió a disculparse...
...Es que eso de que haya que pedir perdón por esto... que lo pidan los que lo han hecho. Hay que tener valor para decir eso cuando los pederastas abusaron  amparándose en el poder que les confería ser  curas, obispos, prelados, etc y la iglesia lo calló y lo negó durante décadas ( siglos):
 Y me llamas Troll...vete al pedo y aprende a leer e historia de los abusos de las putas religiones."
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27157694,41,27.0,Sulfolobus_Solfataricus,2019-06-07T17:56:07+00:00,1,25,"#27 Bueno, lo ideal es estar en comunión con la Iglesia y que el cura te de una hostia en toda la boca los domingos y fiestas de guardar."
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27157349,40,36.0,--42429--,2019-06-07T16:45:18+00:00,0,12,"#36 Normal, el modo de acceso a ello es contraintuitivo."
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27157261,39,,Rorschach_,2019-06-07T16:26:21+00:00,0,15,"'El mundo que le vamos a dejar a nuestros hijos, que a su vez son mucho más humanos que nosotros, es mucho mejor del que nos encontramos'. Lo del vino para las comuniones es sólo la copita esa dorada... no sé trinque la botella."
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27157054,38,,--86227--,2019-06-07T15:40:25+00:00,0,6,"Entonces, en la escala de colectivos oprimidos, los homosexuales están por encima de los animales. La escala la llevo de más privilegios a menos:

- Negros
- Moros
- Mujeres
- Homosexuales
- Gitanos
- Animales
- Hombres"
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27157038,37,,irislol,2019-06-07T15:38:17+00:00,0,6,"Pues depende, si es un perro judio, poca cosa va a poder hacer {troll}"
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27157028,36,33.0,GanaderiaCuantica,2019-06-07T15:36:36+00:00,1,22,#33 Gracias. Creo que no había entrado ahí nunca... Supongo que con la edad se va perdiendo la curiosidad {oops}
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156964,35,21.0,--42429--,2019-06-07T15:22:05+00:00,0,12,#21 A mi me parece que su comparación es demagoga por lo que dices.
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156954,34,1.0,balancin,2019-06-07T15:21:03+00:00,0,11,"#1 sobretodo en un mundo donde se desprecia la actualidad, hay una despreocupación total porque se vaya a tomar todo por saco, e incluso muchos parecen que lo desean.

Lo cierto es que hay un coro muy grande de quejicas, victimistas (y miopes)"
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156943,33,8.0,--42429--,2019-06-07T15:18:35+00:00,1,22,"#8 En |actualidad el tiempo que pasa penaliza especialmente al karma.

Pero en el log de cada noticia se indica qué pasa al karma: https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual/log"
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156930,32,8.0,--543878--,2019-06-07T15:15:52+00:00,1,17,#8 Pues algo que tendrías que haber aprendido en las elecciones... hay personas que restan. {troll}
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156920,31,,A1234,2019-06-07T15:13:34+00:00,0,10,"Pues no sé, él sabrá en qué tipo de grupo está metido."
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156915,30,28.0,balancin,2019-06-07T15:12:44+00:00,0,11,#28 sí. Se da en casi todas las especies
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156904,29,11.0,paco_camps_2011,2019-06-07T15:10:11+00:00,0,8,#11 Quién esté libre de pecado que tire la primera piedra.
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156903,28,2.0,--549461--,2019-06-07T15:09:53+00:00,1,10,#2 y a un perro homosexual?
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156893,27,21.0,--571567--,2019-06-07T15:08:14+00:00,0,7,"#21 Hombre, yo también eligiría una bendición en lugar de una hostia..."
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156884,26,8.0,--571567--,2019-06-07T15:06:21+00:00,0,7,"#8 Si no se actualiza al instante debería mostrar el mismo karma, no menos, no?"
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156879,25,15.0,--19782--,2019-06-07T15:05:13+00:00,2,35,"#15 Bueno, yo no he encontrado eso en la entrevista, en la entrevista dice: ""Es evidente que la Iglesia hizo y sigue haciendo cosas negativas: la pederastia, "" 
Así que igual no es tan zasca y es un invent!"
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156872,24,7.0,--19782--,2019-06-07T15:03:59+00:00,2,10,"#7 De donde sacas esa cita? Te la has inventado? Yo en la entrevista solo leo esto. ""Es evidente que la Iglesia hizo y sigue haciendo cosas negativas: la pederastia, "" O simplemente eres un troll que quiere generar polémica inventando cosas?"
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156868,23,1.0,cdya,2019-06-07T15:03:27+00:00,0,9,#1 Se les llama adictos al Prozak.
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156856,22,1.0,--19782--,2019-06-07T15:01:44+00:00,0,12,"#1 Me ha gustado, desconocía esta iglesia / cura. Si hubiera muchos como él seguramente la gente iría más a la iglesia. 
Gracias por el aporte"
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156813,21,,Sulfolobus_Solfataricus,2019-06-07T14:54:35+00:00,5,72,"La bendición siempre se da. Incluso cuando por algún motivo no se puede comulgar en misa, en muchas parroquias proponen hacer un gesto y recibir una bendición en lugar de una hostia.

En cuanto al juicio moral, pues no creo que los perros tengan la capacidad de obrar moralmente, así que no parece una comparación justa. Y el homosexual, pues según cómo actúe, como el resto de personas."
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156110,20,15.0,MellamoMulo,2019-06-07T13:06:22+00:00,1,31,#15 Go to #9
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156102,19,14.0,MellamoMulo,2019-06-07T13:04:26+00:00,1,31,#14 Y no tengo ningún reparo en darte la razón como en #9 porque comparto lo que dices
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156092,18,17.0,--611374--,2019-06-07T13:02:24+00:00,0,6,"#17 ya, que no puedes decirlo, pero que se sobreentiende ...vaya elemento"
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156072,17,16.0,againandagain,2019-06-07T12:59:27+00:00,0,8,"#16 Joder, no se como has llegado a esa conclusión o si estas de coña, digo que tampoco camina sobre el agua el hombre, y tiene ideas o ha dicho cosas un poco reguleras... nadie es perfecto."
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156064,16,11.0,--611374--,2019-06-07T12:58:05+00:00,0,6,"#11 Vamos, que estás insinuando que trapichea con droga"
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156058,15,7.0,--611374--,2019-06-07T12:57:16+00:00,0,6,#7 ------ ZASCA -----> #6
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156055,14,9.0,--351185--,2019-06-07T12:56:57+00:00,2,34,"#9  Claro. No somos blancos o negros. Todos tenemos matices , lo que pasa es que  este "" matiz"" del padre Ángel es especialmente grave. Saludos.
Por encubrir y perpetuar.
Han destrozado miles de vidas que además han callado y al no haber pedido ayuda han agravado los traumas sufridos."
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156052,13,,--596443--,2019-06-07T12:56:33+00:00,1,24,los homosexualen también te devuelven una pelota de tenis si se la lanzas añadió
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156051,12,11.0,MellamoMulo,2019-06-07T12:56:27+00:00,1,26,#11 Go to #9
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156039,11,6.0,againandagain,2019-06-07T12:54:08+00:00,0,8,"#6 Conozco personalmente a este señor desde hace decadas, no es oro todo lo que reluce.

Tampoco estoy diciendo que sea un cabrón eh, lleva muchos años haciendo cosas muy buenas, pero digamos que tiene sus ""cosillas""."
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156018,10,1.0,--334312--,2019-06-07T12:51:51+00:00,1,25,"#1 Sí.

Se agradece mucho la coherencia, la racionalidad, la lógica, el sentido común, la coherencia, una sola moral y no moral doble, etc. Especialmente en un lugar donde lo usual es todo lo contrario.

Es como una fuente de agua en medio del desierto."
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156012,9,7.0,MellamoMulo,2019-06-07T12:50:58+00:00,3,48,"#7 Touche {wink} , de todos modos he dicho seres humanos y los seres humanos somos imperfectos, con sus virtudes y defectos. Con respecto a su pregunta de por qué tiene la Iglesia que pedir perdón, le respondo que por encubrirlo"
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27156001,8,,GanaderiaCuantica,2019-06-07T12:50:17+00:00,0,10,"Una pregunta que he visto ya en varias noticias: ¿por qué a veces el karma de las noticias baja al menearlas?

En la imagen se ve que con un meneo más baja a 50 (lo he visto más veces).

Edit: me está sonando ahora, justo tras comentar, que alguien dijo una vez que se no se actualiza al instante... Va a ser por eso. Cómo es la memoria... {lol}"
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27155946,7,6.0,--351185--,2019-06-07T12:44:08+00:00,6,-19,"#6  claro...
Entrevista al Padre Ángel: ""No sé por qué la Iglesia tiene que pedir perdón por la pederastia""."
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27155897,6,1.0,MellamoMulo,2019-06-07T12:38:19+00:00,2,50,#1 Más seres humanos que piensen como este hombre nos siguen haciendo falta
lgtbi,https://www.meneame.net/story/padre-angel-ver-voy-poder-bendecir-perro-no-homosexual,3138688,27155889,5,4.0,PAUL2,2019-06-07T12:37:12+00:00,0,12,#4 a un trípode.
