tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/interior-expulsara-espana-inmigrantes-protestaron-cie,2686615,20557628,41,40.0,--99859--,2016-10-21T12:59:24+00:00,4,9,"#40 no te des tan fuerte que mira como te has quedado! 

venga, buen fin de semana y que vayan a verte tus nietos"
inmigracion,https://www.meneame.net/story/interior-expulsara-espana-inmigrantes-protestaron-cie,2686615,20557621,40,39.0,--510943--,2016-10-21T12:58:14+00:00,1,10,#39 {palm}
inmigracion,https://www.meneame.net/story/interior-expulsara-espana-inmigrantes-protestaron-cie,2686615,20557564,39,38.0,--99859--,2016-10-21T12:52:33+00:00,4,9,"#38 algunos han madurado tanto que están podridos, pero parece que no te das cuenta de que ya no eres el que eras abuelo... un pañal? {smiley}"
inmigracion,https://www.meneame.net/story/interior-expulsara-espana-inmigrantes-protestaron-cie,2686615,20557557,38,37.0,--510943--,2016-10-21T12:51:16+00:00,1,10,"#37 Teniendo en cuenta que vives en El Mundo de la Piruleta, tus opiniones sobre mi me importan bastante poco, no te ofendas. Algún día madurarás y te darás cuenta de lo absurdo de tus pensamientos."
inmigracion,https://www.meneame.net/story/interior-expulsara-espana-inmigrantes-protestaron-cie,2686615,20554813,37,36.0,--99859--,2016-10-21T06:39:40+00:00,4,9,#36 Tus ejemplos si que dan pena pero lo realmente preocupante es que pienses así {sad}
inmigracion,https://www.meneame.net/story/interior-expulsara-espana-inmigrantes-protestaron-cie,2686615,20554801,36,35.0,--510943--,2016-10-21T06:37:31+00:00,1,10,"#35 {palm} Tu comprensión lectora da pena. No, los inmigrantes no son locos. Solo te daba un ejemplo de que aveces es necesario encerrar a algunas personas que no han cometido ningún delito. En caso de los locos, para asegurarse de que no se hacen daño a sí mismos o a terceras personas y, en caso de los inmigrantes, asegurarse de que las órdenes de expulsión se cumplen."
inmigracion,https://www.meneame.net/story/interior-expulsara-espana-inmigrantes-protestaron-cie,2686615,20554760,35,34.0,--99859--,2016-10-21T06:25:26+00:00,4,10,#34 los immigrantes son locos?
inmigracion,https://www.meneame.net/story/interior-expulsara-espana-inmigrantes-protestaron-cie,2686615,20552843,34,32.0,--510943--,2016-10-20T18:28:58+00:00,1,10,"#32 ¿Y qué? Algunos locos también están privados de libertad y no han cometido ningún delito. Está claro que ciertas personas deben ser privadas de libertad aunque no hayan cometido ningún delito. Si se pretende expulsar de un país a un inmigrante en situación irregular, lo más lógico y sensato es tenerlo encerrado hasta que se decrete su orden de expulsión para asegurarnos de que es expulsado. No entiendo muy bien qué parte de ese razonamiento no entiendes."
inmigracion,https://www.meneame.net/story/interior-expulsara-espana-inmigrantes-protestaron-cie,2686615,20550714,33,12.0,vicvic,2016-10-20T13:11:01+00:00,0,7,#12 Es publico... La objetividad está lejos de sus objetivos!
inmigracion,https://www.meneame.net/story/interior-expulsara-espana-inmigrantes-protestaron-cie,2686615,20549129,32,29.0,--99859--,2016-10-20T10:24:43+00:00,0,6,"#29  Los extranjeros son encerrados debido a su situación irregular en el Estado español, lo que supone una falta administrativa, no un delito"
