tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/no-desanimes-hay-monton-pisos-gays-denunciado-casero-tras-negar,3771405,37623638,98,97.0,El_perro_verde,2023-01-21T23:55:14+00:00,0,7,#97 ¿Cuando he dicho que me parezcan bien los anuncios de solo chicas o solo gays?
lgtbi,https://www.meneame.net/story/no-desanimes-hay-monton-pisos-gays-denunciado-casero-tras-negar,3771405,37623473,97,96.0,--719323--,2023-01-21T23:16:27+00:00,1,18,"#96 No digas boberías. Hay miles de anuncios en cualquier página de alquileres donde dicen explícitamente que solo chicas, o solo gays. Y resulta que solo te rechina el que solo quiero heteros? Eso es doble moral."
lgtbi,https://www.meneame.net/story/no-desanimes-hay-monton-pisos-gays-denunciado-casero-tras-negar,3771405,37619874,96,95.0,El_perro_verde,2023-01-21T11:20:55+00:00,0,7,"#95 No, una cosa es preferir a uno respecto a otro y otra muy diferente echar a una persona cuando descubres que es gay."
lgtbi,https://www.meneame.net/story/no-desanimes-hay-monton-pisos-gays-denunciado-casero-tras-negar,3771405,37618991,95,94.0,--719323--,2023-01-21T08:22:33+00:00,0,7,"#94 Y por su pelo? Y por su color de piel? Y por su estatura? Y por su voz? Y por su ropa?
Si vas a alquilar una habitación y tienes tres candidatos, dos serán discriminados. Bienvenido a la vida real."
lgtbi,https://www.meneame.net/story/no-desanimes-hay-monton-pisos-gays-denunciado-casero-tras-negar,3771405,37618237,94,93.0,El_perro_verde,2023-01-20T23:33:18+00:00,0,7,"#93 Cada uno es libre de compartir piso con quien quiera, pero discriminar a alguien por su orientación sexual es ilegal"
lgtbi,https://www.meneame.net/story/no-desanimes-hay-monton-pisos-gays-denunciado-casero-tras-negar,3771405,37618128,93,12.0,--719323--,2023-01-20T23:03:00+00:00,0,8,"#12 Cada uno debería ser libre de compartir piso con quien quiera. Sea chica, hetero o gato. De hecho, ésta no-noticia es una auténtica chorrada"
lgtbi,https://www.meneame.net/story/no-desanimes-hay-monton-pisos-gays-denunciado-casero-tras-negar,3771405,37615013,92,91.0,Ainhoa_96,2023-01-20T15:12:01+00:00,2,35,#91 Y lo dice un usuario que se llama Windows95 {roll} {troll}
lgtbi,https://www.meneame.net/story/no-desanimes-hay-monton-pisos-gays-denunciado-casero-tras-negar,3771405,37614809,91,85.0,Windows95,2023-01-20T14:49:49+00:00,0,10,"#85 Uy, qué 2010 eso. Deberías ponerte al día."
lgtbi,https://www.meneame.net/story/no-desanimes-hay-monton-pisos-gays-denunciado-casero-tras-negar,3771405,37614194,90,,baronrampante,2023-01-20T13:44:44+00:00,0,7,No era suficiente con un bueno si eso ya te llamaré?
lgtbi,https://www.meneame.net/story/no-desanimes-hay-monton-pisos-gays-denunciado-casero-tras-negar,3771405,37613264,89,51.0,Robus,2023-01-20T11:55:56+00:00,0,10,"#51 Efectivamente, de compartir piso.

Es lo que he dicho."
lgtbi,https://www.meneame.net/story/no-desanimes-hay-monton-pisos-gays-denunciado-casero-tras-negar,3771405,37613242,88,86.0,Ainhoa_96,2023-01-20T11:53:02+00:00,1,25,#86 equilicuá
lgtbi,https://www.meneame.net/story/no-desanimes-hay-monton-pisos-gays-denunciado-casero-tras-negar,3771405,37613117,87,69.0,KurtGodel,2023-01-20T11:37:44+00:00,0,10,"#69 Sintiéndolo mucho en esta ocasión hemos decidido optar por otro candidato que cumple de manera más ajustada con el perfil que estamos buscando. No obstante, le tendremos en cuenta para futuras posibles vacantes de habitación. Como hacen las empresas para no pillarse los dedos. Y a cagar al río."
