tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/ocean-viking-rescata-otros-105-migrantes-pone-barco-limite-carga,3169068,27600063,20,19.0,neuron,2019-08-13T17:37:03+00:00,0,10,#19 Si claro. Y la UE mientras tanto No haciendo lo que hacen las ONGs. Vuelve a la prehistoria!
inmigracion,https://www.meneame.net/story/ocean-viking-rescata-otros-105-migrantes-pone-barco-limite-carga,3169068,27597643,19,13.0,--615659--,2019-08-13T11:28:53+00:00,1,6,"#13 estas mal llamadas ongs colaboran con las mafias que trafican con seres humanos, y se lucran por ello. No tiene sentido rescatar una balsa a unos pocos kms de la costa, con un puerto a menos de 100km, y que opten por realizar varios miles de kms. Estas ONGs reciben los avisos de las mafias por radio, y acuden a recogerlos para llevarlos de forma ilegal a Europa. Estas mal llamadas ONGs propician que las mafias sigan lucrandose a costa de tanto sufrimiento, y cada vez mas gente opta por usar esta via de entrada a Europa.. y si no eres capaz de verlo, deberias quitarte la benda de los ojos!
Cojete tu un barco, recoge a unas cuantas personas en la costa africana, y pon rumbo a Europa.... te comerias varios años de carcel por traficar de forma ilegal con seres humanos."
inmigracion,https://www.meneame.net/story/ocean-viking-rescata-otros-105-migrantes-pone-barco-limite-carga,3169068,27595910,18,17.0,--424445--,2019-08-13T08:27:47+00:00,0,19,"#17 Esos están ahí sólo para la foto.

Seguro que tienen hasta un croma verde  y ni siquiera están en alta mar."
inmigracion,https://www.meneame.net/story/ocean-viking-rescata-otros-105-migrantes-pone-barco-limite-carga,3169068,27595602,17,2.0,frankiegth,2019-08-13T07:51:45+00:00,0,11,"#2. Lo dudo mucho, ni el yate de Richard Gere dispone de lanchas tan preparadas como esta. Y fijaos en los trajes de los marineros con cascos y arneses, con batas blancas implecables y mascarillas que lucen en ocasiones. Parece ser que en 'alta mar' no están faltando medios para rescatar inmigrante ilegales. 

Me gustaría ver organizaciones similares en tierra firme en todas las provincias del país pero parece ser que no hay nadie a quien rescatar de la miseria a pie de calle... Ahora la consigna para recibir ayuda es 'estar con el agua al cuello' pero  literalmente."
inmigracion,https://www.meneame.net/story/ocean-viking-rescata-otros-105-migrantes-pone-barco-limite-carga,3169068,27595337,16,5.0,frankiegth,2019-08-13T07:20:46+00:00,1,22,"#5. Si necesitas un 'partido de derechas conservador serio' en España no lo vas a encontrar. Y de izquierdas tampoco. Olvídalo, 'el centro' son los padres, los reyes magos no existen."
inmigracion,https://www.meneame.net/story/ocean-viking-rescata-otros-105-migrantes-pone-barco-limite-carga,3169068,27595138,15,5.0,--610233--,2019-08-13T06:54:42+00:00,2,29,"#5 YA, SI, CLARO... Con Vox no habría inmigración ilegal... no te lo crees ni tú, bueno, a lo mejor tú si te lo crees..."
inmigracion,https://www.meneame.net/story/ocean-viking-rescata-otros-105-migrantes-pone-barco-limite-carga,3169068,27595053,14,,χøя,2019-08-13T06:46:54+00:00,0,6,Menudo insulto para los auténticos Vikings..
inmigracion,https://www.meneame.net/story/ocean-viking-rescata-otros-105-migrantes-pone-barco-limite-carga,3169068,27594908,13,4.0,neuron,2019-08-13T06:19:01+00:00,2,-3,#4 Tu comentario se basa en cero datos. Cero. Además solo contiene propaganda populista de la más derecha rancia!
inmigracion,https://www.meneame.net/story/ocean-viking-rescata-otros-105-migrantes-pone-barco-limite-carga,3169068,27594866,12,11.0,--294839--,2019-08-13T06:09:36+00:00,3,39,#11 ¿Y cómo tratan con ella?¿Cómo han evolucionado los flujos migratorios con esas medidas?
inmigracion,https://www.meneame.net/story/ocean-viking-rescata-otros-105-migrantes-pone-barco-limite-carga,3169068,27594855,11,10.0,--133448--,2019-08-13T06:06:09+00:00,1,22,"#10 Si, una isla a tomar por saco es buen ejemplo...y tienen inmigración ilegal también"
inmigracion,https://www.meneame.net/story/ocean-viking-rescata-otros-105-migrantes-pone-barco-limite-carga,3169068,27594839,10,8.0,Bragi,2019-08-13T05:58:20+00:00,7,58,#8 Puedes consultar la receta magica australiana.
inmigracion,https://www.meneame.net/story/ocean-viking-rescata-otros-105-migrantes-pone-barco-limite-carga,3169068,27594822,9,5.0,fofito,2019-08-13T05:50:50+00:00,2,15,"#5 insinuas que vox daría visado de entrada a estas personas en caso de haberlo solicitado?
Y al resto también?"
inmigracion,https://www.meneame.net/story/ocean-viking-rescata-otros-105-migrantes-pone-barco-limite-carga,3169068,27594812,8,5.0,--133448--,2019-08-13T05:48:44+00:00,0,11,#5 ¿Y cómo controlarías el flujo ilegal?. El mundo espera esa receta mágica de Vox.
inmigracion,https://www.meneame.net/story/ocean-viking-rescata-otros-105-migrantes-pone-barco-limite-carga,3169068,27594808,7,4.0,--133448--,2019-08-13T05:48:05+00:00,4,19,"#4 Supongo que pruebas cero, como siempre en los opinadores qie repiten el mensaje de la ultra derecha."
inmigracion,https://www.meneame.net/story/ocean-viking-rescata-otros-105-migrantes-pone-barco-limite-carga,3169068,27594795,6,3.0,io1976,2019-08-13T05:42:37+00:00,1,18,"#3 Luego dicen en España la derecha y los liberales es decir la ultraderecha, que la izquierda se creen los únicos en posesión de los valores éticos, morales, etc. pues es bien sencillo serlo cuando otros hacen este tipo juicios de valor sobre las ONG's o sugieren que quienes les apoyan deberían albergar a estos migrantes en sus propias casas."
