tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/hungria-convoca-referendum-2-octubre-sobre-cuotas-refugiados-ue,2640762,19870782,26,20.0,Arjuna,2016-07-05T14:03:42+00:00,1,17,"#20 Qué miedo hay de salirse de la UE?? 
Yo estoy pesimista no creo que sea reformable. Es un instrumento de las élites para imponer una agenda política saltándose los procesos democráticos.  A la mierda la UE y los putos teutones."
inmigracion,https://www.meneame.net/story/hungria-convoca-referendum-2-octubre-sobre-cuotas-refugiados-ue,2640762,19870750,25,21.0,Arjuna,2016-07-05T14:00:44+00:00,0,6,"#21 pues no lo sé... quizás se puedan revisar los tratados, presionar a Alemania, imponer nuevas soluciones... crear un marco de diálogo multinacional en lugar de las imposiciones ideológicas teu tónicas, etc. 
Al menos el resto de países parece que se mueven. Aquí en España estamos sumidos en una devastadora y ciega obediencia."
inmigracion,https://www.meneame.net/story/hungria-convoca-referendum-2-octubre-sobre-cuotas-refugiados-ue,2640762,19870343,24,23.0,--324777--,2016-07-05T13:15:11+00:00,0,7,"#23 No, nosotros no somos iguales,nosotros lo haremos con razón."
inmigracion,https://www.meneame.net/story/hungria-convoca-referendum-2-octubre-sobre-cuotas-refugiados-ue,2640762,19870167,23,14.0,chavi,2016-07-05T12:55:51+00:00,0,9,#14 No. No los trataremos igual. No somos iguales (espero)
inmigracion,https://www.meneame.net/story/hungria-convoca-referendum-2-octubre-sobre-cuotas-refugiados-ue,2640762,19870164,22,9.0,chavi,2016-07-05T12:55:03+00:00,0,9,#9 La ampliación de la UE fué un error histórico.
inmigracion,https://www.meneame.net/story/hungria-convoca-referendum-2-octubre-sobre-cuotas-refugiados-ue,2640762,19870152,21,15.0,chavi,2016-07-05T12:54:04+00:00,0,9,"#15 Si se van de la UE, recuperarán TODA su soberanía. Adelante."
inmigracion,https://www.meneame.net/story/hungria-convoca-referendum-2-octubre-sobre-cuotas-refugiados-ue,2640762,19870143,20,11.0,chavi,2016-07-05T12:53:12+00:00,0,9,"#11 Supongo que entonces, si sale que no acogen los refugiados que les corresponde, se irán de la UE."
inmigracion,https://www.meneame.net/story/hungria-convoca-referendum-2-octubre-sobre-cuotas-refugiados-ue,2640762,19870129,19,2.0,chavi,2016-07-05T12:52:15+00:00,0,9,"#2 Que pregunten, y luego si votan no seguir las normas, que se vayan. Por mí, perfecto."
inmigracion,https://www.meneame.net/story/hungria-convoca-referendum-2-octubre-sobre-cuotas-refugiados-ue,2640762,19869424,18,,Arjuna,2016-07-05T11:34:22+00:00,0,6,"Fíjate si son peligrosos los neolib que hasta la ultraderecha usa mecanismos más democráticos que ellos, al menos en apariencia."
inmigracion,https://www.meneame.net/story/hungria-convoca-referendum-2-octubre-sobre-cuotas-refugiados-ue,2640762,19869358,17,15.0,mente_en_desarrollo,2016-07-05T11:30:10+00:00,1,23,"#15 Fijate si en la UE importan los referendums que querían meternos una constitución europea y para eso hacía falta uno en la mayoría de los países y que todos dijeran que si. Como algunos dijeron ""no"", hicieron lo mismo pero como acuerdo multilateral vinculante que sigue estando por encima de las constituciones locales y no hay que votarlos en referendum.

Lo siento, pero no sirve para nada. Es gastar dinero para inflamar el nacionalismo patrio y dar alas a la ultraderecha (que es precisamente lo que quieren sus gobernantes)."
inmigracion,https://www.meneame.net/story/hungria-convoca-referendum-2-octubre-sobre-cuotas-refugiados-ue,2640762,19869309,16,12.0,iamatoad,2016-07-05T11:26:03+00:00,0,8,#12 I hope so. I want the best for the UK and Hungary. I think if my neighbor does fine it's good for me too.
inmigracion,https://www.meneame.net/story/hungria-convoca-referendum-2-octubre-sobre-cuotas-refugiados-ue,2640762,19869305,15,13.0,Arjuna,2016-07-05T11:25:35+00:00,0,6,#13 se puede hacer un referéndum para recuperar cuotas de soberanía y estamparle a los alemanes los resultados en la cara. Igual así consiguen más ventajas en las negociaciones.
