tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/ayuntamiento-madrid-declara-interes-general-fiestas-orgullo-gay,2639583,19850571,23,22.0,JackNorte,2016-07-02T16:41:16+00:00,0,13,"#22 Es que me han dicho que quemar iglesias no es de este siglo , pero la mala leche no me la quita nadie, Pero dudo que el afan por tocar las campanas sea de interés general , y aun así es lo que hay.

Es lo que tiene este siglo algunas cosas avanzan por necesidad y otras permanecen como hace siglos."
lgtbi,https://www.meneame.net/story/ayuntamiento-madrid-declara-interes-general-fiestas-orgullo-gay,2639583,19850538,22,1.0,WarDog77,2016-07-02T16:36:09+00:00,0,10,"#1 ¿Y a que te jodes y te aguantas?. Pues esto igual, con la diferencia que esto es solo una vez al año"
lgtbi,https://www.meneame.net/story/ayuntamiento-madrid-declara-interes-general-fiestas-orgullo-gay,2639583,19850349,21,8.0,dphi0pn,2016-07-02T16:07:37+00:00,0,8,#8 Con la música bajita bajita bajita {shit}
lgtbi,https://www.meneame.net/story/ayuntamiento-madrid-declara-interes-general-fiestas-orgullo-gay,2639583,19849270,20,14.0,--151628--,2016-07-02T12:51:55+00:00,0,16,#14 La gente se tiene que poder vestir como quiera.
lgtbi,https://www.meneame.net/story/ayuntamiento-madrid-declara-interes-general-fiestas-orgullo-gay,2639583,19849158,19,8.0,tiopio,2016-07-02T12:30:56+00:00,1,30,"#8 sobretodo en los cuartos oscuros, como bien sabéis."
lgtbi,https://www.meneame.net/story/ayuntamiento-madrid-declara-interes-general-fiestas-orgullo-gay,2639583,19849152,18,16.0,tiopio,2016-07-02T12:30:07+00:00,2,42,"#16  #11 la tolerancia no implica que te guste ver a gente desagradable vestida de formas que ni mi chica se pondría, como los curas o cardenales.
La verdad es que ser católico  no debería implicar ser desagradable a la vista."
lgtbi,https://www.meneame.net/story/ayuntamiento-madrid-declara-interes-general-fiestas-orgullo-gay,2639583,19849141,17,6.0,tiopio,2016-07-02T12:28:26+00:00,1,23,"#6 los militantes y simpatizantes de Podemos se llaman patriotas, una palabra que los fachas ni entienden, ni podrán entender jamás."
lgtbi,https://www.meneame.net/story/ayuntamiento-madrid-declara-interes-general-fiestas-orgullo-gay,2639583,19849095,16,11.0,--341687--,2016-07-02T12:21:09+00:00,0,7,"#11 la tolerancia no implica que te guste ver a gente desagradable vestida de formas que ni mi chica se pondría.

La verdad es que ser homosexual no debería implicar ser desagradable a la vista."
lgtbi,https://www.meneame.net/story/ayuntamiento-madrid-declara-interes-general-fiestas-orgullo-gay,2639583,19849094,15,,jorso,2016-07-02T12:20:53+00:00,2,49,Dupe: https://www.meneame.net/story/ayuntamiento-declara-fiestas-madrid-orgullo-bien-interes-general
lgtbi,https://www.meneame.net/story/ayuntamiento-madrid-declara-interes-general-fiestas-orgullo-gay,2639583,19849087,14,2.0,--341687--,2016-07-02T12:20:05+00:00,0,7,"#2 no sé, entre las figuras de escayola y los maromos con tacones creo que mejor me voy de los lugares con fiestas declaradas BIC.

Veo mucha gente desagradable estos días por madrid."
