tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/orgullo-arcoiris-multitudinario-planta-cara-extrema-derecha,3152763,27355598,23,16.0,--606641--,2019-07-07T16:58:45+00:00,0,6,#16 Tú entiendes siquiera lo que dice el number 15? crack!
lgtbi,https://www.meneame.net/story/orgullo-arcoiris-multitudinario-planta-cara-extrema-derecha,3152763,27353397,22,20.0,Top_Banana,2019-07-07T10:56:53+00:00,0,7,"#20 Si no te entiendes ni tu, difícilmente me vas a entender."
lgtbi,https://www.meneame.net/story/orgullo-arcoiris-multitudinario-planta-cara-extrema-derecha,3152763,27353372,21,17.0,irislol,2019-07-07T10:53:53+00:00,0,6,"#17 PePeros? Por mi como si se ajorcan. Aquí ni pinchan ni cortan, además son putos aficionaos a la hora de hacer propaganda, no tienen ni puta idea. 

Respondiéndote: Osea, que porque no digo ná de los peperos entonces no me das la razón? WTF, que pasa, que no se puede criticar al PSOE sin meter con calzador a los peperos porque si no auto-mágicamente mi comentario se convierte en una defensa de los peperos?! WTF?!  <=== Te das cuenta de lo que decía en mi anterior comentario, los del PSOE consiguen que culpes a quien los critica por no mencionar a ""los otros"" en esa misma crítica. Te das cuen?! Has visto como son unos hijos-de-fruta que hilan finisimo a la hora de la propaganda?! {sad} {lol} {sad} {shit}"
lgtbi,https://www.meneame.net/story/orgullo-arcoiris-multitudinario-planta-cara-extrema-derecha,3152763,27353349,20,19.0,Pinchuski,2019-07-07T10:51:30+00:00,0,12,#19 entonces no te he entendido en #9
lgtbi,https://www.meneame.net/story/orgullo-arcoiris-multitudinario-planta-cara-extrema-derecha,3152763,27353295,19,18.0,Top_Banana,2019-07-07T10:44:32+00:00,0,7,"#18 Utilizar la existencia o no de dios para demostrar lo mala o buena que es la izquierda es muy inteligente, si."
lgtbi,https://www.meneame.net/story/orgullo-arcoiris-multitudinario-planta-cara-extrema-derecha,3152763,27353202,18,13.0,Pinchuski,2019-07-07T10:34:52+00:00,0,12,"#13 no, por favor. La idea no es mía. No me gustaría quedar como un ignorante poniendo mi opinión por delante del trabajo de los mayores filósofos de la historia."
lgtbi,https://www.meneame.net/story/orgullo-arcoiris-multitudinario-planta-cara-extrema-derecha,3152763,27352896,17,16.0,Top_Banana,2019-07-07T09:51:30+00:00,0,7,"#16 En tu primer párrafo te daría la razón si incluyeras al PP también.

En el segundo, no estoy de acuerdo en que hayan sido solo ellos quienes han politizado el movimiento. C's el año pasado tuvo su carroza en el orgullo y también sacó rédito político. 

Este año, los organizadores (""cogam"" que no el PSOE) han puesto una linea roja para aquellos partidos que utilicen los votos de vox para gobernar. Han preferido quedar mal con todo el movimiento en vez de quedar mal con vox. Aquí la responsabilidad recae en c's.

Y te lo dice alguien que no votaría al PSOE ni con una pistola en la cabeza."
lgtbi,https://www.meneame.net/story/orgullo-arcoiris-multitudinario-planta-cara-extrema-derecha,3152763,27352810,16,14.0,irislol,2019-07-07T09:36:27+00:00,0,6,"#14 Porque son quienes están detrás de todas las jugadas más sucias en lo que llevamos de Régimen del 78 (GAL, cloacas, EREs, judicatura chantajeada, Sinde, SGAE, corrupción funcionarial, etc.). Operan la maquinaria propagandística más refinada de todo el reino, eficiente, sin problemas morales o éticos que puedan truncar el paso de su rodillo ideológico-estatal autoritario. Y lo más increíble es que siempre consiguen que el foco no se centre en ellos cuando ejecutan las tácticas políticas. 

El mejor ejemplo es este: han conseguido politizar un movimiento social, pastorear miles de votos, dar un escarmiento público a sus enemigos políticos y encima finalizar haciendo que la gente culpe al enemigo (C's y las derechas) del trato vejatorio que han recibido. 

Hay que admitir que son unos cabrones con tó la cuerda dá, pero lo hacen bien y bonito {tongue}

#15 Pa decir esa tontería mejor te hubieras quedao callao, no? {wink} ."
lgtbi,https://www.meneame.net/story/orgullo-arcoiris-multitudinario-planta-cara-extrema-derecha,3152763,27352669,15,14.0,otama,2019-07-07T09:17:47+00:00,1,-1,"#14 mania persecutoria lo llaman... 
No le cabrá en la cabeza que las acciones de falangitos y voxeros se han ganado por propios méritos el desprecio de la gente, especialmente en los círculos que más atacan. Y luego se quieren sacar fotos de guay!"
lgtbi,https://www.meneame.net/story/orgullo-arcoiris-multitudinario-planta-cara-extrema-derecha,3152763,27352539,14,10.0,Top_Banana,2019-07-07T09:01:30+00:00,0,7,#10 ¿Por que culpas al PSOE en concreto?
