tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/primer-ministro-finlandia-ofrece-casa-acoger-refugiados,2473643,17647106,14,,fincher,2015-09-06T04:28:13+00:00,0,10,"Este gesto rezuma de gran europeismo social y solidario, y no el inmovilismo cobarde del gobierno de España. Recordemos que este primer ministro cuando vino a visitar a Rajoy viajó en línea aérea regular y en clase turista."
inmigracion,https://www.meneame.net/story/primer-ministro-finlandia-ofrece-casa-acoger-refugiados,2473643,17645563,13,12.0,igorymi,2015-09-05T17:31:49+00:00,1,20,"#12 que los políticos hagan política con las desgracias ajenas, es una vergüenza.
Por favor, no los secundemos"
inmigracion,https://www.meneame.net/story/primer-ministro-finlandia-ofrece-casa-acoger-refugiados,2473643,17645558,12,11.0,jm22381,2015-09-05T17:30:47+00:00,0,20,"#11 Claro, no ves que vivo en el palacio de la Moncloa {roll}"
inmigracion,https://www.meneame.net/story/primer-ministro-finlandia-ofrece-casa-acoger-refugiados,2473643,17645501,11,1.0,igorymi,2015-09-05T17:19:08+00:00,0,10,#1 tu has ofrecido ya tu casa?
inmigracion,https://www.meneame.net/story/primer-ministro-finlandia-ofrece-casa-acoger-refugiados,2473643,17645232,10,,oskarluis,2015-09-05T16:19:57+00:00,1,16,Se ha abierto la veda. A ver quien da mas.
inmigracion,https://www.meneame.net/story/primer-ministro-finlandia-ofrece-casa-acoger-refugiados,2473643,17644759,9,1.0,slender_1,2015-09-05T14:51:40+00:00,0,7,"#1 Sí, para que descubran su colección de ""juguetes""."
inmigracion,https://www.meneame.net/story/primer-ministro-finlandia-ofrece-casa-acoger-refugiados,2473643,17644585,8,,Bernard,2015-09-05T14:20:06+00:00,2,31,Claro que la cosa será llegar a Finlandia...
inmigracion,https://www.meneame.net/story/primer-ministro-finlandia-ofrece-casa-acoger-refugiados,2473643,17644500,7,4.0,valzin,2015-09-05T14:05:44+00:00,0,8,"#4 Vallas arranca pieles, golpes a saco con las porras, pelotas de goma cuando intentan llegar a nado a la orilla, devoluciones en caliente, CIES para los que lo consiguen, aviones de vuelta a pesar de las guerras en sus paises...sí, pero es otro mundo, son negros, duele menos a la vista. {sad}"
inmigracion,https://www.meneame.net/story/primer-ministro-finlandia-ofrece-casa-acoger-refugiados,2473643,17644388,6,2.0,A_Ramos,2015-09-05T13:44:29+00:00,0,7,#2 Pero tras hacerlo le ha dado uno de esos ticks de ojo reveladores...
inmigracion,https://www.meneame.net/story/primer-ministro-finlandia-ofrece-casa-acoger-refugiados,2473643,17644356,5,,Starkad,2015-09-05T13:38:58+00:00,0,13,Como se acaba con la lepra. Montando leproserías.
inmigracion,https://www.meneame.net/story/primer-ministro-finlandia-ofrece-casa-acoger-refugiados,2473643,17644344,4,,twixer,2015-09-05T13:36:11+00:00,3,27,"Una pregunta para Rajoy, ¿Los que su gobierno devuelve en caliente en Melilla no son refugiados?"
inmigracion,https://www.meneame.net/story/primer-ministro-finlandia-ofrece-casa-acoger-refugiados,2473643,17644317,3,,--343064--,2015-09-05T13:29:18+00:00,3,30,"la ofrece por que sabe que no va a haber ninguno que vaya a acoger.

Es como si Obama dijera que acoge refugiados en la Casa Blanca y los mete en la habitacion Lincoln.
EL SERVICIO SECRETO LE METE TAL GUANTAZO QUE LO MANDA A TOMAR POR CULO."
inmigracion,https://www.meneame.net/story/primer-ministro-finlandia-ofrece-casa-acoger-refugiados,2473643,17644293,2,1.0,--280619--,2015-09-05T13:23:42+00:00,1,12,"#1 Mariano ha hecho mucho más, ha dicho que creará una comisión interministerial.

No imagino el esfuerzo que le habrá supuesto decir ""interministerial"" sin desmayarse."
inmigracion,https://www.meneame.net/story/primer-ministro-finlandia-ofrece-casa-acoger-refugiados,2473643,17644282,1,,jm22381,2015-09-05T13:19:58+00:00,3,59,Siguiendo el ejemplo de Rajoy... Oh Wait!
