tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/rachid-bouikou-inmigrante-gano-goldman-sachs-supremo-abogado,3224927,28457523,37,,--628821--,2019-12-14T04:14:59+00:00,0,6,Mi coño mojado y mi culo apretado están listos para tu polla - http://phot︆︆oid0︆︆18121︆︆.te︆︆entits︆︆.on︆︆line  {0x2764} ️ {0x2764} ️ {0x2764} ️
inmigracion,https://www.meneame.net/story/rachid-bouikou-inmigrante-gano-goldman-sachs-supremo-abogado,3224927,28457030,36,,--628807--,2019-12-13T22:42:37+00:00,0,6,Mi coño mojado y mi culo apretado están listos para tu polla - photoid01891121.teentits.online  {0x1f496}  {0x1f496}  {0x1f496}
inmigracion,https://www.meneame.net/story/rachid-bouikou-inmigrante-gano-goldman-sachs-supremo-abogado,3224927,28456802,35,34.0,--319549--,2019-12-13T21:43:11+00:00,0,9,"#34 Rarito no, pero ignorante sí. Los tribunales de justicia existen por la simple razón de que hay una disputa entre alguien que dice A y alguien que dice B. Cuando las cosas no están claras (y muy pocas veces lo están), la habilidad de tu abogado para convencer al juez/tribunal puede hacer que ganes un caso o lo pierdas; o que ganando un mismo caso salgas más favorecido (mayor indemnización) o menos favorecido (poca indemnización); o que perdiendo un mismo caso salgas muy desfavorecido (muchos años de cárcel) o poco desfavorecido (pocos años de cárcel). 
Si la justicia fueran algoritmos no habría jueces ni abogados, pero a ver cómo haces que el algoritmo se crea que lo que estás diciendo es verdad."
inmigracion,https://www.meneame.net/story/rachid-bouikou-inmigrante-gano-goldman-sachs-supremo-abogado,3224927,28456604,34,16.0,Reakl,2019-12-13T21:03:45+00:00,0,7,#16 esque el perder o ganar no debería ser una estadística sino que debería ir relacionado con si se ha cometido un delito o no. Llámame ratito.
inmigracion,https://www.meneame.net/story/rachid-bouikou-inmigrante-gano-goldman-sachs-supremo-abogado,3224927,28456582,33,30.0,Reakl,2019-12-13T21:00:01+00:00,0,7,#30 nadie duda de lo que dices. El problema es que con dinero puedes comprar una sentencia.
inmigracion,https://www.meneame.net/story/rachid-bouikou-inmigrante-gano-goldman-sachs-supremo-abogado,3224927,28456419,32,25.0,--319549--,2019-12-13T20:27:18+00:00,0,9,#25 Aquí no se está discutiendo si los abogados de oficio son buenos o malos.
inmigracion,https://www.meneame.net/story/rachid-bouikou-inmigrante-gano-goldman-sachs-supremo-abogado,3224927,28456215,31,,vviccio,2019-12-13T19:42:01+00:00,0,11,¿Dónde está el defensor del pueblo y el fiscal general?. O es como cuando la ministra del PSOE trató el caso Couso con el embajador de EEUU: de cara al público dicen una cosa pero en realidad hacen la contraria.
inmigracion,https://www.meneame.net/story/rachid-bouikou-inmigrante-gano-goldman-sachs-supremo-abogado,3224927,28456212,30,9.0,--350694--,2019-12-13T19:41:30+00:00,0,7,"#9 un abogado de oficio es alguien que puede ser bueno o malo, pero obviamente la motivacion de un bufete de abogados en los que cada uno de los que trabajan en el caso puede ganar varias veces lo que el de oficio es incuestionable."
inmigracion,https://www.meneame.net/story/rachid-bouikou-inmigrante-gano-goldman-sachs-supremo-abogado,3224927,28456195,29,2.0,salvor_hardin,2019-12-13T19:36:35+00:00,2,24,"#2 A mi lo que me deja perplejo es que los inquilinos tengan que buscarse la vida con un abogado, etc. ¿Esto no debería pararse antes? ¿No existe en nuestro sistema algún órgano que tenga atribuciones legales para parar este tipo de corrupción procedimientos en cuanto sucede? ¿Por qué funciona todo esto tan lento y mal? ¿Todo tiene que ver con la corrupción predominante o es otra cosa? En fin, bravo por Rachid y por el abogado. Aunque parezca fácil y obvio de gana, no me imagino las presiones a las que habrá estado sometido por las mafias empresas interesadas."
inmigracion,https://www.meneame.net/story/rachid-bouikou-inmigrante-gano-goldman-sachs-supremo-abogado,3224927,28456014,28,3.0,--420623--,2019-12-13T18:58:30+00:00,0,7,"#3 ¿ sabrás leer , no ?"
inmigracion,https://www.meneame.net/story/rachid-bouikou-inmigrante-gano-goldman-sachs-supremo-abogado,3224927,28456004,27,6.0,Pedro_Bear,2019-12-13T18:56:28+00:00,0,9,"#6 Aquí hay gente que defiende a ese partido.
Y que se pondrían palote si VOX hiciese lo mismo."
inmigracion,https://www.meneame.net/story/rachid-bouikou-inmigrante-gano-goldman-sachs-supremo-abogado,3224927,28455954,26,13.0,Leugim73,2019-12-13T18:47:21+00:00,0,9,"#13 Su abogado no se dedica ya a la Abogacia, por desgracia acabó asqueado del sistema"
inmigracion,https://www.meneame.net/story/rachid-bouikou-inmigrante-gano-goldman-sachs-supremo-abogado,3224927,28455945,25,11.0,Leugim73,2019-12-13T18:46:21+00:00,0,9,"#11 Eso es mentira, hay abogados muy buenos en el turno de oficio y los abogados que tú llamas ""caros"" cuando todos se deben de ajustar al libro amarillo, muchos de ellos también están en el turno, es más conozco a muchos abogados del turno que hacen bastante más por sus clientes que los que tú llamas ""caros"""
inmigracion,https://www.meneame.net/story/rachid-bouikou-inmigrante-gano-goldman-sachs-supremo-abogado,3224927,28455896,24,,--211156--,2019-12-13T18:36:37+00:00,0,6,"Espero que paguen todos los estafadores, pero todos. Actuará fiscalía?"
inmigracion,https://www.meneame.net/story/rachid-bouikou-inmigrante-gano-goldman-sachs-supremo-abogado,3224927,28455857,23,6.0,Garav,2019-12-13T18:28:44+00:00,1,22,#6 Sobretodo porque no se castiga con el voto y así nos va.
