tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/italia-endurece-politica-expulsar-inmigrantes-sin-derecho-asilo,3193198,27964828,12,11.0,--37472--,2019-10-07T13:30:14+00:00,0,11,"#11 Comparo los dos problemas porque el bombardeo de noticias de inmigración es aplastante y la opinión pública tiende a pensar que es un problema mayor cuando es un problema bastante menor que muchos otros, entre ellos la corrupción, y te podría poner aún más problemas que tenemos en este país más importantes.

Ah y si te parece un problema la inmigración hablas con el Emérito y le preguntas porque firmó un acuerdo de bilateralidad en 1979 con Marruecos mediante el cual los marroquies tienen prácticamente los mismos derechos que los españoles aquí, luego nos quejamos de que vienen a operarse y a disfrutar de nuestra sanidad pero nadie te explicó que ese derecho lo firmó el putero campechano corrupto porque les venía bien a él y al rey de marruecos para sus turbios negocios {wink}"
inmigracion,https://www.meneame.net/story/italia-endurece-politica-expulsar-inmigrantes-sin-derecho-asilo,3193198,27964774,11,10.0,box3d,2019-10-07T13:20:52+00:00,0,8,#10 Entonces para que comparas dos problemas disjuntos en un post acerca de uno de esos problemas? A ver si va a ser que de falaces argumentos vamos bien servidos ambos? {roll}
inmigracion,https://www.meneame.net/story/italia-endurece-politica-expulsar-inmigrantes-sin-derecho-asilo,3193198,27964747,10,8.0,--37472--,2019-10-07T13:17:56+00:00,0,11,"#8 Tus ergos no te libran de recurrir a falsas dicotomías para justificar tus argumentos, donde he dicho yo que haya que dejar de lado el problema de la inmigración? Ah, ya que en ninguna parte, pues eso, vuelve a darle otra vuelta y vuelves mañana a ver si apruebas el examen, que es facilito {wink}"
inmigracion,https://www.meneame.net/story/italia-endurece-politica-expulsar-inmigrantes-sin-derecho-asilo,3193198,27964321,9,,EuropeoDespierto,2019-10-07T12:18:38+00:00,1,18,Bravisimo Italia! Me alegro por ellos porque sus ciudades serán pronto más seguras
inmigracion,https://www.meneame.net/story/italia-endurece-politica-expulsar-inmigrantes-sin-derecho-asilo,3193198,27964266,8,7.0,box3d,2019-10-07T12:10:30+00:00,0,8,"#7 X es un problema mayor que Y ergo debemos dejar de lado Y. Ese argumento te puede ganar la Bilis de ambos ""lados"" según elijas X e Y.

(Sin entrar en que poco tiene que ver la solución de uno u otro problema más allá del coste en pasta/vidas)"
inmigracion,https://www.meneame.net/story/italia-endurece-politica-expulsar-inmigrantes-sin-derecho-asilo,3193198,27964173,7,6.0,--37472--,2019-10-07T12:00:31+00:00,0,11,"#6 Según el ABC lo es, yo tengo otra opinión al respecto, pero bueno ya que buscáis excusas incluso te pongo el caso más favorable para la derecha, verlo como un ""gasto"", ahí lo tienes {wink}"
inmigracion,https://www.meneame.net/story/italia-endurece-politica-expulsar-inmigrantes-sin-derecho-asilo,3193198,27964154,6,5.0,box3d,2019-10-07T11:57:21+00:00,0,8,"#5 coño.
Así que ahora la inmigración es un ""coste""?
Estás saliéndote de la linea editorial progre {lol}"
inmigracion,https://www.meneame.net/story/italia-endurece-politica-expulsar-inmigrantes-sin-derecho-asilo,3193198,27964126,5,2.0,--37472--,2019-10-07T11:52:12+00:00,1,26,"#2 sobre todo el de la corrupción, un problema 4500 veces más importante y 4500 veces peor para las arcas públicas que la inmigración {wink}

Coste de la corrupción al año: 90.000 millones

https://www.abc.es/economia/abci-corrupcion-espana-cuesta-90000-millones-euros-anuales-casi-8-por-ciento-segun-estudio-201812080214_noticia.html

Coste de la inmigraciónal año : 20 millones

https://www.abc.es/espana/abci-inmigracion-ilegal-cuesta-espana-mas-20-millones-euros-201806221639_noticia.html

PD: De un medio de derechas como el ABC, nada menos eh, por si acaso me acusas de dar información de ""progres"""
inmigracion,https://www.meneame.net/story/italia-endurece-politica-expulsar-inmigrantes-sin-derecho-asilo,3193198,27964116,4,3.0,--37472--,2019-10-07T11:50:57+00:00,0,11,"#3 Es al revés, es Italia la que no está en la lista Española {troll}"
inmigracion,https://www.meneame.net/story/italia-endurece-politica-expulsar-inmigrantes-sin-derecho-asilo,3193198,27964052,3,1.0,Ze7eN,2019-10-07T11:39:00+00:00,2,34,#1 España no está en la lista {tongue}
inmigracion,https://www.meneame.net/story/italia-endurece-politica-expulsar-inmigrantes-sin-derecho-asilo,3193198,27964032,2,,Mr.Bug,2019-10-07T11:37:18+00:00,1,14,Que no se preocupen que ya vendrán a España que aquí impera el descontrol.
inmigracion,https://www.meneame.net/story/italia-endurece-politica-expulsar-inmigrantes-sin-derecho-asilo,3193198,27964016,1,,--621389--,2019-10-07T11:35:20+00:00,0,10,Sueños frustrados de jóvenes españoles como camareros en Italia...
