tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/japon-duplicara-acogida-refugiados-60-2020,3132181,27067290,10,8.0,--603171--,2019-05-25T20:42:33+00:00,1,14,"#8 Absolutamente. La izquierda ha adoptado parte de la agenda liberal, lo que resulta paradójico."
inmigracion,https://www.meneame.net/story/japon-duplicara-acogida-refugiados-60-2020,3132181,27065449,9,,--590763--,2019-05-25T13:09:47+00:00,0,9,"La mejor es 0, y que al año que viene también sea 0.  Eso te permite decir que has multiplicado por 100 el número de inmigrantes:
0*100 =0 Abascal no entiende pero aprueba este comentario."
inmigracion,https://www.meneame.net/story/japon-duplicara-acogida-refugiados-60-2020,3132181,27065281,8,7.0,--496908--,2019-05-25T12:37:03+00:00,1,14,#7 son tesis neoliberales
inmigracion,https://www.meneame.net/story/japon-duplicara-acogida-refugiados-60-2020,3132181,27065228,7,,--603171--,2019-05-25T12:28:16+00:00,2,17,Japón contradice la tesis que afirma que es necesario una población joven y fronteras abiertas para ser un país desarrollado.
inmigracion,https://www.meneame.net/story/japon-duplicara-acogida-refugiados-60-2020,3132181,27065218,6,4.0,Tronchador,2019-05-25T12:27:12+00:00,0,7,"#4 Pues a lo mejor resulta más sencillo. Uno de los motivos de no integrarse es la creación de guetos en barrios empobrecidos, si hay una inmigración mayores un mismo tipo,se van todos al mismo sitio, y crean un barrio chino, árabe, rumano, etc... Que acaba por no integrarse."
inmigracion,https://www.meneame.net/story/japon-duplicara-acogida-refugiados-60-2020,3132181,27065194,5,4.0,Christifidelis,2019-05-25T12:23:16+00:00,0,9,#4 Lo de
inmigracion,https://www.meneame.net/story/japon-duplicara-acogida-refugiados-60-2020,3132181,27065036,4,,--606458--,2019-05-25T11:51:11+00:00,2,22,"La verdad que si ya es complicado que algunos se integren en Occidente, más abierto y con una base de inmigración árabe, no me quiero imaginar la odisea de adaptar una familia siria en Osaka o Kyoto. Teniendo en cuenta que a los japoneses nos le gusta mucho el tema inmigración y que no son mucho de perder el tiempo en desconocidos. Creo que eso podría explicar los números tan bajos."
inmigracion,https://www.meneame.net/story/japon-duplicara-acogida-refugiados-60-2020,3132181,27065022,3,,Cehona,2019-05-25T11:47:28+00:00,1,22,"Pero sin prisas, no sea que no quepan todos."
inmigracion,https://www.meneame.net/story/japon-duplicara-acogida-refugiados-60-2020,3132181,27065021,2,,--596443--,2019-05-25T11:47:23+00:00,0,17,ole qué generosos
inmigracion,https://www.meneame.net/story/japon-duplicara-acogida-refugiados-60-2020,3132181,27065020,1,,--609971--,2019-05-25T11:47:11+00:00,1,16,"""Aquí estal muy apletados"", dijo el Emperador"
