tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37607839,16,,Ausebio,2023-01-19T15:44:54+00:00,1,21,Cuidado con la Hungría de la doble moral: https://humorcillet.com/2020/12/02/orgia-gay-en-bruselas-con-diplomaticos-en-plena-pandemia/
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37607668,15,14.0,--684140--,2023-01-19T15:21:17+00:00,0,10,"#14 mis cojones son de septiembre,las medidas de septiembre son lo de las guarderías que no vienen a cuento.
Tu has puesto la noticia de que en Hungría quitan el IRPF a las madres. Y yo te he contestado que a ver cuándo vox copia ESA medida .  Lo de las guarderías ni pincha ni corta en esta discusión. 
Aquí se habla de la medida del IRPF y el enlace que me has puesto de las rebajas de IRPF a las madres es de antes de que vox formase gobierno en castilla y león. 
Insisto ,vete a engañar a otro. O mejor aún , ten algo de dignidad y deja de mentir"
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37607626,14,13.0,--379974--,2023-01-19T15:15:14+00:00,1,17,"#13 Pos mu bien, en Abril, pero las medidas que te enlace son de septiembre."
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37607467,13,12.0,--684140--,2023-01-19T14:55:26+00:00,0,10,"#12 pero que marzo ni que niño muerto. El gobierno de Mañueco con vox tomó posesión el 19 de abril.  Vete a engañar a otro ,anda . No te da vergüenza?"
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37607409,12,11.0,--379974--,2023-01-19T14:45:49+00:00,1,17,"#11 Desde marzo de 2022 tendrá que ver tanto para lo bueno como para lo malo.
Y esas eran las medidas del acuerdo de gobierno, punto 10
https://www.epe.es/es/espana/20220310/pp-vox-primeras-medidas-acuerdo-castilla-y-leon-13353152"
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37606964,11,10.0,--684140--,2023-01-19T13:49:17+00:00,3,38,#10 pretendes hacerme creer que vox tiene algo que ver con eso que enlazas? No tienes ni pizca de dignidad?
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37606892,10,2.0,--379974--,2023-01-19T13:42:01+00:00,1,17,"#2 Pues ya lo hizo https://www.bolsamania.com/declaracion-impuestos-renta/maternidad-y-declaracion-de-la-renta/
la conciliación familiar poniendo la gratuidad de las guarderías para este curso
https://diariodecastillayleon.elmundo.es/articulo/castilla-y-leon/manueco-anuncia-gratuidad-total-guarderias-castilla-leon-proximo-curso/20220912123825055553.html

También es la Comunidad que más incremento las ayudas por hijos, e incrementadas para el mundo rural y discapacitados:
Deducciones por hijos en Castilla y León
Por cada hijo nacido o adoptado en el período impositivo se podrán deducir las siguientes cantidades:

1.010 euros si se trata del primer hijo.
1.475 euros si se trata del segundo hijo.
2.351 euros si se trata del tercer hijo o sucesivos.
Estas cantidades se duplicarán en caso de que el nacido o adoptado tenga reconocido un grado de discapacidad igual o superior al 33%.

Del mismo modo, cuando se resida en un municipio con menos de 5.000 habitantes todas las cuantías, incluida la de discapacidad, se incrementan un 35%.

La base imponible para disfrutar de esta deducción no podrá superar, en ningún caso, los 18.900 euros en tributación individual y los 31.500 en conjunta.

Por partos y adopciones múltiples se podrá deducir una cuantía equivalente a la mitad del importe obtenido por la aplicación de la deducción por nacimiento o adopción si el parto múltiple o la adopción simultánea ha sido de dos hijos que generen el derecho a la aplicación del ‘mínimo por descendiente"
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37606751,9,7.0,--684140--,2023-01-19T13:19:59+00:00,0,10,"#7 eso habría que preguntarselo a Garcia Gallardo que fue el que dijo que Hungría le gusta mucho, que va como un tiro, que crece económicamente y que se respetan los derechos de todo el mundo"
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37606705,8,,--680729--,2023-01-19T13:13:21+00:00,1,21,"Haciendo un esfuerzo, puedo medio entender el populismo de Orban, y su éxito se debe a que realmente ese despojo humano baja a la calle y cumple con sus promesas populistas (discriminatorias e ilegales, evidentemente),  pero las cumple, con dos bien gordos y peludos. 
Ga-Ga acude a la concentración de moteros con casco y sin moto, dedica sus esfuerzos y recursos a colocar a amigos y familiares, desatiende a sus votantes, favorece activamente los incendios, arrasa con los montes, abandona a los agricultores, a los grajeros, a las familias y revienta todo lo que puede a su alrededor sin miramientos ni empatía, ni compasión.
Hay un abismo gigantesco entre la grandísima mierda que es Orban y García Gallardo.
https://yt.oelrichsgarcia.de/search?q=visualpolitik+hungria"
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37606693,7,,ElenaTripillas,2023-01-19T13:11:44+00:00,0,20,Siendo bastante semejantes.. haybrazon alguna para mencionar Hungría y no hacerlo con Polonia? {blank}
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37606689,6,,Yonny,2023-01-19T13:10:52+00:00,0,11,25% de inflación.
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37606655,5,,XtrMnIO,2023-01-19T13:06:42+00:00,0,10,Pues como el inútil Gallardo.
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37606640,4,,laruladelnorte,2023-01-19T13:04:53+00:00,4,59,"La comparación entre Hungría y Castilla y León salió a relucir este miércoles en el Parlamento Europeo, donde la vicepresidenta y diputada austriaca, Evelyn Regner, indicó: ""Lo que está ocurriendo en Castilla y León nos concierte a todos. Esto recuerda a la Hungría de Orbán. Es inaceptable. Son manipuladores y condescendientes"". A todas las moscas les gusta la mierda."
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37606618,3,,juande,2023-01-19T13:01:43+00:00,0,9,A Hungría la UE le ha dicho que o quita las leyes que van en contra de la filosofía de la UE o se acaban las ayudas. La respuesta del gobierno ha sido poner carteles por todos lados con una bomba diciendo que la UE es malvada y perjudica a Hungría. Pues menudo referente.
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37606599,2,1.0,--684140--,2023-01-19T12:58:50+00:00,0,10,"#1 fíjate ,una medida que incentiva la natalidad. Esperando estoy que vox la copie"
inmigracion|lgtbi,https://www.meneame.net/story/hungria-orban-referente-gallardo-contra-inmigracion-derechos,3771149,37606584,1,,--379974--,2023-01-19T12:56:37+00:00,0,10,https://www.meneame.net/story/hungria-elimina-irpf-todas-mujeres-sean-madres-antes-30-anos
