tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18695259,30,,Remenad0r,2016-01-26T19:27:17+00:00,0,9,"""Dinamarca ha aprobado hoy un durísimo proyecto de ley que incluye polémicas medidas como confiscar dinero y objetos de valor a los refugiados para costear su estancia y limitar la reagrupación familiar. La medida se limitará a pertenencias de valor “no sentimental”, una práctica ya utilizada por países como Suiza o por estados de Alemania como Baviera y Baden-Württenberg."" Hay otras medidas que se pueden hacer, eso es bastante feo y no ayuda a nadie."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18693444,29,25.0,derosmc,2016-01-26T15:55:36+00:00,3,33,"#25 En UK hasta hace nada habia bandas organizadas de pederastas de oriente medio (es una cosa cultural entre la etnia pastún) que acechaban a niños y niñas de las clases más humildes. Durante años policia y servicios sociales estaban totalmente al tanto de la situación y no fue hasta que un policia Pastún llego al mando que no se actuó contra los pederastas. Criminales hay de todas las religiones y colores, pero lo más asqueroso, lo más podrido de todo esto, es la complicidad de la sociedad ""buenrollista"" que prefiere callar a que les llamen racistas o xenofobos. ¿Quien sale beneficiado de todo esto? Nadie. Eso es lo más absurdo de todo. Para ""no dar alas al racismo"" se dejó que niños sufrieran el abuso de estos indeseables."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18693284,28,26.0,derosmc,2016-01-26T15:42:28+00:00,0,7,"#26 Si hombre, estás tú que me voy a dejar trolear por ti"
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18693243,27,14.0,derosmc,2016-01-26T15:39:43+00:00,1,11,"#14 Era un """"plural mayestatico"""" referido a la sociedad europea que ha creido en el relativismo cultural.

Mi comentario iba dirigido a los gobiernos europeos, no a los inmigrantes. Yo mismo soy un inmigrante que vive en un pais que no es el suyo, pero provengo de una cultura compatible con la de mi pais anfitrión, no formo parte de un ghetto, no formo parte de una banda, no he cometido ningún crimen ni abuso de los servicios sociales. Para mi país anfitrión soy todo lo contrario a un problema.

En cambio, veo que mi status actual puede verse muy perjudicado si las politicas buenrollistas actuales siguen su curso ya que acabarán con primeros ministros claramente de ultraderecha en el poder y con Schengen destruido.

Para resumir, para que la borregada me vote negativo: ""No, no todas las culturas son igual de importantes o valiosas."""
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18693225,26,10.0,--423339--,2016-01-26T15:38:26+00:00,1,11,"#10 Ya tenéis a la ultraderecha llamando a la puerta Y algunos parece que estáis encantados de seguirles el juego y abogar por deportaciones masivas, expulsiones, leyes especiales de ""religión"" y ""raza""...

Encantados de seguirles el juego a los mismos que el siglo pasado provocaron un holocausto que se cepilló a 6 millones de personas de determinada ""religión"" (asociados, por cierto, con esos moros tan malos que son ahora, antes eran sus amigos), a unos 20 millones de ""progres"" y ""buenrollistas"" que no querían pasar por el aro y una guerra que dejó Europa totalmente destruida y en la más miserable de las ruinas económicas (si no hubiera sido por el dinero de Estados Unidos, aún estábamos reconstruyendo Londres).

Tiene cojones que encima vengáis a darle lecciones al personal de ""lo que hay que hacer"" y ""mira ese, de esa religión, está causando problemas""."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18693161,25,3.0,--423339--,2016-01-26T15:34:06+00:00,0,13,"#3 Sí, países como Suecia y Noruega eran todo idílicos paraísos de gente superbuenroliista y ultratolerante donde todos en su casita de colores con su perrete atado en la puerta y su vaquita en el establo se invitaban a té amablemente y la policía se moría de aburrimiento porque nadie delinquía y todos eran bellísimas personas, claro.

Menos ahora, claro, que hordas de moros van por las calles fuera de control con antorchas y palos, asaltando viviendas y violando mujeres. Todos inmigrantes moros y norteafricanos, claro. Y además todos ellos tienen un pisito y pagas de 2.000 al mes y escuela gratis sin que nadie les controle nada.

Claro, claro. Así es. Claro."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18693122,24,11.0,--423339--,2016-01-26T15:30:29+00:00,1,10,"#11 A mí lo que me parece temerario es clasificar a los delincuentes en función de su religión.

Un delincuente es un delincuente. Punto y final. Me la suda si es moro, cristiano, protestante, mormón, judío o ateo.

Pero algunos parecéis empecinados en hojear la prensa todos los días en busca de algún crimen cometido por alguien de ""esta"" religión. Los crímenes cometidos por los de cualquier otra religión, nos los dejamos en el tintero, que ni dan para noticia en el Menéame de ""ya os lo dije"" ni dan para hacer campaña por el Frente Nacional y otros mastuerzos que han causado la mayor guerra y el mayor número de millones de muertos en Europa: los putos fachas."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18693063,23,22.0,--234048--,2016-01-26T15:26:20+00:00,0,18,#22 Pues difícil.. porque no soy militar.
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18693049,22,21.0,--488322--,2016-01-26T15:25:33+00:00,0,7,"#21 No te entiendo, debe ser algún chiste de ""humor militar""."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18692758,21,8.0,--234048--,2016-01-26T14:59:55+00:00,0,18,#8 Sí.. también puso de su parte.. mira que salir de casa... {undecided}
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18692752,20,,--488833--,2016-01-26T14:59:43+00:00,0,6,Soy el único al que le chirría que hable de escandinavia como si fuera un país? {palm}
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18692711,19,6.0,bensidhe,2016-01-26T14:57:08+00:00,0,12,"#6 #11 a los ""locales"" y los que ""vienen de fuera"" hay que aplicarles la misma pena para el mismo delito, cualquier otra cosa es xenofobia y racismo, crea más problemas que soluciones.

Con la excusa de que hay algún refugiado que pueda agredir a nativos, se está autorizando la expropiación a todos los refugiados. Es falso. Hay de todo en todo tipo de colectivos, todos somos personas y algunas personas cometen delitos, que deben ser perseguidos sin que quepa distinción por origen o etnia."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18692489,18,17.0,zenislev_v,2016-01-26T14:39:01+00:00,1,22,#17 {lol}
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18692362,17,16.0,--11417--,2016-01-26T14:30:16+00:00,0,13,#16 {0x1f448} {0x1f60e} {0x1f44e}
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18692321,16,15.0,zenislev_v,2016-01-26T14:26:55+00:00,0,9,"#15 Tú a callar, Bobby Fischer."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18692283,15,13.0,--11417--,2016-01-26T14:24:13+00:00,1,20,"#13 el ajedrez no es lo tuyo, en serio {troll}"
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18692273,14,10.0,--262396--,2016-01-26T14:23:15+00:00,0,7,"#10 Pero nada, seguid así. Ya tenéis a la ultraderecha llamando a la puerta en Francia, Austria, Dinamarca, Suecia.... Lo dices como si alguna de mis acciones, pasadas o futuras, pudiera haber cambiado o cambiar algo en la mentalidad de millones de europeos. Pues lamento comunicarte que no es así, por lo que haga lo que haga la mayoría de personas de este continente, será responsabilidad de aquellos que hagan y por lo que hagan, como yo lo soy en mi caso de mis acciones o palabras. En cualquier caso, si crees que ese ""miedo a la radicalización"" justifica comentarios como el que pusiste y que eso va a conseguir algo para cambiar nada, pues tú mismo."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18692269,13,8.0,zenislev_v,2016-01-26T14:23:07+00:00,0,9,"#8 Si ninguno estuviera allí, no estaríamos hablando de esto...

Jaque mate, abraza-refugiados."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18692252,12,10.0,--11417--,2016-01-26T14:21:22+00:00,1,26,"#10 pero llaman desde dentro, que nunca habían salido"
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18692209,11,1.0,Dellawerr,2016-01-26T14:17:17+00:00,1,22,"#1 Todos estos países están ayudando a refugiados proporcionándoles alojamiento, comida y ropa; basta ya de sensacionalismos dirigidos a captar lectores. 

Me parece temerario tratar de ocultar un asesinato por el hecho de pertenercer a tal o cual religión. Estos gobiernos no va a pedir la expulsión de todos los refugiados, como os dirán algunos sólo por vender portadas, y sería lamentable que se dejase a cualquier criminal esconderse entre el resto con esa excusa."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18692124,10,9.0,derosmc,2016-01-26T14:08:52+00:00,2,17,"#9 Yo no soy sueco, me la chupa. Eso lo primero.
Lo segundo, que el ""problema escandinavo"" empezó en los 70/80s, no ahora.

Pero nada, seguid así. Ya tenéis a la ultraderecha llamando a la puerta en Francia, Austria, Dinamarca, Suecia...."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18692083,9,3.0,--262396--,2016-01-26T14:04:59+00:00,2,33,"#3 Todos los ""no-buenrollistas"" que leo tanto últimamente deberías crear un partido político cuya principal misión sea la retirada de apoyo de los tratados internacionales y de las obligaciones contraídas por todos nuestros países ""buenrollistas"".

Porque, a día de hoy, todos estos países se comprometieron a ciertas actuaciones, se alinearon países según ""buenrollistas que firman tratados y se comprometen y los que no"", y cuando llegan las consecuencias de ""llevar la paz"" al mundo con bombas, entonces nadie quiere compromisos, y se empieza una campaña obvia destacando únicamente los sucesos donde inmigrantes o refugiados origen musulmán cometen algún acto criminal como ""refugiados"", aunque muchos de los casos sean de gente que lleva años aquí, por ejemplo.

Pues no oye, dejad ese chavinismo antisistema, y cambiar las leyes como lo hacen los demócratas, y que los gobiernos cumplan con sus obligaciones primero antes de empezar a generalizar culpas sobre quien venga. Porque no puedes esperar, después del bochorno que ha sido estos dos años con esta huída masiva de gente, que todos los que lleguen sean preciosas personas y no haya criminales entre ellos, cuando no ha habido filtro ni organización alguna, es simplemente absurdo esperar eso. Que es fácil olvidar, pero la hemeroteca, de momento, siga accesible."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18692081,8,7.0,--488322--,2016-01-26T14:04:48+00:00,4,48,"#7 De la misma noticia: ""El perpetrador había sido reducido por otros residentes"".

""La víctima de 22 años, identificada como Alexandra Mezher, era de origen libanés ."" cc/ #6"
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18692023,7,1.0,--234048--,2016-01-26T13:58:19+00:00,1,21,"#1 Lástima que algún refugiado puso de su parte colaborando. 

Una pena."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18691912,6,1.0,zenislev_v,2016-01-26T13:48:21+00:00,2,19,"#1 A los locales que agreden no hay otra que aguantarlos... a los que vienen de fuera, pues no."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18691860,5,,--11417--,2016-01-26T13:42:56+00:00,0,13,http://www.thelocal.se/20151102/stockholm-worst-nordic-city-for-gun-crime
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18691761,4,3.0,--11417--,2016-01-26T13:34:50+00:00,1,26,#3 Eso que dices que eran países seguros es mentira.
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18691537,3,,derosmc,2016-01-26T13:16:38+00:00,12,33,"No son agresiones puntuales. Los lideres buenrollistas han estado ocultando cientos de crimenes para ""proteger a la sociedad de si misma"" y no ""criminalizar a un colectivo"" provocando el efecto totalmente contrario, la extrema derecha aumentando y con visos de gobernar porque la gente esta harta del buenrollismo y de que les engañen.

No, la cultura escandinava NO es compatible con la cultura ""levantina"" o ""norteafricana"". Paises como Suecia eran lugares totalmente seguros sin practicamente crimen y ahora hay ciudades-ghetto como Malmo donde la policia no quiere ni puede imponer la ley en muchos barrios. Y no hablamos de sensacionalistas violaciones en grupo, sino crimenes de bandas a la centroamericana.

Y a esto, los suecos y otros escandinavos no están aconstumbrados. Es nuevo y ven de donde viene. Y cada vez más.

Quizás si hubieran ""recapacitado"" a tiempo y hubieran buscado soluciones a la inmigración menos ""bucólicas"" ahora no tendrían que estar enfrentandose al fantasma de la ultraderecha. Esto es culpa de un estado que ha tratado a sus ciudadanos como estúpidos, ocultandoles la realidad y se han cansado de ello. El multi-culturalismo a la escandinava  no funciona."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18691457,2,,--501250--,2016-01-26T13:09:46+00:00,0,7,"Da la sensación de que en esto de los refugiados se ha hecho todo mal. Todo han sido improvisaciones, desacuerdos entre países, etc. Quizá hasta ha pasado menos de lo que podría haber pasado.

Por lo visto las condiciones de los refugiados en Jordania es relativamente buena, aunque se les niega que el trabajo, etc. Había una idea muy buena que proponía crear pequeños ""estados"" en el exilio en países como Jordania, Turquía y de esas regiones. Pero claro, sin el apoyo de Europa o EEUU es imposible."
inmigracion,https://www.meneame.net/story/escandinavia-blinda-contra-refugiados-tras-asesinato-trabajadora,2552710,18691302,1,,bensidhe,2016-01-26T12:58:31+00:00,7,71,"Una ley xenófoba contra los refugiados que permitirá expropiarles propiedades no puede justificarse por una agresión puntual, como son las que sufren trabajadores por parte de personas de toda condición. La razón de esa nueva ley no es ninguna agresión, es la voluntad política de criminalización."
