tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/eeuu-anuncia-espana-aceptara-migrantes-desde-nuevos-centros,3807182,38285903,15,,Escafurciao,2023-04-28T05:39:45+00:00,0,7,"Yo la verdad no entiendo a los españoles muy españoles, los inmigrantes legales son muy necesarios vengan de donde vengan y si encima es por el país sin nombre, es un buen negocio, siempre que sigan las vías legales y voluntario."
inmigracion,https://www.meneame.net/story/eeuu-anuncia-espana-aceptara-migrantes-desde-nuevos-centros,3807182,38285861,14,3.0,Muchamiel123,2023-04-28T05:29:04+00:00,0,6,"#3 se nota, no hay trabajo para los que somos y ya estan aqui como para que venga mucho mas."
inmigracion,https://www.meneame.net/story/eeuu-anuncia-espana-aceptara-migrantes-desde-nuevos-centros,3807182,38285854,13,,Norbertofake,2023-04-28T05:27:31+00:00,0,6,Unos los mandan a ruanda y estos a españa
inmigracion,https://www.meneame.net/story/eeuu-anuncia-espana-aceptara-migrantes-desde-nuevos-centros,3807182,38285806,12,,urannio,2023-04-28T05:04:05+00:00,0,10,Mejor dicho Hispanoamérica
inmigracion,https://www.meneame.net/story/eeuu-anuncia-espana-aceptara-migrantes-desde-nuevos-centros,3807182,38285790,11,,Juantxi,2023-04-28T04:54:13+00:00,0,11,"Si buana Biden, lo que quiera."
inmigracion,https://www.meneame.net/story/eeuu-anuncia-espana-aceptara-migrantes-desde-nuevos-centros,3807182,38285697,10,,--753051--,2023-04-28T02:29:20+00:00,0,7,"""EEUU anuncia"", porque Sánchez ha vuelto mudo."
inmigracion,https://www.meneame.net/story/eeuu-anuncia-espana-aceptara-migrantes-desde-nuevos-centros,3807182,38285695,9,,--752369--,2023-04-28T02:27:31+00:00,2,-1,Ya llega el reemplazo.
inmigracion,https://www.meneame.net/story/eeuu-anuncia-espana-aceptara-migrantes-desde-nuevos-centros,3807182,38285683,8,3.0,fofito,2023-04-28T02:16:29+00:00,1,24,"#3 Tu has oído alguna vez lo de ""el que parte y reparte se queda con la mejor parte"" ?

Pues aquí ese es EEUU."
inmigracion,https://www.meneame.net/story/eeuu-anuncia-espana-aceptara-migrantes-desde-nuevos-centros,3807182,38285405,7,1.0,sotillo,2023-04-27T22:42:26+00:00,1,23,"#1 No, Si te parece nos van a preguntar, para ellos ni siquiera somos blanquitos y encima vamos desarmados…."
inmigracion,https://www.meneame.net/story/eeuu-anuncia-espana-aceptara-migrantes-desde-nuevos-centros,3807182,38285245,6,0.0,suppiluliuma,2023-04-27T22:06:19+00:00,2,28,#0 Parece duplicada: https://www.meneame.net/story/espana-llega-acuerdo-eeuu-traer-migrantes-desde-centros
inmigracion,https://www.meneame.net/story/eeuu-anuncia-espana-aceptara-migrantes-desde-nuevos-centros,3807182,38285227,5,,Aiden_85,2023-04-27T22:01:37+00:00,0,10,"Yo si fuera la derecha española ""exigiría al gobierno"" (y lo haría sacando el índice hacia arriba), que les informará de cuales son sus derechos laborales y que las horas extras son retribuidas, para que si sufren algún tipo de abuso sepan que pueden reclamar al empresario. Y así no quiten el trabajo al español.
 Y digo más, si como cliente sospecho que puede haber alguna irregularidad, también denuncio, si yo pago impuestos, otros también deberían hacerlo. 
Así se acaba con parte de la economía sumergida y de la explotación laboral."
inmigracion,https://www.meneame.net/story/eeuu-anuncia-espana-aceptara-migrantes-desde-nuevos-centros,3807182,38285206,4,,Troglobyte,2023-04-27T21:54:27+00:00,2,28,"Sánchez: “A mandar señorito, que para eso estamos”"
inmigracion,https://www.meneame.net/story/eeuu-anuncia-espana-aceptara-migrantes-desde-nuevos-centros,3807182,38285205,3,,Ratef,2023-04-27T21:54:24+00:00,2,21,"Bueno, la realidad es que el volumen de inmigración que va a necesitar España los próximos 20 años va a ser colosal. 

Lo de gestionarlo en origen en vez de esperar a que estén de ilegales trabajando en black para luego regularizarlos, lo mismo tiene ventajas."
inmigracion,https://www.meneame.net/story/eeuu-anuncia-espana-aceptara-migrantes-desde-nuevos-centros,3807182,38285186,2,,Cehona,2023-04-27T21:48:02+00:00,1,18,Entran pocos por Canarias y Algeciras.
inmigracion,https://www.meneame.net/story/eeuu-anuncia-espana-aceptara-migrantes-desde-nuevos-centros,3807182,38285180,1,,Bragi,2023-04-27T21:46:09+00:00,7,70,Esto explica la invitación de Biden a Sánchez a la casa blanca. EEUU toma una decisión y ahora se lo van a explicar con marionetas a nuestro presi.
