tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/rafael-bardaji-darth-vader-vox-espana-ha-llegado-limite-aqui-no,3189622,27912899,13,,chochete,2019-09-30T07:15:59+00:00,0,6,y cuanta razon tiene
inmigracion,https://www.meneame.net/story/rafael-bardaji-darth-vader-vox-espana-ha-llegado-limite-aqui-no,3189622,27909236,12,,--547085--,2019-09-29T16:09:55+00:00,1,6,"Lo que no caben son mas tontos, Rafa. Haz la maleta, vete a tomar por culo, y deja sitio a uno nuevo"
inmigracion,https://www.meneame.net/story/rafael-bardaji-darth-vader-vox-espana-ha-llegado-limite-aqui-no,3189622,27909200,11,10.0,Brill,2019-09-29T16:04:38+00:00,0,10,#10 Pues mola {lol}
inmigracion,https://www.meneame.net/story/rafael-bardaji-darth-vader-vox-espana-ha-llegado-limite-aqui-no,3189622,27909182,10,2.0,ochoceros,2019-09-29T16:02:53+00:00,5,58,#2 También les puedes enseñar esto
inmigracion,https://www.meneame.net/story/rafael-bardaji-darth-vader-vox-espana-ha-llegado-limite-aqui-no,3189622,27909156,9,1.0,--597299--,2019-09-29T15:58:43+00:00,0,6,#1 ni listillos pijiprogres
inmigracion,https://www.meneame.net/story/rafael-bardaji-darth-vader-vox-espana-ha-llegado-limite-aqui-no,3189622,27909081,8,7.0,Brill,2019-09-29T15:50:03+00:00,0,10,#7 Los que quieran.
inmigracion,https://www.meneame.net/story/rafael-bardaji-darth-vader-vox-espana-ha-llegado-limite-aqui-no,3189622,27908993,7,2.0,--534998--,2019-09-29T15:38:20+00:00,2,30,#2 ¿Cuántos miembros de la familia real saudí dices que viven en España?
inmigracion,https://www.meneame.net/story/rafael-bardaji-darth-vader-vox-espana-ha-llegado-limite-aqui-no,3189622,27908939,6,,yopasabaporaqui,2019-09-29T15:31:20+00:00,1,6,Como les interesa a estos monas vender una situación limite que sólo existe en sus delirios..
inmigracion,https://www.meneame.net/story/rafael-bardaji-darth-vader-vox-espana-ha-llegado-limite-aqui-no,3189622,27908933,5,2.0,ElPerroDeLosCinco,2019-09-29T15:30:07+00:00,0,11,#2 O venezolanos.
inmigracion,https://www.meneame.net/story/rafael-bardaji-darth-vader-vox-espana-ha-llegado-limite-aqui-no,3189622,27908896,4,2.0,Feindesland,2019-09-29T15:25:36+00:00,4,41,"#2 Pero lo mismo sucede por el lado contrario: ¿Hasta qué cifra hay que aceptar?

Sin respuesta, igualmente."
inmigracion,https://www.meneame.net/story/rafael-bardaji-darth-vader-vox-espana-ha-llegado-limite-aqui-no,3189622,27908823,3,,--133448--,2019-09-29T15:17:09+00:00,0,10,"Ni tontos, y ya vemos que cada día aparece uno nuevo."
inmigracion,https://www.meneame.net/story/rafael-bardaji-darth-vader-vox-espana-ha-llegado-limite-aqui-no,3189622,27908811,2,,Brill,2019-09-29T15:14:58+00:00,9,88,"Excepto futbolistas y miembros de la familia real saudí, que esos molan.

Ahora en serio, cada vez que alguien me dice que hay demasiados inmigrantes, les suelo preguntar cuál sería un número aceptable y no me saben contestar. Se nota que no han estudiado la cuestión muy a fondo."
inmigracion,https://www.meneame.net/story/rafael-bardaji-darth-vader-vox-espana-ha-llegado-limite-aqui-no,3189622,27908799,1,,Olarcos,2019-09-29T15:13:19+00:00,5,63,Lo que no caben son más tontos.
