tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39691883,23,22.0,Ysinembargosemueve,2023-11-18T00:20:06+00:00,1,25,#22 El jefe de los homosexuales ricos.
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39691203,22,9.0,hoplon,2023-11-17T21:17:50+00:00,3,-12,"#9  #10 Ah, el lobby LGBTI, el hombre del saco de los homófobos reaccionarios."
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689862,21,19.0,--181777--,2023-11-17T16:44:12+00:00,0,20,#19 El que está seguro de su sexualidad no se mete en la del resto
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689780,20,15.0,RoterHahn,2023-11-17T16:27:14+00:00,1,23,"#15 
Marcha atrás. {grin}"
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689764,19,17.0,SubeElPan,2023-11-17T16:24:11+00:00,1,28,#17 Tampoco soy miembro del club de lectores y no por ello estoy en contra de los libros.
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689746,18,14.0,Asimismov,2023-11-17T16:20:07+00:00,1,12,"#14 ahí has estado bien. 
Te voto positivo. 
Aunque ... que ser de izquierdas te da un aura de superioridad en todos los aspectos, cuando no es así, ... que te lo podrías haber ahorrado."
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689741,17,11.0,--181777--,2023-11-17T16:19:20+00:00,0,20,"#11 Los homófobos suelen ser homosexuales reprimidos, coge un libro

El que está bien con su sexualidad no se mete en la de los demas, Freud"
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689738,16,14.0,--181777--,2023-11-17T16:18:33+00:00,2,42,"#14 Si no eres machista, monarquico, antiaborto, ni protaurino, ni procaza, ni católico igual no eres de derechas"
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689629,15,,gale,2023-11-17T15:58:59+00:00,0,11,Los rusos tienen mucho margen para avanzar.
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689599,14,2.0,Barney_77,2023-11-17T15:52:37+00:00,0,11,"#2 No hay que ser facha para ser Homofoba. La ideología política no es lo mismo que las taras mentales. Parece que ser de izquierdas te da un aura de superioridad en todos los aspectos, cuando no es así. Hay gente de izquierdas católica, pro taurina, machista, homofoba... Lo mismo que hay gente con ideología de derechas (fachas para ti) que ni somos monárquicos, ni machistas, ni antiaborto, ni protaurino, ni procaza, ni católica, ni religiosa, ni homofobos...
Joder, que parece que el pack es único e indivisible, que o compras todo o eres facha..."
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689531,13,9.0,Relajao,2023-11-17T15:42:13+00:00,3,25,#9 Eso digo
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689507,12,,Kuruñes3.0,2023-11-17T15:38:22+00:00,0,6,Nazis buenos.
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689414,11,6.0,SubeElPan,2023-11-17T15:26:29+00:00,0,10,"#6 El que no es miembro del movimiento, ¿es homófobo? Esto es como lo de si me meto con Podemos es que soy de derechas."
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689387,10,9.0,--461414--,2023-11-17T15:22:58+00:00,2,36,"#9 No les saques de la ignorancia, que da la felicidad"
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689372,9,4.0,Ysinembargosemueve,2023-11-17T15:19:52+00:00,2,34,"#4 Es que esa es la diferencia, estar en contra de los lobbys Lgtbi...no es estar en contra ó negar la homosexualidad."
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689265,8,,ostiayajoder,2023-11-17T15:04:56+00:00,1,17,"No lo confunde, es lo mismo 

Las pajas mentales q os monteis para negar vuestra homofobia, sinceramente, me chupan un huevo."
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689232,7,,shem,2023-11-17T15:01:01+00:00,4,46,"Noticia sensacionalista, Rusia lo solicita pero toda persona de bien sabe que en realidad no quieren hacerlo, es que EE.UU. les obliga.

#RusiaChina"
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689208,6,,--181777--,2023-11-17T14:57:02+00:00,0,20,"Hay gente fuera del colectivo? ah sí los homófobos, cierto no me acordaba."
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689204,5,,Yonny,2023-11-17T14:56:14+00:00,4,44,"Defender la igualdad y libertad es extremista, muy bien, así debe ser. Ni un paso atrás, no se debe pedir permiso. Se debe exigir."
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689191,4,2.0,Relajao,2023-11-17T14:54:50+00:00,2,24,"#2 No confundir ""movimiento internacional LGTBI"" con ""persona no heterosexual"".
Dicho esto, me cago en Putin.

No te molestes en contestarme, te he leído porque sale tu comentario destacado."
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689179,3,,curiosopaseante,2023-11-17T14:52:31+00:00,0,9,"¡Qué coincidencia!

https://es.euronews.com/my-europe/2023/07/10/la-ultraderecha-de-vox-ataca-los-derechos-de-gays-y-mujeres-en-visperas-de-las-elecciones-"
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689151,2,,--181777--,2023-11-17T14:45:48+00:00,9,94,"Vaya, parece que los que mandan en Rusia tienen tensiones sexuales no resueltas

El que está seguro de su sexualidad no se mete con la de los demás, eso solo lo hacen los frikis fachas, terraplanistas, negacionistas y demás de la extrema derecha"
lgtbi,https://www.meneame.net/story/gobierno-rusia-solicita-declarar-extremista-movimiento-lgtbi,3877412,39689143,1,,ElTioPaco,2023-11-17T14:45:03+00:00,6,67,"Al final toda la gente de ultraderecha tiene sus A,B,C... Para desviar la atención de los problemas importantes.

""Las personas que se acuestan con personas con las que yo no quiero que se acuesten"" parece ser algo bastante común en todos los sitios para desviar la atención.

Que curioso que esté parezca ser el mayor problema para los rusos ahora mismo, no?"
