tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/psoe-lleva-bruselas-modificaciones-lgtbi-trans-ayuso-pide,3881165,39761737,25,,Pepepaco,2023-11-29T08:08:05+00:00,0,12,"Como ya te he dicho anteriormente: ""Me olvidaba del hecho que saber leer no significa necesariamente ser capaz de entender lo que se lee."""
lgtbi,https://www.meneame.net/story/psoe-lleva-bruselas-modificaciones-lgtbi-trans-ayuso-pide,3881165,39761348,24,23.0,--673917--,2023-11-29T06:49:27+00:00,1,18,"#23 Sí, te entiendo, aunque yo no flipo ya nada. Menéame se ha inundado de fieles seguidores del Gobierno actual que defienden cualquier cosa que haga y repiten sus consignas una y otra vez de manera completamente acrítica. Y como parte de la estrategia del Gobierno es la confrontación total con PP y Vox, sus fieles seguidores demonizarán cualquier cosa que hagan o digan estos, de nuevo de manera completamente acrítica. Esto es un mundo infantil de buenos y malos en el que lo primero que se hace es ponerte una etiqueta según lo que digas, y en cuanto te sales de las consignas eres de los malos, eres un facha. Por fortuna, queda gente que no es así, pero cada vez menos. 

El caso de estas modificaciones de las leyes LGTBI y Trans es más de lo mismo. Como lo hace la Comunidad de Madrid, gobernada por la diablesa Ayuso, para qué vamos a pensar ni a analizar nada: ¡Ayuso quiere eliminar derechos fundamentales a gays y trans! Y ya está, esa es la consigna. Luego uno se pone a leer los cambios con un poquito de objetividad (esquivando las opiniones de activistas que introduce Newtral, hay que joderse con los del fact-checking, que solo preguntan a expertos de un lado) y bueno, habrá cosas que a cada uno le parecerán mejor o peor, pero desde luego no hay ni rastro de lesión de derechos fundamentales, y de hecho me cuesta ver lesión de ningún tipo de derecho. Pero en fin, el teatrillo de la política es el que es y the show must go on.

Eso sí, completamente de acuerdo en que lo de la inversión de la carga de la prueba me parece una aberración jurídica (lo es en cualquier contexto, eso sí que se carga un derecho fundamental, que es la presunción de inocencia) y estoy completamente de acuerdo en que se elimine. Y quiero pensar que la mayoría de los que por aquí se llevan las manos a la cabeza con las modificaciones de estas leyes estarían de acuerdo con la medida si se quitasen las gafas partidistas."
lgtbi,https://www.meneame.net/story/psoe-lleva-bruselas-modificaciones-lgtbi-trans-ayuso-pide,3881165,39760892,23,4.0,Suspicious,2023-11-28T23:39:10+00:00,1,18,"#4 #22 Estoy flipado y preocupado a partes iguales.

Flipado porque veo a gente diciendo cosas muy grandes que se caen con preguntas demasiado sencillas. 

- Estas leyes lesionan derechos fundamentales
- Qué derechos?
- Eeeeeeeee Eres un restrasado!

Y preocupado por que exista este párrafo que nos pone el enlace de newtral
www.newtral.es/recorte-ley-trans-madrid-ley-lgtbi/20231117/

""Por otro lado, el PP también propone derogar el artículo relativo a la inversión de carga de prueba. Esta herramienta se introdujo a través de la legislación antidiscriminatoria de la Unión Europea, como explica aquí el Consejo para la Eliminación de la Discriminación. “Un sistema probatorio más favorable hacia las personas que denuncian haber sido víctimas de una discriminación”, señala el organismo. Es decir, en ciertas leyes antidiscriminatorias, y nunca en casos penales, una norma puede contemplar este sistema según el cual “no es la víctima quien debe probar que ha habido un acto de discriminación”, sino que “corresponde a la parte demandada (el presunto agente discriminador) demostrar que no ha habido vulneración del principio de igualdad de trato”.""

Esto es real???????????????????? 
{huh} {huh} {huh} {huh} {huh}"
lgtbi,https://www.meneame.net/story/psoe-lleva-bruselas-modificaciones-lgtbi-trans-ayuso-pide,3881165,39759017,22,21.0,--673917--,2023-11-28T16:59:04+00:00,1,18,"#21 Gracias, beocio. Tal y como pensaba, por lo que dice ese artículo no lesionan ningún derecho fundamental.
Y ahora te vas a darle el coñazo a otro."
lgtbi,https://www.meneame.net/story/psoe-lleva-bruselas-modificaciones-lgtbi-trans-ayuso-pide,3881165,39758997,21,20.0,Pepepaco,2023-11-28T16:55:47+00:00,2,13,"#20 Ten, gandul.
No era tan difícil.
""Así afectaría el recorte que propone el PP de las leyes trans y LGTBI madrileñas""

https://www.newtral.es/recorte-ley-trans-madrid-ley-lgtbi/20231117/"
lgtbi,https://www.meneame.net/story/psoe-lleva-bruselas-modificaciones-lgtbi-trans-ayuso-pide,3881165,39758978,20,17.0,--673917--,2023-11-28T16:52:43+00:00,0,10,"#17 Eres un buen ejemplo de lo que dices. Enhorabuena, lo primero es reconocerlo. Y gracias por confirmar que la noticia no dice qué derechos fundamentales lesionan estas leyes. Aunque empiezo a dudar de que sepas lo que es un derecho fundamental."
lgtbi,https://www.meneame.net/story/psoe-lleva-bruselas-modificaciones-lgtbi-trans-ayuso-pide,3881165,39758631,19,18.0,Pepepaco,2023-11-28T15:57:27+00:00,1,23,"#18 ¿Sabes que puedes hacer?
Llamas por teléfono a Santi Rivero o a Víctor Gutiérrez y les pides que te den una explicación personalizada.
Como tu comprenderás no es culpa suya, ni mía, que el artículo de Europa Press sea un resumen y en él no se expongan detalladament todas las conversaciones que han tenido en el Parlamento Europeo.
También puedes leer la información sobre los recortes de derechos LGTBI y a las personas trans que ha hecho Ayuso y formarte una opinión tu mismo.
¿Ves? Ya tienes dos posibilidades para informarte sin darme la tabarra. 
Buenas tardes."
lgtbi,https://www.meneame.net/story/psoe-lleva-bruselas-modificaciones-lgtbi-trans-ayuso-pide,3881165,39758542,18,17.0,DangiAll,2023-11-28T15:44:17+00:00,1,22,"#17 queremos trasladar el primer recorte de los derechos LGTBI ¿Pero que recorte?
No dice nada concreto, parece mas una flama política que otra cosa.
Que puede que si, que recorten algún derecho, pero que digan cual."
lgtbi,https://www.meneame.net/story/psoe-lleva-bruselas-modificaciones-lgtbi-trans-ayuso-pide,3881165,39758339,17,9.0,Pepepaco,2023-11-28T15:08:34+00:00,2,13,"#9 Me olvidaba del hecho que saber leer no significa necesariamente ser capaz de entender lo que se lee.
""PSOE lleva a Bruselas las modificaciones LGTBI y Trans de Ayuso y pide que ""observen"" que se preservan derechos.
""Uno de los pilares de la Unión Europea es el respeto a los derechos humanos y, por tanto, al de las personas LGTBI que vivimos en la misma. Y es por eso que queremos trasladar el primer recorte de los derechos LGTBI de la democracia española a los máximos garantes de los mismos"", ha remarcado Rivero."""
lgtbi,https://www.meneame.net/story/psoe-lleva-bruselas-modificaciones-lgtbi-trans-ayuso-pide,3881165,39757963,16,,--394252--,2023-11-28T14:02:03+00:00,0,8,"Usa el buscador, o escribe a la agencia y pídeles que te lo amplien"
