tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/assange-pide-francia-asilo-hollande-descarta,2440785,17229755,14,,mmlv,2015-07-03T12:42:07+00:00,0,15,"Liberté, Egalité, Fraternité"
inmigracion,https://www.meneame.net/story/assange-pide-francia-asilo-hollande-descarta,2440785,17229595,13,5.0,Nitros,2015-07-03T12:18:11+00:00,1,11,"#5 #9 Para poder venir a España, tiene que poder salir de la embajada, evadir a los agentes que la vigilan constantemente, salir de Londres sin que ningún otro agente le vea, salir de Reino Unido saltándose todos los controles de seguridad (en avión o tren sería imposible, así que solo le queda la opción de barco) y llegar a España sin que le pillen por el camino.

Lo tiene jodido.

#8 Se lo ha pedido a Francia porque se acaban de enterar que la NSA sabía hasta la talla de calzoncillos de Hollande."
inmigracion,https://www.meneame.net/story/assange-pide-francia-asilo-hollande-descarta,2440785,17229579,12,,Mimaus,2015-07-03T12:16:58+00:00,0,6,que se lo pida a Grecia...
inmigracion,https://www.meneame.net/story/assange-pide-francia-asilo-hollande-descarta,2440785,17229365,11,1.0,--403407--,2015-07-03T11:50:59+00:00,1,20,#1 El amo que les espia {wall}
inmigracion,https://www.meneame.net/story/assange-pide-francia-asilo-hollande-descarta,2440785,17229213,10,,--384943--,2015-07-03T11:27:05+00:00,2,31,"Les espían, algo muy grave pienso yo, salen haciéndose los más indignados del mundo modo marujas de mercado, pero en el fondo sabemos que harán lo que se les mande

Triste destino el de Europa al estar dirigidos por esta banda de mediocres"
inmigracion,https://www.meneame.net/story/assange-pide-francia-asilo-hollande-descarta,2440785,17229144,9,,shem,2015-07-03T11:18:39+00:00,0,11,"Apuestas a que termina en España... y no es broma. España es el único país Europeo que tiene la posibilidad de en breve tener un gobierno estable que no este deseando poner el culito en pompa a USA (lo que se conoce como ""hacer el Aznar"") y dispuesto a defender su soberanía nacional frente a los intereses extranjeros."
inmigracion,https://www.meneame.net/story/assange-pide-francia-asilo-hollande-descarta,2440785,17229061,8,,Gothic,2015-07-03T11:04:59+00:00,0,10,Creo que se la ha pedido a Francia  porque cree que Hollande es socialista {lol}
inmigracion,https://www.meneame.net/story/assange-pide-francia-asilo-hollande-descarta,2440785,17228982,7,2.0,--37472--,2015-07-03T10:55:41+00:00,0,10,#2 Y que lo digas
inmigracion,https://www.meneame.net/story/assange-pide-francia-asilo-hollande-descarta,2440785,17228919,6,,tartarus,2015-07-03T10:50:02+00:00,1,16,Asilo de lo imposible.
inmigracion,https://www.meneame.net/story/assange-pide-francia-asilo-hollande-descarta,2440785,17228808,5,,misterPCR,2015-07-03T10:35:46+00:00,4,36,"Si Podemos gana las elecciones, lo acogen al día siguiente. Y de paso al Snowden."
inmigracion,https://www.meneame.net/story/assange-pide-francia-asilo-hollande-descarta,2440785,17228698,4,,powernergia,2015-07-03T10:25:45+00:00,6,53,"Con lo que fue Francia, y ahora bajándose los pantalones con Alemania en el asunto griego, y con los americanos en esto."
inmigracion,https://www.meneame.net/story/assange-pide-francia-asilo-hollande-descarta,2440785,17228684,3,1.0,LuisPas,2015-07-03T10:23:46+00:00,1,22,"#1 no, que cuesta una pasta!"
inmigracion,https://www.meneame.net/story/assange-pide-francia-asilo-hollande-descarta,2440785,17228682,2,,Angelusiones,2015-07-03T10:23:40+00:00,9,80,"Los presidentes europeos son putas de EEUU: Hollande, Rajoy, Cameron...

Y podría seguir pero el ejemplo es bastante aclarador."
inmigracion,https://www.meneame.net/story/assange-pide-francia-asilo-hollande-descarta,2440785,17228636,1,,manuelpepito,2015-07-03T10:17:07+00:00,6,49,No que se cabrea el amo
