tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38602462,43,42.0,Harkon,2023-06-12T20:46:56+00:00,0,12,"#42 Obviamente es una suposición mía basada en evidencias que me hacen sospechar de ello no una acusación formal, lo que hacía era hablar coloquialmente, ahora si quieres que me la coja con papel de fumar reformuulo mi afirmación La posible financiación, dadas las evidencias, tiene sospechas de venir presuntamente del entorno del PSOE, no obstante esto estaría por demostrar con una investigación judicial que no creo que nadie quiera iniciar, no como las de otros cuando sospechan que vienen de venezuela Así mejor? {lol}"
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38599726,42,41.0,--718914--,2023-06-12T14:45:47+00:00,1,19,"#41 De tu comentario #34 ""Podemos siempre se lo puso en tela de jucio por su financiación cuando siempre fue transparente con la misma y sabemos de donde viene, de parte de sus sueldos, casualmente ahora nadie pone en tela de juicio la de Sumar y de repente tiene pasta para actos, alquileres, etc... pues ya te digo de donde viene, del PSOE a cambio de determinados vetos, entre ellos el de montero. "" Aquí todo el mundo tiene ojos, no sólo yo."
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38599702,41,40.0,Harkon,2023-06-12T14:42:51+00:00,0,12,"#40 No, no me invento nada, hago suposiciones no acusaciones pero muestro las evidencias que tengo"
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38599672,40,39.0,--718914--,2023-06-12T14:40:24+00:00,3,48,"#39 Osea, que lo supones y lo afirmas. Te inventas su financiación. Como hace Inda.

Preguntaré sobre la financiación de Sumar cuando hable con un fanático de Sumar. A ti, si acaso, te preguntaré por Montero bien que la pusisteis en tela de juicio y esta no, no te veo hacer lo mismo ni a ti ni a nadie, lo que me resulta cuanto menos ""sospechoso"" Y hasta aquí la conversación. Cuando saques a la luz un mensaje mío cuestionando la financiación de Podemos, podemos seguir. Mientras tanto, eres un mentiroso y/o un paranoico, y yo no discuto con ninguno de los dos tipos. 
Todo el mundo te puede leer, no necesito convencerles de más. 

Un saludo."
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38599615,39,38.0,Harkon,2023-06-12T14:34:38+00:00,0,12,"#38 Tiene toda la pinta, no tengo pruebas pero sí evidencia indicativas de ello que son las que te he dicho, además piénsalo, si el PSOE pone a Calvo y Sumar a Montero y ganan? Que crees que va a pedir Montero de ministerio y que crees que va a proponer el PSOE en su lugar para que no moleste mucho? O es tan dificil de suponer?

Por otro lado cuando me cuentes la ""transparencia"" de Sumar en cuanto a financiación me dices, que la de Podemos estaba clarita pero bien que la pusisteis en tela de juicio y esta no, no te veo hacer lo mismo ni a ti ni a nadie, lo que me resulta cuanto menos ""sospechoso"" (más bien por el silencio mediático al respecto cuando a Podemos se le frió desde el principio con ese tema)"
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38599564,38,37.0,--718914--,2023-06-12T14:30:35+00:00,1,19,"#37 No inventes, no he dicho que no haya que planteárselo. He dicho que demuestres los que TÚ dices:

1 Que los financia el PSOE 
2 A cambio de vetar a Montero ya te digo de donde viene, del PSOE a cambio de determinados vetos, entre ellos el de montero. ¿O estás haciendo algo diferente a Inda diciendo que a Podemos los financiaba Venezuela si hablas sin pruebas?"
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38599541,37,36.0,Harkon,2023-06-12T14:28:10+00:00,0,12,"#36 te tengo que demostrar que a Podemos siempre se le ha aexigido transparencia para luego poner en duda sus cuentas igualmente hasta por caza judicial, para que ahora ninguno de vosotros ni nadie se cuestione siquiera de donde está sacando el dinero Sumar?

Las otras cosas son evidencias, que Sánchez rescate a carmen calvo es un indicativo de que la quiere para Igualdad, la que defiende el feminismo planchando que es la que gusta a la derecha y a los machistas, esa sí que va a scar buenas notas claro, porque hará feminismo de boquilla, del que no molesta a nadie. 

Si un ministro/a de izquierdas está bien valorado por la derecha yo me preocuparía {wink}"
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38598953,36,34.0,--718914--,2023-06-12T13:31:01+00:00,1,19,#34 Demuéstramelo.
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38592288,35,25.0,gontxa,2023-06-11T17:05:02+00:00,2,30,#25 para flipar con el personaje {lol} {lol} {lol}
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38592281,34,30.0,Harkon,2023-06-11T17:02:57+00:00,1,5,"#30 A ver que ya he vuelto de la playa. No, no le interesa porque de sacar puesto de diputada sabe que pedirían de nuevo Igualdad, y el PSOE quiere poner al Carmen Calvo (1- para no avanzar más en derechos de igualdad y 2- para sabotear cualquier medida del equipo anterior y echar más mierda sobre Montero). De hecho creo que el veto viene del PSOE, no de Yolanda y te cuento mi sospecha, alguien sabe como se financia Sumar? A Podemos siempre se lo puso en tela de jucio por su financiación cuando siempre fue transparente con la misma y sabemos de donde viene, de parte de sus sueldos, casualmente ahora nadie pone en tela de juicio la de Sumar y de repente tiene pasta para actos, alquileres, etc... pues ya te digo de donde viene, del PSOE a cambio de determinados vetos, entre ellos el de montero."
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38591783,33,,liztorra,2023-06-11T15:36:24+00:00,4,50,"Jaume d'Urgell es un jeta que montó fundación con una amiga para pedir dinero. Tiene bloqueado a medio twitter. Dicen tener sedes en NY, Bruselas, etc, pero su única dirección registrada está en Madrid, y no hacen NADA."
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38591775,32,14.0,DangiAll,2023-06-11T15:34:22+00:00,2,29,"#14 Montero es un activo tóxico ahora mismo, meterla en Sumar es una forma de quitarle votos, votos que pueden terminar en el PSOE"
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38591746,31,,DangiAll,2023-06-11T15:26:59+00:00,3,36,"Irene en Sumar da votos al PSOE.

#30 se ha enfadado harkon"
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38591626,30,20.0,--718914--,2023-06-11T15:05:21+00:00,1,19,"#20 Te has planteado que al PSOE le interesa un Sumar con Montero?
Irene es la persona que ha logrado que Podemos sea relevante, pero no tanto."
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38591570,29,2.0,--113769--,2023-06-11T14:58:00+00:00,2,29,#2 no hay que meterse con personas con limitaciones. Ya llegará el día en que entiendan la propaganda que mandan.
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38591548,28,,--113769--,2023-06-11T14:56:13+00:00,4,50,Madre mía qué grupito de vividores. Me daría vergüenza defender a esa panda. Los cibervoluntarios de podemos tenéis unas tragaderas muy grandes.
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38591518,27,,Borgiano,2023-06-11T14:52:50+00:00,0,9,"Buenas mamandurrias se busca la gente, aquí el que no corrre vuela"
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38591436,26,19.0,alexwing,2023-06-11T14:39:33+00:00,3,44,#19 con la bandera en ristre y la otra a media asta.
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38591407,25,19.0,torkato,2023-06-11T14:34:36+00:00,5,59,"#19 Por no hablar de que esta persona ya tuvo usuario aquí y se dedicó a insultar a otras personas por su condición sexual.

https://www.meneame.net/story/pedro-j-ramirez-deja-mundo-dedicarse-periodismo/c012#c-12

Ni es fundación, ni es internacional ni trabaja para los derechos humanos. Es alguien que se montó su propio chiringuito para mover dinero. No tiene poder ni valor alguno.

Dejad de darle publicidad y credibilidad a esa ""fundación"""
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38591272,24,19.0,FlatMarsSociety,2023-06-11T14:14:37+00:00,3,38,"#19 ostias! {lol} {lol}

Parece una parodia."
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38591234,23,,MacMagic,2023-06-11T14:07:48+00:00,4,59,"#_20 que vas a dar la cara tu si vas ignorando a todo el mundo, es de ser cobarde."
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38591088,22,,nanrefram,2023-06-11T13:34:20+00:00,2,26,"Hombre, sigue Urgell por ahi contando sus cosas..."
lgtbi,https://www.meneame.net/story/organismo-internacional-defiende-irene-montero-fundacion-lgtbi,3822931,38591083,21,14.0,nanrefram,2023-06-11T13:33:16+00:00,0,7,#14 Fue del PSOE
