tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17845505,17,15.0,landaburu,2015-10-04T19:52:18+00:00,0,10,"#15 #14 #16 http://www.eldiariomontanes.es/videos/sociedad/201507/30/siguen-victimas-hasta-portal-4387055299001-mm.html

http://www.antena3.com/noticias/sociedad/dos-delincuentes-acusados-asaltos-ancianos-metodo-“mataleon”_2015022600295.html"
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17840822,16,15.0,--423864--,2015-10-03T23:09:15+00:00,2,38,"#15 

http://www.youtube.com/watch?v=VQPdv7d8Evs

http://www.youtube.com/watch?v=ztPdgM4zt9A"
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17840798,15,14.0,chavi,2015-10-03T23:01:28+00:00,1,15,"#14 Pues no se en Australia, pero en España los inmigrantes no andan a patadas con las puertas de nadie, ni metiéndose en sus casas."
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17840663,14,13.0,--423864--,2015-10-03T22:23:25+00:00,0,8,"#13 Yo no soy español, soy australiano."
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17840641,13,9.0,chavi,2015-10-03T22:19:41+00:00,1,15,#9 Es más fácil que lo haga uno de los tuyos que un inmigrante. Los más grandes chorizos en este país son mas españoles que el Cid Campeador.
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17840635,12,8.0,chavi,2015-10-03T22:19:02+00:00,2,21,"#8 Y si tengo que defender mi vida y mi familia, haré todo lo necesario. Qué casualidad, igual que los inmigrantes..."
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17838837,11,7.0,Novelder,2015-10-03T16:40:16+00:00,0,6,"#7 No te lleves a engaño, no todos los inmigrantes provienen de paises en guerra ni donde hay hambrunas. Muchos solo quieren vivir mejor, ayudar a sus familiares de origen etc.

Un ejemplo hay guerra en Marruecos, hay hambruna? no. Solo quieren mejorar, muy aceptable por su parte pero por nuestra parte yo exigo un control de personas si no esto reventara."
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17838501,10,6.0,--35119--,2015-10-03T15:39:18+00:00,0,8,#6 Mejor que quedarse en Francia....
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17838473,9,7.0,--423864--,2015-10-03T15:34:00+00:00,1,18,"#7 Pues ya sabes lo que tienes que hacer cuando un inmigrante le de una patada a la puerta de tu casa y se meta dentro, dale la cena y ponlo a dormir en tu cama."
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17838194,8,7.0,--341687--,2015-10-03T14:39:56+00:00,5,47,"#7 sí es guay.

Y doy gracias a dios por vivir donde vivo, y mi familia.

Y si tengo que defender mi vida y mi familia, haré todo lo necesario.

Bienvenido al mundo real, hippie."
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17838071,7,5.0,valzin,2015-10-03T14:21:23+00:00,1,14,"#5 Por la vida se puede ir muriendo de hambre, de miedo, sin poder salvar a tus hijos de bombas o proyectiles, sin poder dormir por miedo a despertar y que no quede nada ni nadie a tu alrededor, sin ningún futuro y sin ningún presente, obedeciendo unas leyes que no te protegen, que te llevan a una muerte lenta y silenciosa, sin derechos, sin dignidad, sin nada, absolutamente nada, ¿te refieres a eso?, ¿aceptarías tú ir por la vida así?, es más, si tuvieras hijos, familia que dependiera de ti ¿aceptarías que vivieran en esas condiciones?.
Qué guai es vivir al otro lado de la valla, eh?"
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17837929,6,,--494758--,2015-10-03T14:02:12+00:00,1,16,¿Por qué tendrán todos esa obsesión de ir a Inglaterra pasando de cualquier otro país?
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17837883,5,,--423864--,2015-10-03T13:53:48+00:00,7,79,"Así no se puede ir por la vida, entrando en un país extranjero sin permiso y sin documentación, encima con fuerza en las cosas. La Unión Europea es una comunidad de derecho donde hay leyes que todo el mundo debe cumplir, así que a tomar por culo esos inmigrantes violentos, expulsión y que se vayan a romper vallas a sus correspondientes países de origen. 

http://www.youtube.com/watch?v=3ZHh3qF3Z_g"
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17837875,4,,megusta,2015-10-03T13:52:50+00:00,2,9,Escrupuloso respeto por la legalidad el de esta gente.
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17837863,3,,gelatti,2015-10-03T13:50:47+00:00,1,19,Guerra Mundial Z
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17837727,2,,chavi,2015-10-03T13:34:36+00:00,0,7,"¡¡¡ 100 !!!

Estarán acojonados, no me extraña."
inmigracion,https://www.meneame.net/story/eurotunel-suspende-servicio-sufrir-invasion-masiva-centenar,2487274,17837651,1,,pinkix,2015-10-03T13:19:22+00:00,1,19,"El servicio ya ha sido restablecido, fuente en inglés:
http://www.theguardian.com/world/2015/oct/03/eurotunnel-suspends-services-after-massive-invasion-at-calais-terminal
En francés:
http://www.lexpress.fr/actualite/societe/trafic-bloque-dans-le-tunnel-sous-la-manche-apres-l-intrusion-d-une-centaine-de-migrants_1722075.html

En español no he encontrado gran cosa."
