tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/espana-solo-ha-acogido-18-refugiados-17-000-comprometio,2577305,18996706,25,13.0,puhoa,2016-03-06T21:05:03+00:00,1,18,"#13 Me imagino que eso de que sobran o no está sometido a debate, ¿o es un dogma de fé?
A mi, como ciudadano con derechos y que pago mis impuestos me gustaría tener algo que decir, no sólo votar cada 4 años. 
Y yo no creo que sobre nadie."
inmigracion,https://www.meneame.net/story/espana-solo-ha-acogido-18-refugiados-17-000-comprometio,2577305,18995717,24,11.0,auroraboreal,2016-03-06T18:49:40+00:00,1,25,"#11 Deberías poner la fuente, para explicar esa foto. ¿QUé está pasando? ¿Por qué esa violencia? 
http://www.publico.es/internacional/violencia-inmigrantes-kos-pasividad-policia.html
En uno de los artículos de la foto que pones apuntan que solo en un mes (julio de 2015) llegaron 50000 personas a Grecia. ¡¡¡50000 personas sin nada que perder, huyendo de una guerra!!! que llegan a un país sin recursos para ayudar y con las fronteras cerradas para salir. ¿Cómo puedes juzgar el comportamiento ajeno ante una situación así? 
¿Por qué la policía no hace nada ante esta violencia? 
http://www.blitzquotidiano.it/video/video-youtube-kos-scontri-tra-migranti-per-salire-su-nave-2253165/

Nuestro gobierno se ha comprometido a acoger un número de refugiados, no a contribuir a seguir cerrando fronteras con el consiguiente aumento de violencia en ellas."
inmigracion,https://www.meneame.net/story/espana-solo-ha-acogido-18-refugiados-17-000-comprometio,2577305,18995373,23,4.0,topecb,2016-03-06T18:04:56+00:00,0,7,#4 la semana pasada por lo menos estaba
inmigracion,https://www.meneame.net/story/espana-solo-ha-acogido-18-refugiados-17-000-comprometio,2577305,18995205,22,,All_Español,2016-03-06T17:27:10+00:00,1,16,"Yo creo que se podría hacer un plan para acoger a bastantes, evidentemente sería un gasto, pero se podría hacer una acogida con ciertas condiciones repoblando algunas zonas de España. Puede que a medio y largo plazo fuera algo muy positivo para el país.
https://www.meneame.net/search?q=pueblos+espa%C3%B1oles+despoblados
Realmente no sé si es una buena idea, pero debería ser algo de lo que se hablase largo y tendido, el problema es que ahora mismo no hay gobierno, y cuando haya a saber si estará a la altura."
inmigracion,https://www.meneame.net/story/espana-solo-ha-acogido-18-refugiados-17-000-comprometio,2577305,18995179,21,19.0,--172817--,2016-03-06T17:20:13+00:00,1,30,"#19 quiero aportar que el artículo también está en un perfecto spanish:

https://es.wikipedia.org/wiki/Falacia_del_hombre_de_paja

Pero claro queda más intelectual enlazarlo a la wiki inglesa."
inmigracion,https://www.meneame.net/story/espana-solo-ha-acogido-18-refugiados-17-000-comprometio,2577305,18995012,20,11.0,--325867--,2016-03-06T16:45:19+00:00,1,14,"#11 No te preocupes, vamos sobrados de estos:"
inmigracion,https://www.meneame.net/story/espana-solo-ha-acogido-18-refugiados-17-000-comprometio,2577305,18994923,19,11.0,--138--,2016-03-06T16:28:44+00:00,7,97,"#11 El problema es que no identificas el tipo de solución a dar correctamente.
#11 Te burlas de los que dicen que hay que acoger a los refugiados creando un hombre de paja (1): ""la solución debería ser que los individuos acogiesen a los refugiados"" <- <- eso no lo pide nadie.
Sin embargo los que piden que se acoja a los refugiados hablan de una solución estructural son los (supra)estados los que deben dar acogida (frente a la individual de la que te burlas (y que nadie a propuesto).

(1) Falacia del hombre de paja: https://en.wikipedia.org/wiki/Straw_man"
inmigracion,https://www.meneame.net/story/espana-solo-ha-acogido-18-refugiados-17-000-comprometio,2577305,18994872,18,,--424445--,2016-03-06T16:21:26+00:00,4,61,"La verdad que asombra y da pena ver a las familias de refugiados intentando llegar a las costas de Grecia. 

Me he encontrado con bastantes y cuando ves en persona lo que todos sabemos, que son niños, padres, madres y familias normales que quieren huir de la pobreza y miseria, se te hunde el alma. Sobre todo sabiendo que arriesgan su vida de manera extrema durante esa hora de travesía en el mar.

Jodida situación la de esta gente. {cry}"
inmigracion,https://www.meneame.net/story/espana-solo-ha-acogido-18-refugiados-17-000-comprometio,2577305,18994851,17,11.0,charlieCooper,2016-03-06T16:17:07+00:00,7,91,#11 eso dijo Lepen en su entrevista con Ana Pastor.
inmigracion,https://www.meneame.net/story/espana-solo-ha-acogido-18-refugiados-17-000-comprometio,2577305,18994743,16,11.0,--509472--,2016-03-06T15:56:30+00:00,8,45,#11 Apestas a racismo.
