tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/feijoo-acusa-sanchez-soltar-inmigrantes-paradas-autobus,3870068,39554052,11,9.0,manzitor,2023-10-27T14:31:57+00:00,0,12,"#9 Efectivamente impotencia, desesperación y lloriqueo, pero sobre todo ignorancia y mala fe."
inmigracion,https://www.meneame.net/story/feijoo-acusa-sanchez-soltar-inmigrantes-paradas-autobus,3870068,39552790,10,,Sobitt,2023-10-27T11:32:44+00:00,0,6,¿¿Pero no les daban una casa y una paguita?? {shit} {shit} {shit}
inmigracion,https://www.meneame.net/story/feijoo-acusa-sanchez-soltar-inmigrantes-paradas-autobus,3870068,39552640,9,,juliusK,2023-10-27T11:09:00+00:00,0,7,"Está desesperado. Es evidente que si Perro lo consigue (si no lo consigue va a ser el presidente de la CE o el SG de la ONU mas guapo de la historia, fijo) y gana la investidura lo tiene crudisimo personalmente. No va aguantar cuatro años de florero detrás de un portacoz del grupo parlamentario (alguien que tiene miedo hasta de nombrar) y esperando la próximas puñalada de FAES y sus empleados. No puede ir a una empresa porque ha sido un puto nini toda la vida. No puede ir a Europa porque todavía no ha acabado (probablemente ni empezado) el curso intensivo de piquininglis. No puede volver a su anterior (y plácida) satrapía... Esa es su estrategia, o consigue que pete todo diciendo burradas y con unas nuevas elecciones que supuestamente ganaría, o nos vamos a acordar tanto de él como de Hernández Mancha o Casa... ¿Como era que no macuerdo?"
inmigracion,https://www.meneame.net/story/feijoo-acusa-sanchez-soltar-inmigrantes-paradas-autobus,3870068,39552461,8,1.0,devilinside,2023-10-27T10:48:39+00:00,0,11,#1 Y el tontoloscojones además siempre a remolque de Ayuso. La verdad es que Fijo ya está sobrando
inmigracion,https://www.meneame.net/story/feijoo-acusa-sanchez-soltar-inmigrantes-paradas-autobus,3870068,39552441,7,,slender_1,2023-10-27T10:46:36+00:00,0,10,"Paradas de autobús? No iban a hoteles de 4 estrellas?

Qué ganas de que Ayuso fulmine a este pobre hombre.

La combinación con MAR lo hace un rival mucho más interesante."
inmigracion,https://www.meneame.net/story/feijoo-acusa-sanchez-soltar-inmigrantes-paradas-autobus,3870068,39552367,6,,Gry,2023-10-27T10:40:28+00:00,0,17,"A los que no se puede deportar, por falta de acuerdo con sus países de origen por ejemplo, solo se les puede tener retenidos un mes.

¿Cuál es la propuesta del señor Feijoo?"
inmigracion,https://www.meneame.net/story/feijoo-acusa-sanchez-soltar-inmigrantes-paradas-autobus,3870068,39552342,5,,reithor,2023-10-27T10:38:38+00:00,2,29,Desde que Marcial está en chirona debe haberse echado un colega común con el Javier Milei...
inmigracion,https://www.meneame.net/story/feijoo-acusa-sanchez-soltar-inmigrantes-paradas-autobus,3870068,39552321,4,1.0,Autarca,2023-10-27T10:36:35+00:00,0,11,"#1  #2 A ver, que esto me la contaba a mí un trabajador social de las Islas Canarias hace ya una década.

Los inmigrantes sin papeles, cuya procedencia no está clara, no pueden estar eternamente en los campamentos para inmigrantes canarios. Al final se les coge y se les deja en cualquier gran ciudad con unos cientos de euros en el bolsillo.

Por supuesto son libres de no creerme a mi ni a esa persona, yo si la creí.

Y la creí porque es lógico

¿Que coño vas a hacer con personas que no han cometido ningún delito, pero no tienes ni idea del país del que vienen, y por tanto no las puedes repatriar? No las puedes retener eternamente en un campamento.

Las grandes ciudades tienen mas capacidad para absorber gente que una isla. Hay mas habitantes en Madrid que en las Canarias. 

De todos modos lo del PP son lágrimas de cocodrilo, los capitalistas siempre quieren mano de obra sumisa y barata. A una persona legal tendrás que darle unas condiciones de trabajo algo dignas, pero a un sin papeles....."
inmigracion,https://www.meneame.net/story/feijoo-acusa-sanchez-soltar-inmigrantes-paradas-autobus,3870068,39552319,3,1.0,elektroduende,2023-10-27T10:36:20+00:00,2,27,#1 luego se pregunta porque nadie mas que vox quiere pactar con el.
inmigracion,https://www.meneame.net/story/feijoo-acusa-sanchez-soltar-inmigrantes-paradas-autobus,3870068,39552263,2,,jonolulu,2023-10-27T10:32:01+00:00,2,28,Lo sabe porque lo ha visto de primera mano. Estaba esperando al bus con un traje beige y una caja de bombones
inmigracion,https://www.meneame.net/story/feijoo-acusa-sanchez-soltar-inmigrantes-paradas-autobus,3870068,39552238,1,,SeñorPresunciones,2023-10-27T10:29:42+00:00,10,106,El tonto del bote... Venga a explotar la vía populista de ultraderecha para arrancar los votos de un puñado de retrasados mentales. Luego pasarán cosas y no echaremos las manos a la cabeza.
