tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27166510,20,19.0,SeñorPresunciones,2019-06-09T13:49:44+00:00,0,7,#19 Ten cuidado con la picadura de la cobra gay este verano.
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27166197,19,13.0,pieróg,2019-06-09T12:39:47+00:00,0,8,#13 el que me da que no sabe nada de polonia eres tú
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27165512,18,15.0,--605505--,2019-06-09T10:42:23+00:00,2,27,#15 eso por supuesto.
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27164660,17,,--32677--,2019-06-09T08:25:53+00:00,1,22,La gente que se preocupa por con quién se acuestan los demás es gente sin vida.
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27164635,16,7.0,Wayfarer,2019-06-09T08:20:18+00:00,0,10,"#7 Con amigos así, ¿quién necesita enemigos? {shit}"
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27164619,15,6.0,Wayfarer,2019-06-09T08:17:22+00:00,2,27,"#6 Con quien quieras y siempre que consienta.

El matiz es importante."
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27164409,14,11.0,Gengenuino,2019-06-09T07:19:04+00:00,0,7,#11 ni son todos los que están ni están todos los que dos.
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27164199,13,8.0,ralph,2019-06-09T05:47:47+00:00,3,27,"#8 Tú de Polonia no sabes ni dónde queda, no?"
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27163819,12,11.0,box3d,2019-06-08T22:40:07+00:00,0,7,"#11 Algunos están por el ambiente.
Y la droja {troll}"
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27163811,11,9.0,pieróg,2019-06-08T22:36:29+00:00,0,8,#9 insinuas que todos lo que van al orgullo en madrid son gays? {tinfoil}
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27163753,10,8.0,TetraFreak,2019-06-08T22:20:09+00:00,1,13,#8 * En un pais en el que el presidente les ha llamado amenaza para la nación Ya te lo he arreglado yo
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27163745,9,8.0,ivan123,2019-06-08T22:17:33+00:00,1,19,#8 Hombre de esos 2 millones no todos son gays no?
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27163704,8,,pieróg,2019-06-08T22:05:25+00:00,0,8,"50.000 asistentes en una ciudad de 2 millones de habitantes en un pais de 40 millones de personas, exitazo"
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27163635,7,,neotobarra2,2019-06-08T21:51:56+00:00,11,93,"En abril el líder del PiS, Jaroslaw Kaczynski, afirmó que el movimiento LGTB es “una amenaza para nuestra identidad, una amenaza para nuestra nación y su existencia a largo plazo”. Para que luego nos vengan con fotos de Trump y la bandera del arcoiris a intentar vendernos la moto de que la auto-denominada alt-right (que no es más que el fascismo de toda la vida pero con un nuevo disfraz) es tolerante con la diversidad sexual y que hasta constituye su mejor defensa contra el islam... Pues vaya unos defensores."
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27163605,6,,--605505--,2019-06-08T21:39:40+00:00,1,10,Y el derecho a acostarte con quién quieras.
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27163517,5,,laruladelnorte,2019-06-08T21:15:31+00:00,14,115,"“No todo el mundo tiene que participar en esta marcha de la igualdad, pero todo el mundo debe respetar los derechos de las minorías”, Así de claro,los derechos tienen que ser iguales para todos independientemente de con quien te acuestes."
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27163188,4,3.0,box3d,2019-06-08T19:51:55+00:00,1,22,"#3 Y yo... Jo.
Veía potencial {0x1f625}"
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27163180,3,2.0,PAUL2,2019-06-08T19:51:00+00:00,0,12,"#2 go to #1, acabé la frase."
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27163173,2,1.0,box3d,2019-06-08T19:50:08+00:00,2,33,"#1 ..mil personas o más, generalmente vestidas...
(Edit: Deja que el cuento siga Maldito #1 {lol} )"
lgtbi,https://www.meneame.net/story/record-asistencia-orgullo-gay-polonia-respuesta-criticas,3139158,27163169,1,,PAUL2,2019-06-08T19:49:07+00:00,2,20,"Asistieron tres...cientos.
Guapas/ os a rabiar pero retrogrados idem."
