tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29068436,22,,Molain,2020-03-10T18:18:45+00:00,0,6,"Ortega se ha chutado el coronavirus para generar el antídoto que salve a España, y después , al mundo....."
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29068287,21,3.0,--585089--,2020-03-10T18:00:14+00:00,1,19,"#3 no fue abascal el que coincidió con Trump en un evento en NY donde también han salido portadores?
¿ cuando fué, lo recuerdas?"
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29068283,20,,vviccio,2020-03-10T17:59:31+00:00,0,11,Peor es la endogamia que produce retrasados mentales.
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29068066,19,3.0,audrey2012,2020-03-10T17:31:58+00:00,0,7,"#3 Sí, al final siempre es culpa de los demás. Me voy de paseo por la zona cero europea y al cabo de unos días tengo síntomas compatibles con el coronavirus y me voy a un congreso con 10.000 personas a saludar con la mano en la que acabo de toser. La culpa de que sea un irresponsable o tenga pocas luces es de los demás."
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067901,18,1.0,tiopio,2020-03-10T17:03:43+00:00,1,17,"#1 Desde que los voxemitas inmigraron a España, alguien así no puede ser español, ya venimos llorando."
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067718,17,14.0,Heni,2020-03-10T16:38:18+00:00,0,7,"#14 Qué mal pensado, aprovechando el viaje a Italia seguro que se acercó a la costa a ayudar a rescatar a algún pobre inmigrante que estaría llegando en patera... y lo pilló ahí {troll}"
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067701,16,8.0,--635924--,2020-03-10T16:36:54+00:00,2,22,#8 El ha cogido un virus LEGAL. {lol} {lol} {lol}
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067689,15,10.0,--294839--,2020-03-10T16:35:29+00:00,2,34,"#10 vamos a ver, el ejemplo que he puesto es simplemente para aportar algo familiar a día de hoy. Los controles sanitarios van más allá, y especialmente para enfermedades peligrosas en determinados países.

Por ejemplo, obligando a que los viajeros esten vacunados.

En cualquier caso, los controles para retrasar la transmisión de virus como el coronavirus, son útiles y cumplen su función de evitar que se propague de manera descontrolada y se colapsen centros sanitarios por ejemplo.

Lo mires como lo mires, el control sanitario en las fronteras es una medida que previene la expansión de enfermedades, lo siento si no puedes atacar a Vox por esto."
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067587,14,3.0,Ovlak,2020-03-10T16:23:45+00:00,2,34,"#3 ¿Cómo dices que pilló el bicho?
https://twitter.com/carnicoelectron/status/1228714769982611456?s=19
{lol} {lol} {lol}"
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067538,13,,Expat_Guinea_Ecuatorial,2020-03-10T16:18:23+00:00,0,9,Otra vez mas los fachas tenian razon y van infinitas.
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067537,12,,imagosg,2020-03-10T16:18:18+00:00,0,11,La ignorancia es atrevida.
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067516,11,5.0,JohnBoy,2020-03-10T16:15:08+00:00,5,49,"#5 No muy lúcido, sino bastante peor, ya que VOX no dejaba de dar la matraca con lo de los riesgos y la anulación de la mani hay dos opciones:

- Opción A: hicieron su acto porque en realidad no pensaban que existieran tales riesgos (recordemos que son mucho mayores en un recinto cerrado) con lo cuál estaban atacando al gobierno de una forma hipócrita utilizando un tema tan grave como el del coronavirus de forma electoralista.

- Opción B: pensaban que los reisgo reales eran altos, y actuaban honestamente con sus críticas al gobierno, pero aún así les daba igual poner en peligro la salud y la vida de sus simpatizantes."
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067507,10,8.0,shake-it,2020-03-10T16:14:05+00:00,0,20,"#8 https://www.sciencemag.org/news/2020/03/why-airport-screening-wont-stop-spread-coronavirus “Ultimately, measures aimed at catching infections in travelers will only delay a local epidemic and not prevent it,” says Ben Cowling, an epidemiologist at the University of Hong Kong. He and others say screening is often instituted to show that a government is taking action, even if the impact is marginal."
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067501,9,,crissis,2020-03-10T16:13:34+00:00,4,38,"Y tiene razón. 

Hasta hace nada, cuando había pocas infecciones en España, el propio gobierno decía que no había que preocuparse, que eran casos importados.

Algunos creerán que el coronavirus se ha generado espontáneamente dentro de Ortega Smith."
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067491,8,,--294839--,2020-03-10T16:11:48+00:00,2,34,"No veo nada incorrecto en lo que dice, en la misma noticia dicen que solo estan en contra de la inmigración ilegal.

La inmigración controlada es la única forma de llevar a cabo controles sanitarios que previenen precisamente que se traigan enfermedades.

El tener a gente en aeropuertos midiendo la temperatura de pasajeros por el coronavirus le da la razón a Vox en lo que dice aquí, es algo que no se puede hacer con la inmigración ilegal."
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067488,7,3.0,shake-it,2020-03-10T16:11:38+00:00,2,41,#3 O de un deficiente método anticonceptivo...
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067486,6,,woody_alien,2020-03-10T16:11:10+00:00,0,12,"Pues acertó, él es hijo de inmigrante."
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067482,5,3.0,--631442--,2020-03-10T16:10:41+00:00,4,44,"#3 De todas maneras, que Vox no cancelara ese evento no fue algo muy lúcido precisamente."
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067480,4,1.0,shake-it,2020-03-10T16:10:12+00:00,4,65,"#1 Las lágrimas ya están aquí, descuida."
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067474,3,,JohnBoy,2020-03-10T16:09:08+00:00,12,124,"Una cosa no quita la otra.

De hecho incluso la refuerza, ya que el coronavirus es importado Ortega Smith se puede vender a sí mismo como una víctima de primera mano de un deficiente control de fronteras."
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067472,2,,--588378--,2020-03-10T16:08:56+00:00,0,14,"Jojojo, por la boca muere el bacalao"
inmigracion,https://www.meneame.net/story/vox-inmigracion-puede-traer-europa-pandemias-erradicadas,3265215,29067463,1,,--609928--,2020-03-10T16:07:31+00:00,3,25,"algunos estais como echenique hace unos días, descojonados, ya vendrán las lágrimas."
