tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/coste-evitar-inmigracion-ue-desde-2014-mas-17-000-millones-euros,2673114,20355248,11,10.0,--325390--,2016-09-18T20:40:44+00:00,0,6,#10 Uh. Mola.
inmigracion,https://www.meneame.net/story/coste-evitar-inmigracion-ue-desde-2014-mas-17-000-millones-euros,2673114,20350183,10,6.0,Feindesland,2016-09-17T18:44:07+00:00,1,16,"#6 No hace falta. Echa un vistazo a Japón.

Cero ayudas. No te empadronan en tu vida. Nada de sanidad. Nada de educación. Si te pillan, te deportan. Si te contratan, machacan al empresario.

Y simplemente, allí no va nadie."
inmigracion,https://www.meneame.net/story/coste-evitar-inmigracion-ue-desde-2014-mas-17-000-millones-euros,2673114,20348783,9,2.0,swatieson,2016-09-17T13:30:22+00:00,0,11,"#2 Querrán decir que el coste de las medidas actuales es de 17 mil millones, no el coste de evitar la immigración."
inmigracion,https://www.meneame.net/story/coste-evitar-inmigracion-ue-desde-2014-mas-17-000-millones-euros,2673114,20348665,8,,Alias_Piejodido,2016-09-17T12:59:47+00:00,0,6,Es lo que pasa con las políticas de vacunación masiva sin políticas de natalidad razonable. Es lo que pasa con la creación de guerras. Es lo que pasa por el saqueo de los recursos. Es lo que pasa...
inmigracion,https://www.meneame.net/story/coste-evitar-inmigracion-ue-desde-2014-mas-17-000-millones-euros,2673114,20348496,7,,--152597--,2016-09-17T12:11:58+00:00,0,11,"17.000 millones que posiblmente vayan  a traficantes de personas indirectamente, sino se acaba el negocio"
inmigracion,https://www.meneame.net/story/coste-evitar-inmigracion-ue-desde-2014-mas-17-000-millones-euros,2673114,20348445,6,,--325390--,2016-09-17T11:59:35+00:00,1,10,"No la evitan, le ponen obstaculitos.
Si las quisieran evitar usarían métodos más salvajes como minar campos, hundir barcos, etc."
inmigracion,https://www.meneame.net/story/coste-evitar-inmigracion-ue-desde-2014-mas-17-000-millones-euros,2673114,20348438,5,,EuropeoDespierto,2016-09-17T11:58:35+00:00,0,8,Dinero bien gastado. Que gasten más. En seguridad no hay que excatimar. Prefiero tirar 17.000 millones de euros a tener que llorar por la muerte de una sola persona.
inmigracion,https://www.meneame.net/story/coste-evitar-inmigracion-ue-desde-2014-mas-17-000-millones-euros,2673114,20348313,4,3.0,--424445--,2016-09-17T11:32:27+00:00,1,31,"#3 y seguro que les falta el ""pico"" que será de cientos de millones."
inmigracion,https://www.meneame.net/story/coste-evitar-inmigracion-ue-desde-2014-mas-17-000-millones-euros,2673114,20348306,3,,--324579--,2016-09-17T11:30:38+00:00,0,16,vaya manera de tirar el dinero.
inmigracion,https://www.meneame.net/story/coste-evitar-inmigracion-ue-desde-2014-mas-17-000-millones-euros,2673114,20348304,2,1.0,--66745--,2016-09-17T11:30:14+00:00,0,12,"#1 Tal vez el problema no está en la parte de las vallas (1700 millones), sino en los países de origen (15.300 millones)."
inmigracion,https://www.meneame.net/story/coste-evitar-inmigracion-ue-desde-2014-mas-17-000-millones-euros,2673114,20348293,1,,BillyTheKid,2016-09-17T11:28:01+00:00,0,19,"17.000 millones entre 2 en 2 años entre 500 millones de europeos sale a 17 euros por persona, bebén, niños, jubilados e inválidos incluidos {shocked}"
