tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/giorgia-meloni-prohibe-parejas-homosexuales-inscribir-hijos,3791985,38020241,94,84.0,Ze7eN,2023-03-19T08:07:30+00:00,0,11,#84 Ni tú lo de las leyes y directivas europeas o los derechos civiles.
lgtbi,https://www.meneame.net/story/giorgia-meloni-prohibe-parejas-homosexuales-inscribir-hijos,3791985,38009652,93,92.0,Seyker,2023-03-17T11:14:19+00:00,0,9,"#92 La gestación subrogada sí, pero aquí se hace mención a la fecundación asistida."
lgtbi,https://www.meneame.net/story/giorgia-meloni-prohibe-parejas-homosexuales-inscribir-hijos,3791985,38009616,92,90.0,saren,2023-03-17T11:08:02+00:00,0,7,"#90 No, en Italia entiendo que es ilegal para todos es solo que con un título clickbait consigues más visitas."
lgtbi,https://www.meneame.net/story/giorgia-meloni-prohibe-parejas-homosexuales-inscribir-hijos,3791985,38008093,91,89.0,angelitoMagno,2023-03-17T08:01:01+00:00,0,13,"#89 ¿Qué castigo? Los niños los pueden registrar como adoptado.

Lo que es fuerte es el chantaje emocional de algunos para justificar la subrogación"
lgtbi,https://www.meneame.net/story/giorgia-meloni-prohibe-parejas-homosexuales-inscribir-hijos,3791985,38007788,90,21.0,Seyker,2023-03-17T07:00:06+00:00,0,9,#21 una pareja heterosexual puede recurrir a la fecundación asistida y una de lesbianas no?
lgtbi,https://www.meneame.net/story/giorgia-meloni-prohibe-parejas-homosexuales-inscribir-hijos,3791985,38007260,89,10.0,alcaloidedos,2023-03-16T23:58:52+00:00,0,9,"#10 y para castigar a los padres castigas all mas indefenso que es el niño? que fuerte!!

pobres niños, como no pueden defenderse...."
lgtbi,https://www.meneame.net/story/giorgia-meloni-prohibe-parejas-homosexuales-inscribir-hijos,3791985,38005882,88,4.0,elhumero,2023-03-16T19:27:00+00:00,0,9,"#4 Si las mujeres son una minoría, no sé que serán otros grupos.
Es mas, son mayoría, el 51,27% de la población italiana.
Que en España tampoco son una minoría, son el 51,04% de la población.
https://datosmacro.expansion.com/demografia/estructura-poblacion/italia
https://datosmacro.expansion.com/demografia/estructura-poblacion/espana
https://www.datosmundial.com/europa/italia/index.php
https://www.datosmundial.com/europa/espana/index.php"
lgtbi,https://www.meneame.net/story/giorgia-meloni-prohibe-parejas-homosexuales-inscribir-hijos,3791985,38005233,87,80.0,ataülf,2023-03-16T17:26:32+00:00,0,9,"#80 que yo sepa, sigue estando en el G7. Y no sé si de levanta y pira porque no llevo las actas, pero estar, está. Y nosotros, no."
lgtbi,https://www.meneame.net/story/giorgia-meloni-prohibe-parejas-homosexuales-inscribir-hijos,3791985,38005075,86,82.0,--732422--,2023-03-16T16:58:14+00:00,0,9,"#82 Ah, como habías dicho ""comprar"" me había confundido. {troll}"
lgtbi,https://www.meneame.net/story/giorgia-meloni-prohibe-parejas-homosexuales-inscribir-hijos,3791985,38004884,85,83.0,--719101--,2023-03-16T16:30:03+00:00,0,8,"#83 Se comenta sobre la noticia, y lo que hay que leerse es la noticia no los 150
Comentarios posteriores {hug} 

Hun habrazo, ermano. {grin}"
lgtbi,https://www.meneame.net/story/giorgia-meloni-prohibe-parejas-homosexuales-inscribir-hijos,3791985,38004709,84,81.0,--708957--,2023-03-16T16:00:17+00:00,0,8,"#81 Tu lo de la soberanía nacional, veo que tampoco tienes claro como funciona."
lgtbi,https://www.meneame.net/story/giorgia-meloni-prohibe-parejas-homosexuales-inscribir-hijos,3791985,38004613,83,42.0,archiputoamo,2023-03-16T15:47:25+00:00,0,10,#42 si hubieras leído debajo de ese comentario verías que ya dije que me equivoqué {wink} errar es humano admitirlo últimamente parece ser divino
lgtbi,https://www.meneame.net/story/giorgia-meloni-prohibe-parejas-homosexuales-inscribir-hijos,3791985,38004592,82,78.0,Ze7eN,2023-03-16T15:45:19+00:00,0,11,"#78 Nadie, salvo tú, está hablando de adoptar. Hablamos de gestación subrogada."
lgtbi,https://www.meneame.net/story/giorgia-meloni-prohibe-parejas-homosexuales-inscribir-hijos,3791985,38004586,81,56.0,Ze7eN,2023-03-16T15:44:33+00:00,1,19,#56 Creo que tú lo de las leyes y directivas europeas no tienes muy claro lo que son y como funcionan.
