tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38705084,101,74.0,Arkhan,2023-06-26T14:21:51+00:00,0,11,#74 Que la definición que usas para una cosa no vale para la otra salvo que vengas a tirar mierda como #88 vinculando la homosexualidad con la pederastia.
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38705070,100,87.0,Arkhan,2023-06-26T14:19:56+00:00,0,11,#87 Ni al tiempo ni hostias. Aquí mientras sea tirar mierda todo os vale.
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38704643,99,29.0,mre13185,2023-06-26T13:34:51+00:00,0,7,"#29 ""El hombre debe regirse por la ley, no por la voluntad de otro hombre"", dijo Moisés."
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38704611,98,66.0,mre13185,2023-06-26T13:30:45+00:00,0,7,#66 La califican dentro de las parafilias. No es orientación sexual. Lo mismo que la zoofilia o la necrofilia.
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38704483,97,92.0,asc,2023-06-26T13:17:52+00:00,0,7,#92 ¿Y quién está hablando de estado socialista? Yo no.
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38703992,96,87.0,Royd,2023-06-26T12:26:36+00:00,0,6,"#87 Eso se lleva diciendo desde mucho antes que yo naciera. Pero he visto mucha más defensa anti pedofilia y pederasta dentro del colectivo, en el que el consentimiento es algo a lo que se le da mucha importancia, que desde señores heteros, sobretodo de derechas. Que entre otras cosas son con mucha diferencia el grupo que más abusos sexuales comete contra menores de edad, que intentan bajar la edad de consentimiento desde puestos de poder y se alegran cuándo esta baja, y que literalmente se casan con niñas incluso en lugares en los que se presupone civilizados. Entre muchos otros ejemplos que están en la cara de todo el mundo."
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38703426,95,91.0,Varlak,2023-06-26T11:36:12+00:00,1,18,"#91 No nos imponemos por la fuerza, es legítima defensa ante los fachas que tratáis al diferente como si fuese un enfermo."
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38703398,94,65.0,--576782--,2023-06-26T11:33:55+00:00,0,9,#65 Cuajada. Mejor cuajada.
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38703394,93,,--754170--,2023-06-26T11:32:31+00:00,0,7,¡Encerrad a este embustero criminal de mierda!
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38703332,92,67.0,Expat_Guinea_Ecuatorial,2023-06-26T11:24:48+00:00,1,19,#67 Mira cualquier estado socialista y veras que quieren controlar absolutamente todo
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38703323,91,15.0,Expat_Guinea_Ecuatorial,2023-06-26T11:24:10+00:00,1,19,"#15 Los rojos siempre imponiendose por la fuerza e inventado mas y mas delitos, no cambiais"
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38703316,90,80.0,Expat_Guinea_Ecuatorial,2023-06-26T11:23:46+00:00,1,19,"#80 Si, vaya Dios mas malo eh? Mejor otros que te conden si o si"
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38703312,89,3.0,Expat_Guinea_Ecuatorial,2023-06-26T11:23:10+00:00,1,19,"#3 Casi.. se te nota que desconoces el tema pero te has aventurado. Ser homosexual no es pecado, es practicarlo, igual que el sexo fuera del matrimonio. Eso dice la doctrina"
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38703293,88,69.0,Expat_Guinea_Ecuatorial,2023-06-26T11:21:12+00:00,1,19,"#69 No respondes porque no puedes argumentar. Tu ultima linea es una idiotez, la atraccion sexual es algo biologico y vuestros generos son constructos sociales. La atraccion sexual existe en ausencia de ""generos"""
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38703288,87,63.0,Expat_Guinea_Ecuatorial,2023-06-26T11:20:43+00:00,1,19,"#63 Lo es, y en unos años te llamaran facha por decir lo que has dicho. Como eres progre, tragaras. Al tiempo"
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38703284,86,13.0,Expat_Guinea_Ecuatorial,2023-06-26T11:20:18+00:00,1,19,"#13 Más le valdría que le ataran al cuello una piedra de moler y lo precipitaran al mar, antes que escandalizar a uno de estos pequeños. Lucas 17,1-6"
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38702533,85,,Vanesso,2023-06-26T09:34:00+00:00,0,6,Y la iglesia se llama de san Paco Clavel. T pees
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38702452,84,14.0,--712564--,2023-06-26T09:26:43+00:00,0,7,"#14 Te guste o no, hacer ese comentario es políticamente correcto."
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38702341,83,75.0,--712564--,2023-06-26T09:15:52+00:00,0,7,"#75 No sé si tenga fundamento biblico, la tradición dice que solo es homosexual si se tocan los huevos."
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38702323,82,63.0,--712564--,2023-06-26T09:13:35+00:00,0,7,"#63  #61 Sinceramente creo que ese debate no tiene sentido, simplemente hay definiciones sociales que hacen que una sea diferente de la otra. Así como tenemos definiciones para el sexo, y ahora el género, o paras las razas. Incluso diría que hablar de qué es una enfermedad es bastante sesgado, es imposible quedarse solo en una definición objetiva de enfermedad.

Hay cosas que se asumen como normales, otras que no, y eso depende mucho de las perspectivas y expectivas de la sociedad."
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38702298,81,2.0,--712564--,2023-06-26T09:10:27+00:00,0,7,"#2  #8 A mi me parece que siempre que sea voluntario, no hay absolutamente ningún problema en nada de ello.

Como si no tuvieramos todo tipo de grupos diciendo qué cosas son naturales, que son éticas, que hay que evitar. Por decir algo, veganos."
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38702288,80,5.0,earthboy,2023-06-26T09:08:42+00:00,0,10,"#5 Con este dios vale que si al final te arrepientes de todo, entras.
Así que {roll}"
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38702071,79,78.0,M.Rackham,2023-06-26T08:41:59+00:00,1,18,#78 Todos somos susceptibles de equivocarnos. Gracias por avisar {wink}
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38701923,78,52.0,obmultimedia,2023-06-26T08:23:40+00:00,0,11,"#52 mi dedazo me ha hecho votarte negativo, te lo compenso en otro comentario."
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38701760,77,,--753392--,2023-06-26T08:00:35+00:00,0,10,"Quien cree  lo que diga un cura quitando cuatro viejos y algún abducido, no hay  que hacerles caso  a esa panda  de pederastas, falsos y  mentirosos que viven de contar su propio cuento siempre ."
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38701643,76,45.0,MorenoEnfurecido,2023-06-26T07:47:49+00:00,1,14,"#45 Por si acaso, lapidado.
Si vamos a seguir la biblia, la seguimos a rajatabla para TODO, no solo cuando interesa.
Es lo que tienen los libros de ciencia ficción antiguos."
lgtbi,https://www.meneame.net/story/transformados-jesus-parroquia-madrid-insiste-idea-aplacar,3828093,38701518,75,71.0,Mark_,2023-06-26T07:30:42+00:00,1,23,"#71 vale mamar no pero un empujoncito o algo si? Así como sin querer?

Es que la Biblia dice sodomía pero y si es solo una guerra de espadas? {troll}"
