tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/multado-16-900-ruido-tienda-chueca-pleno-orgullo-gay,2416609,16947611,24,23.0,starblank,2015-05-26T09:52:03+00:00,0,6,"#23 en tal caso, ahora que soplan otros vientos en madrid, igual la puede recurrir"
lgtbi,https://www.meneame.net/story/multado-16-900-ruido-tienda-chueca-pleno-orgullo-gay,2416609,16935602,23,14.0,Natsu,2015-05-24T20:43:22+00:00,2,27,"#14: Es que él dice que no se ha saltado la normativa, que el ruido venía de fuera porque estaban en plenas fiestas del Orgullo Gay. Y por lo visto los peritos le dan la razón."
lgtbi,https://www.meneame.net/story/multado-16-900-ruido-tienda-chueca-pleno-orgullo-gay,2416609,16935379,22,9.0,meprohibenpensar,2015-05-24T19:14:30+00:00,0,6,"#9 Lo que diga es irrelevante, igual que lo que tu digas efectivamente. Pero es que cuando una persona hace algo es esa persona la que cuenta. Las demas no forman parte del caso, no existen."
lgtbi,https://www.meneame.net/story/multado-16-900-ruido-tienda-chueca-pleno-orgullo-gay,2416609,16935172,21,,--329430--,2015-05-24T18:29:10+00:00,0,6,Resumiendo: Que el ayuntamiento le da por el culo todos los meses.
lgtbi,https://www.meneame.net/story/multado-16-900-ruido-tienda-chueca-pleno-orgullo-gay,2416609,16935107,20,19.0,--115246--,2015-05-24T18:21:23+00:00,0,7,"#19 Quita quita, que purificar siena a creencia, mejor ácido a todos ¡y que viva la libertad!"
lgtbi,https://www.meneame.net/story/multado-16-900-ruido-tienda-chueca-pleno-orgullo-gay,2416609,16935095,19,18.0,parrita710,2015-05-24T18:19:23+00:00,0,9,#18 El fuego purifica {troll}
lgtbi,https://www.meneame.net/story/multado-16-900-ruido-tienda-chueca-pleno-orgullo-gay,2416609,16935091,18,4.0,--115246--,2015-05-24T18:18:54+00:00,1,16,#4 ¡Fuego a todos y que viva la libertad!
lgtbi,https://www.meneame.net/story/multado-16-900-ruido-tienda-chueca-pleno-orgullo-gay,2416609,16935030,17,,cmartins,2015-05-24T18:08:11+00:00,1,-1,"Es curioso que cada ayuntamiento se toma la ley como le interesa, uno de esos ha tenido un familiar debajo de su casa con 70 decibelios a las 2 de la mañana. Y nada el ayuntamiento no podía hacer nada si no denunciar y esperar 5 años a que saliese el juicio"
lgtbi,https://www.meneame.net/story/multado-16-900-ruido-tienda-chueca-pleno-orgullo-gay,2416609,16934739,16,,--8899--,2015-05-24T17:25:04+00:00,7,50,"La condición para que se celebre el juicio, previsto ya para 2016, es el previo pago de la sanción. ¡¡¡¿¿¿Como???!!! Pero esto es un abuso."
lgtbi,https://www.meneame.net/story/multado-16-900-ruido-tienda-chueca-pleno-orgullo-gay,2416609,16934698,15,,--293175--,2015-05-24T17:20:31+00:00,3,-9,"Le han dado por culo, con perdón."
