tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39052430,179,178.0,Edheo,2023-08-15T17:18:10+00:00,0,7,"#178 Pues precisamente estigmas como esos, son los que hay que erradicar, y han de ser ellas quien rompan esa pared, porque nadie lo hará por ellas, y entre ellas han de buscar los apoyos, y precisamente las mujeres deberían empatizar con ello, cuando en realidad son las peores enemigas que puede tener bien una actriz porno, bien una prostituta.

Y un ejemplo que me agrada mucho ver, es Amarna Miller, que via su oficio como actriz porno, no sólo nunca se victimizó por ello, sino que en realidad, siempre habló de ello con orgullo, y flaco favor le hará quien venga a pisoteárselo, pero de seguro lo habrán intentado.

No digo que sea fácil, pero ningún estigma se rompe protegiéndolo, eludiéndolo, sino exponiéndolo como fortaleza... y manque muchos no lo entiendan, algo como el ""orgullo gay"", precisamente consiste en eso... exhibir como coraza, como fortaleza, como identidad, algo que siempre fué utilizado como herramienta de humillación, lapidación, defenestración social y un modo de ridiculizar algo que en realidad, no tiene nada de ridículo. Lo que se llama anular al individuo.

Dudo mucho que hoy dia Amarna Miller, tenga de qué avergonzarse, y de hecho, se ha ganado el respeto de mucha gente, entre la que me incluyo."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39050698,178,114.0,Coucou,2023-08-15T11:34:17+00:00,0,6,#114 No se pregunta la gente  por qué a la actriz porno la tratan de prostituta y al actor porno poco menos que de héroe. Nadie estigmatiza al actor como a la actriz sino que por el contrario a él lo encumbran.
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39047229,177,176.0,Aitor,2023-08-14T19:47:55+00:00,0,11,"#176 No leo ninguna declaración de Escolar en ese enlace, lo siento."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39046763,176,34.0,frodo1000,2023-08-14T18:30:40+00:00,0,6,#34 https://www.google.com/amp/s/www.abc.es/opinion/salvador-sostres-dani-tailandia-20230810154400-nt_amp.html
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39046756,175,,frodo1000,2023-08-14T18:29:02+00:00,0,6,"https://www.google.com/amp/s/www.abc.es/opinion/salvador-sostres-dani-tailandia-20230810154400-nt_amp.html
He aquí el artículo en cuestión. Increíble pero cierto..."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39043976,174,143.0,Benja_Bueno,2023-08-14T11:16:43+00:00,0,7,"#143 Me autocito porque como buen Lloron mentiroso el señor @_NeSilento primero llora, luego miente, luego hace la del espejo (acusar a los demás de sus propios defectos, como estar cegado en su ideología de que las mujeres son mu malas) y acto seguido bloquea.

No verá usted, lo siento pero no ha demostrado nada y no de lejos el diario de escolar está a la altura panfletaria del ABC."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39043706,173,,Benja_Bueno,2023-08-14T10:39:51+00:00,0,7,{wall} {lol} {lol} {lol}
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39042156,172,27.0,Shingo,2023-08-14T07:37:20+00:00,0,6,"#27 claro, y lo descuartizas, te vas de fiesta como si nada {roll}"
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39040449,171,2.0,Nova6K0,2023-08-13T19:26:24+00:00,0,10,"#2 Todos los medios de AMI/AEDE que luego te salen diciendo que creamos a periodistas (a los suyos, claro) ya te puedes imaginar...

Saludos."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39039916,170,167.0,QuieroUnDonut,2023-08-13T16:59:26+00:00,0,9,#167 hombre no... menuda chapa a mi costa te has pegado. A ti si que te importa poco lo que yo dijera.
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39039893,169,168.0,aozora,2023-08-13T16:54:59+00:00,0,7,"#168 Biológico, es cagar entre matojos, comer carne cruda y dormir en una cueva Hay más cosas forzadas biológicamente, como la necesidad de tener sexo o el rechazo a las mujeres ligeras.

No te pido que lo entiendas."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39039665,168,152.0,Edheo,2023-08-13T16:06:22+00:00,0,7,"#152 Biológico, es cagar entre matojos, comer carne cruda y dormir en una cueva

Socializar, desarrollar cultura, costumbres... aporta por tanto, mucha desnaturalización de lo ""biológico"". Y no ha de ser para nada ""impostado"" o forzado, pero obviamente actitudes como ""menuda fresca"", ""lo iba buscando"" o similares, deberían diluirse ya como dogmas.... aunque del mismo modo te digo, que a ver si es verdad... y ellos empiezan a ""vestirse más como expositor de carne"", que si ha de valer, que valga para todos.

Ni quita ni pone lo que mencionas de la ""prostitución"", porque algún motivo tendrá, para ser ""el oficio más antiguo del mundo"". El sexo, queramos o no, es una ""necesidad"" biológica, y algunos como complemento o evasión, otros como ""unica convicción fiable de tener sexo"", van a consumirlo... sea legal o no, y debería darse tanto entre hombres como entre mujeres, aunque ellos siguen siendo mayoría.

Mientras se siga teniendo esa mentalidad retrógada y púdica respecto al sexo, no se hará más que fomentar mafias, tratas de blancas y el lado proscrito de todo negocio que se haya prohibido, como en su dia fue el alcohol, o as drogas.

Claro que... hay muchos intereses en que según que mercados, sean proscritos, precisamente por eso."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39039627,167,155.0,Edheo,2023-08-13T15:55:27+00:00,0,7,"#155 En fin.. que tu a tu rollo, perfecto"
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39038852,166,165.0,Aitor,2023-08-13T13:00:38+00:00,0,10,#165 Eso es.
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39038843,165,164.0,aozora,2023-08-13T12:58:41+00:00,0,7,"#164 Inventar excusas es muy fácil. Responder a argumentos, cuesta más."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39038827,164,163.0,Aitor,2023-08-13T12:56:21+00:00,0,10,"#163 Hay muchas cosas que puedo decir, pero ninguna que vaya a perder el tiempo diciéndote a ti. {wink}"
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39038785,163,162.0,aozora,2023-08-13T12:49:18+00:00,0,7,#162 Es que no hay nada que puedas decir.
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39038770,162,161.0,Aitor,2023-08-13T12:46:41+00:00,0,10,#161 Mejor no decir nada que decir tonterías. {wink}
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39038577,161,160.0,aozora,2023-08-13T12:15:40+00:00,0,7,"#160 Te hago notar que tu frase, aparte de ser la típica huida cobarde, no dice nada."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39038526,160,153.0,Aitor,2023-08-13T12:07:11+00:00,0,10,#153 Lo que tú digas. No voy a bajar a debatir opiniones personales no fundamentadas siquiera en la realidad.
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39038356,159,27.0,CARLOSESTACABREADO,2023-08-13T11:33:30+00:00,0,10,"#27 Y lo era, pero un asesinato no tiene justificación. El ASESINO podría haber denunciado a este extorsionador pero prefirió el asesinato en Tailandia así que se merece todo lo que le pase. Respecto al otro tipejo, que parece que lo extorsionaba, nada tiene que ver su condición sexual, y lo que hace esta especie de idiota ""periodista"" es mezclar las dos condiciones de la forma más asquerosa y rastrera posible. Si miras mi otro comentario de esta noticia verás hasta que punto está enfermo."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39038313,158,,Suleiman,2023-08-13T11:27:54+00:00,0,12,"Jajajajajajaja, vigila no te cagues mientras hablas, que solo tienes una neurona...."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39038204,157,92.0,DonaldBlake,2023-08-13T11:09:37+00:00,0,9,#92 ¿Estás argumentando con conjeturas para justificar un asesinato?
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39038190,156,128.0,QuieroUnDonut,2023-08-13T11:07:49+00:00,0,9,#128 que una mujer seleccione cónyuge es muy reciente. Y no sé si esa afirmación es verídica o un poco incel.
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39038184,155,114.0,QuieroUnDonut,2023-08-13T11:05:10+00:00,0,9,"#114 feminismo no es igualdad, es acabar con la opresión de un sexo sobre el otro.
Y el resto no lo he leído porque no tiene nada que ver con lo que yo he dicho."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39038047,154,7.0,Nielo,2023-08-13T10:39:45+00:00,0,6,"#7 Mi loca teoría es que se pretende generar crispación en la sociedad, entre nosotros."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39038028,153,122.0,aozora,2023-08-13T10:36:00+00:00,0,7,"#122 ¿y? ¿y qué? Todo lo que has dicho no cambia absolutamente nada. Lo de la puerta abierta a los locos es un hecho.

Lo del miedo a la cancelación que provoca el silencio cómplice se aplica a todas y cada una de la múltiples y diversas corrientes, facciones y merenderos sin excepción, que son todas ellas parte del feminismo monolítico que hay. Ni siquiera eso de las ""olas"" es verdad.

Todas las tendencias feministas se basan exclusivamente en el instinto de proteger a las mujeres. No es en absoluto una elección, y por ello no verás nunca ningún movimiento masculinista. El feminismo ha existido desde siempre y a las leyes medievales me remito, que dejan cortas las desigualdades actuales.

Todo eso de la ""opresión histórica contra la mujer"" es pura invención interesada. Cualquiera puede hacer cherry picking de solamente lo que le interese para ""demostrar"" cualquier cosa. Eso no implica que sea cierto.

Siempre hemos tenido feminismo. No lo ha inventado nadie. Pero lo de usar el feminismo como arma es relativamente reciente y sí que sabemos quién lo inició y quién lo paga."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39037943,152,114.0,aozora,2023-08-13T10:21:52+00:00,0,7,"#114 dejar de perpetuar la idea de ""indignad"" de que una mujer tenga vida sexual desinhibida Esto no es posible porque no depende de que se quiera o no, ni es nada cultural. Es biológico.

Observa todas estas campañas contra la prostitución, que tienen lugar en todas las culturas. Pregúntale a uno/a de estos que tanto chillan contra la prostitución el por qué lo hacen, y podrás constatar que no tienen ni la más mínima idea de por qué hacen lo que hacen."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39037900,151,139.0,Oghaio,2023-08-13T10:12:28+00:00,0,20,"#139 Impresionante capítulo, con un Sancho Gracia de miedo recreando el caso del asesino “Jarabo”. Me pregunto si habrá influido en lo que ha pasado…"
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39037696,150,143.0,NeSilento,2023-08-13T09:41:31+00:00,1,10,"#143 Bueno, bueno, bueno, ¿qué tenemos aquí? Es decir que demuestro que en el periódico de Escolar se está defendiendo el toque de queda contra los hombres, algo que está a la altura de la cosas que han hecho los regímenes más criminales del siglo XX (eso se lee 20, ya ves que te lo pongo fácil), no sólo eso, si no que demuestro que efectivamente hay un discurso que ataca de forma desproporcionada a los hombres en los medios basándose en la exageración delirante de la realidad, y para poner la guinda vienes a demostrar que ese discurso se respalda en Meneame con tu ceguera ideológica, insultos injustificados y amargura vital. En fin supongo que te gustaría haberme ofendido pero ya sabes, para eso hay que poder ofender, y demostrar que no tienes moral, ni un nivel intelectual mínimamente respetable, no me puede ofender.

Aparte, te hago ver que yo he demostrado algo, tú sólo has insultado."
lgtbi,https://www.meneame.net/story/miserable-articulo-abc-desde-vocento-justifican-asesinato-daniel,3844544,39037640,149,108.0,NeSilento,2023-08-13T09:32:18+00:00,0,11,"#108 No, no le encuentro, que es distinto, y aun así he demostrado que en el periódico de Escolar se defiende una salvajada en contra de los derechos humanos, basándose en una ideología absolutamente delirante.

Lo que digo de que en los medios se están diciendo salvajadas sobre los hombres heteros queda demostrado igual que queda demostrado que eso lo defendéis. Lo de ver la paja en el ojo ajeno pero no la viga en el propio.

cc #136."
