tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16302695,47,17.0,arturios,2015-02-13T13:16:55+00:00,1,12,"#17 Hombre, había incapaces psíquicos, lo que antes se llamaban subnormales, y estos son los homofobos que los agredieron (y de paso alguna jueza)."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16302679,46,33.0,arturios,2015-02-13T13:13:43+00:00,0,9,"#33 Ya hubo en su día una concentración nudista, pero no en Sol, sino en la Puerta de Alcalá y no pasó nada, estuvo la policía y no actuaron por que no iban en contra de la Ley (y por que no había un gobierno fascista, que también cuenta)."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16302656,45,40.0,arturios,2015-02-13T13:11:23+00:00,0,9,"#40 varias sentencias han dejado claro que NO se puede dar autorización para uso nudista ni para uso no nudista, pero esa ""jueza"" parece que la ley se la suda, es más, el código penal no dice nada en contra del nudimo, sólo algunas normas municipales que están recurridas, y por lo tanto, aplicando uno de los derechos fundamentales recogidos en la Constitución, y uno de los derechos humanos de la DUDH, que es el principio de legalidad, esa ""jueza"" se ha cagado en todo lo sagrado y lo sabe, que para eso ha estudiado derecho, lo que la hace, en mi modesta opinión, una delincuente con agravantes."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16292188,44,43.0,--391188--,2015-02-11T21:22:21+00:00,0,6,"#43 El enlace correcto es: 

http://www.crtvg.es/informativos/na-praia-de-arealonga-con-banador-ou-sen-el-872427"
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16292135,43,28.0,--391188--,2015-02-11T21:13:51+00:00,0,6,"#28 díselo a éstos:

hhttp://www.crtvg.es/informativos/na-praia-de-arealonga-con-banador-ou-sen-el-872427
http://www.lasexta.com/videos-online/noticias/sociedad/nudistas-quejan-intrusion-banadores-sus-playas_2013080400025.html"
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16292114,42,,--391188--,2015-02-11T21:10:39+00:00,0,6,"A todos los que dicen que si es exhibicionismo, les recomiendo que se informen un poco de lo que consiste el exhibicionismo en el sentido jurídico-penal del término, no el sentido coloquial. Siempre salen los mismos que dicen que si el art. 185 del CP tal y tal, pero simplemente lo mencionan, pero no encuentran ningún tipo de jurisprudencia ni artículo doctrinal en el que se diga claramente que la desnudez equivale a exhibicionismo porque no es así.

Quien decide si un hecho es constitutivo de exhibicionismo son los jueces, no los ""abogados o jueces"" de barra de bar que pululan por internet."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16289126,41,40.0,MikeAlfaCharlie,2015-02-11T12:56:30+00:00,1,25,"#40 ""Y en una playa siempre hay menores de edad."" Sí, claro. Pero sigo sin saber si la jueza tiene razones para imputar la ""exhibición obscena"", necesaria para el tipo penal. Lo de la ""autorización para el uso nudista"" del Ayuntamiento no cambia el CP."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288987,40,17.0,TortugaNinya,2015-02-11T12:37:45+00:00,1,-9,"#17 Sacado del artículo. La imputación del delito de exhibicionismo está fundamentada en un oficio remitido al Ayuntamiento de Almería en el que, a petición de la jueza instructora María del Mar Cruz, el Área de Salud y Consumo señala que no le consta que la playa de Torregarcía tenga autorización ""para el uso nudista"". En concreto, se indagaba para conocer si esta zona del litoral de la ciudad es nudista o, por el contrario, están ""prohibidas estas prácticas"" ya que la agresión que la pareja denunció se produjo cuando estaba haciendo nudismo y se disponía a bañarse. 

Y en una playa siempre hay menores de edad."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288326,39,33.0,KillingInTheName,2015-02-11T11:18:35+00:00,0,10,"#33 Pues mira, nunca he ido a Sol desnudo, ni tengo pensado. ¿O te piensas que los que hacemos nudismo en una playa vamos en bolas todo el día? La ropa es muy práctica para según qué ocasiones, sobre todo en invierno cuando hace frío. No me visto igual para ir a trabajar, que para ir a hacer deporte al gimnasio, que para ir a la playa. Y en la playa, en concreto, me gusta ir desnudo, porque a la ropa ahí le veo muy poca utilidad práctica. Si no lo has hecho nunca, te lo recomiendo. Además no te quedan las marcas del bañador cuando te bronceas, que hacen feo."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288322,38,37.0,--470879--,2015-02-11T11:17:43+00:00,0,6,"#37 Y en tu primer comentario has conseguido que yo te pierda el respeto, así que ganó yo {lol}.

Por fin me haces caso y te callas, hetero.

Ojalá algún día te den una paliza por ser hetero, entonces llorarás."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288301,37,30.0,Volume,2015-02-11T11:15:54+00:00,1,0,"#30 Sigues con problemas de comprensión lectora... En  mi anterior comentario te he dejado muy claro que has conseguido que te pierda el respeto y por qué. Y ya que lo mencionas tanto, esa sospechosa obsesión malsana que tienes con los heteros me parece que esconde algo más. Sería muy fácil jugar a tu mismo juego de interpretaciones aventuradas y deducir que, en el fondo, te gustaría no haber nacido con lo que probablemente consideres un estigma, de ahí que te consuma el odio... {smiley} Suerte en la vida, que la vas a necesitar. Ah, y no te molestes en escribirme más, que no voy ni a leerte ni a contestarte. Ya te he dedicado mucho más tiempo del que merece alguien como tú. Agur."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288283,36,35.0,--201825--,2015-02-11T11:14:04+00:00,0,6,#35 Porque como vayas se te van a congelar las bolingas jajajaja
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288264,35,33.0,--470879--,2015-02-11T11:12:41+00:00,0,6,"#33 Emmm ¿Por qué no? 

En Cataluña hay un hombre que se pasea desnudo por el centro. Aunque el ayuntamiento sacó una normativa contra el nudismo y ya no sé como está el tema."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288259,34,32.0,--201825--,2015-02-11T11:12:18+00:00,0,6,#32 En las playas nudistas te rifan los gays..no? jajaja uhmm por eso será que no te gusta ir {lol}
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288248,33,31.0,--201825--,2015-02-11T11:11:19+00:00,3,-20,#31 Venga...vete a Sol desnudo...xD
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288239,32,26.0,KillingInTheName,2015-02-11T11:10:08+00:00,0,10,"#26 ¿Por qué debería de salir corriendo? Dudo que conmigo tuvieran las mismas ganas de hacerse los machitos, no soy un abuelillo de 68 años como los de la noticia. Llevo haciendo nudismo toda mi vida, y nunca he tenido el menor problema. Ahora en serio, ¿tú naciste vestido o qué? Es que nunca entenderé qué hay de malo u obsceno en un cuerpo desnudo. Si tienes a bien explicármelo igual aprendo algo hoy y todo."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288224,31,29.0,--470879--,2015-02-11T11:08:50+00:00,0,6,"#29 Exacto, y como la desnudez no afecta a nadie os toca aguantar. En España se puede ir desnudo a cualquier sitio a no ser que esté especialmente prohibido."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288181,30,27.0,--470879--,2015-02-11T11:03:10+00:00,1,0,"#27 A que joden los prejuicios ¿Verdad hetero? Es muy fácil cargar contra los demás hasta que pruebas tu propia medicina.

No opinas, mientes, transformando unos hechos objetivos en delirios.

Y gracias por lo de mariquita. Demuestras que eres un homófobo y un hetero de mierda, dándome la razón.

Las personas sensatas se callan cuando no saben de lo que hablan."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288153,29,28.0,--201825--,2015-02-11T11:00:20+00:00,1,-5,#28 Los derechos y libertades terminan cuando empiezan a los demás y teniendo en cuenta que hay playas nudistas no tienes porque ir a las que no...
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288119,28,25.0,--470879--,2015-02-11T10:57:40+00:00,1,16,#25 Vosotros debéis respetar las leyes y las libertades de las demás. Y si no te gusta no salgas de casa.
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288112,27,24.0,Volume,2015-02-11T10:56:59+00:00,1,0,"#24 eres un chiste andante, empiezas poniendo en mi boca palabras que yo no he dicho, exagerándolas hasta el ridículo, en teoría pretendiendo insinuar que odio a cierto colectivo, y resulta que el único que demuestra odio hacia un colectivo (el heterosexual) eres tú, con tus comentarios cargados de bilis y tus pataletas infantiles {lol} 

Y no, no me callo. Estás tan claramente obnubilado por tu sexualidad que no sólo acaba afectanto a tu comprensión lectora, sino que además recreas fantasías en tu mente, reinterpretando los hechos para que se ajusten a tus ideales. 

Yo estoy dispuesto a dialogar y creo que lo único que he hecho ha sido expresar mi opinión de forma correcta. Es mi opinión y tengo todo el derecho a tenerla. No me puedes hacer callar, y tampoco deberías responder con esa falta de respeto. Sabes por qué? porque entonces te lo pierdo yo a ti. Y lo que es peor, que acabas poniéndote en ridículo y reduciendo todos tus argumentos a la única cosa que veo ahora: un ridículo mariquita enfurruñado. {smiley} Hale, buenos días.

P.D.: te devuelvo el negativo, que no me hace falta. {wink}"
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288085,26,22.0,--201825--,2015-02-11T10:54:30+00:00,0,6,"#22 
Paseate en bolingas en una playa normal a ver si no tardas en salir  corriendo..xD"
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16288071,25,21.0,--201825--,2015-02-11T10:52:41+00:00,0,6,#21 Tiene que tener respeto he irse a una playa nudista..
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16287892,24,23.0,--470879--,2015-02-11T10:29:25+00:00,1,0,"#23 Ya salió el hetero culpabilizando a los homosexuales de ser agredidos. Y las violadas también se lo buscan, no?

Si te molesta la libertad de los demás te jodes y le pegas a tu mujer para descargar frustraciones, pero a los demás nos dejas en paz.

Y no, no llegaron a las manos como si fuese una pelea entre ambas partes. Un hetero jóven y su familia de heteros agredieron a dos personas mayores, una de ellas gravemente enferma, simplemente por ser gays. Te informo, ya que interpretas lo que te interesa, que la desnudez no tiene nada que ver en este asunto como quiere hacer ver este juez u homófobos como tú. En esa playa había más nudistas que no fueron agredidos, fue cuando pasó esta pareja caminando por la playa cuando el hetero saltó al grito de maricones.

Así que cállate la boca."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16287749,23,,Volume,2015-02-11T10:11:12+00:00,1,0,"Aunque no lo parezca, no es tan fácil llegar a las manos sin que pase nada más. Tengo la sensación de que me están contando solo parte de la historia y eso no me gusta un pelo.

Por otro lado, al margen de lo que permita la ley o no, hay una serie de normas no escritas, está el sentido común, la deferencia hacia los demás, la idoneaidad del momento y de las circunstancias, etc, y eso debe saber medirlo cada uno. 

Sea una pareja homosexual o heterosexual, a mi no se me ocurre ponerme en bolas con mi pareja o amigos en una playa no nudista en la que haya gente, por diversos motivos. Y como he dicho, no tiene nada que ver con que sea legal o no. Hay muchos otros comportamientos que no son ilegales y que pueden causar (como es lógico y normal) reacciones muy violentas en los demás. 

En esta historieta veo más un gesto de provocación y de reivindicación que otra cosa y, llevado al extremo, sumado a la parte de la historia que creo que no me han contado, no me sosprende que se haya llegado a las manos. He visto escenitas de este tipo más de una vez y, estando allí, puedo asegurar que si algo no tienen precisamente, es inocencia o ingenuidad."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16287382,22,19.0,KillingInTheName,2015-02-11T09:31:26+00:00,2,10,"#19 Huy, qué trauma tan grande para tus críos ver a alguien desnudo. ¿Algún requerimiento más de vestimenta? ¿Bañador por debajo de la rodilla? ¿Jersey de cuello vuelto? ¿Te mandamos un whatsapp con lo que nos queramos poner para ir a la playa antes de ir para que nos des tu visto bueno?"
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16287251,21,19.0,--470879--,2015-02-11T09:15:09+00:00,2,10,"#19 claro, la gente tiene que hacer lo que a ti e de la gana. El mundo es de todos, no de tus prejuicios"
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16286843,20,19.0,--391188--,2015-02-11T08:01:37+00:00,3,16,"#19 Las playas no tienen derecho de admisión, y si no está expresamente prohibido, se puede ir desnudo en cualquier playa, y por cierto, a los niños no les pasa absolutamente nada si ven a alguien desnudo, son a los que menos importancia les da, así que dejemos de utilizar la excusa de los niños para prohibir lo que no nos gusta a los adultos."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16286734,19,14.0,--201825--,2015-02-11T07:39:49+00:00,2,23,"#14 Si voy a ua playa no nudista con mis críos, no tiene porque estar paseándose ninguna persona en bolas delante de ellos..."
lgtbi,https://www.meneame.net/story/pareja-denuncia-gay-agresion-homofoba-juez-les-imputa,2351823,16286569,18,10.0,morzilla,2015-02-11T06:34:46+00:00,0,10,"#10 El nudismo no está restringido a las playas designadas como nudistas. A veces está restringido por ordenanzas municipales, pero la ley no lo prohíbe de forma general."
