tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26879030,34,28.0,robustiano,2019-04-26T20:43:13+00:00,0,19,#28 Más bien sin fístulas... {tongue}
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26878313,33,,suzudo,2019-04-26T18:24:26+00:00,0,7,Del texto < > https://www.eldiario.es/politica/activistas-Femen-Gran-Mezquita-Bruselas_0_118288805.html
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26878308,32,18.0,suzudo,2019-04-26T18:22:36+00:00,0,7,"#18 
< > En realidad el partido socialista ruso la descriminalizó, la despenalizó, totalmente. Años después Stalin la volvió a convertir en delito en razón de que era antipatriotismo (recuerdo que estudió en escuela de curas y una de las razones contra la homoexualidad ha sido que con ella despenalizada desaparecería la humanidad por falta de bebés -idea que no suena de alguien completamente heterosexual precisamente, porque...-) A partir de ahí .-.-.-

< > Bueno en general aún más.."
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26870511,31,26.0,--599848--,2019-04-25T17:59:42+00:00,0,7,"#26 No creo.
Ni un exodo enseño suficiente humildad a algunos pueblos.
Con esa mierda de ""pueblo elegido"" o ""espacio vital"" siguen."
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26869916,30,,--477696--,2019-04-25T16:26:01+00:00,1,15,"El ""periodista"" en su primer párrafo ha logrado darme tanto asco como la hijaputa de la ""médica"""
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26869428,29,18.0,--599848--,2019-04-25T15:25:55+00:00,0,7,"#18 Mi abuelo era el menos homofobico de su generacion en su pueblo.
Pero decia una frase que se aplica en este caso ""el amor no puede vencer todo""
Si hubiera visto al video de WoW parche 5.4 lo hubiera aprobado y rechazado a la vez"
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26869331,28,4.0,--74690--,2019-04-25T15:14:08+00:00,2,26,"#4 Un plan perfecto, sin fisuras. {lol}"
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26869317,27,18.0,cybermouse,2019-04-25T15:11:43+00:00,2,28,"#18 Joder, que sarta de tonterias has soltado.¿la derecha no es homófoba?..¿Pero tu te escuchas criatura?. O tienes empacho semanasantero o no se comprende.¿Cuantas palizas quieres que te documente de fachas a LGTBS?."
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26869295,26,,Rogue,2019-04-25T15:09:17+00:00,0,6,"Una hostia a tiempo cura tonterias religiosas.
Mano de santo."
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26869275,25,3.0,mefistófeles,2019-04-25T15:05:41+00:00,0,11,"#3 ¿pero de bolso de versace o de ruda camiseta marinera?

Es que depende de cómo acabe me apunto a tu lista o no, mosquetero, que eres un mosquetero piratón {0x1f60d}"
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26869032,24,,Arzak_,2019-04-25T14:38:46+00:00,0,11,Y los aplica cuidadosamente mientras sujeta con sus dos manos a los pacientes  por la espalda
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26869031,23,,Jesus_G._V.,2019-04-25T14:38:40+00:00,0,6,"Seguro que es un supositorio con pinchos, para que se te quiten las ganas."
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26869015,22,,JackNorte,2019-04-25T14:37:00+00:00,0,12,Aver estas soluciones no son para los que no creen esos son pasto de las hogueras eternas del infierno  es para los creyentes de verdad  que ya no esta bien quemarlos para curarles {lol}
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868947,21,,insert_name_here,2019-04-25T14:30:39+00:00,1,15,"¿El Bananero, eres tú? {troll}"
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868926,20,19.0,--32677--,2019-04-25T14:27:51+00:00,1,6,"#19 calla zorra, tu ya eres marica mala."
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868921,19,7.0,TomCollins,2019-04-25T14:27:27+00:00,1,26,#7 ME PIDO PRIME!!!!
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868909,18,5.0,--334312--,2019-04-25T14:26:10+00:00,5,40,"#5 Y la izquierda y el comunismo también. No olvidemos al Ché Guevara o a Fidel Castro.

Antes, hace algunas décadas, todos, TODOS, estaban contra la homosexualidad. Derecha, izquierda, comunismo, todos.

Ahora se le acusa a la derecha de homofóbica, y tal vez no lo sea tanto como dicen (han evolucionado semejante a como lo hizo la izquierda). Un profesor de izquierda despotricaba de sus alumnos que votaron a VOX, diciendo pestes de ellos, pero estos alumnos, de derecha, nunca discriminaron ni agredieron al profesor fascista de izquierda que tenían, quien era homosexual. Por otro lado, a algunos de la comunidad LGTB le ha dado por tomarse fotos en frente de puestos de VOX en la calle. Ninguno fue agredido, y los que sí lo eran por la izquierda ""antifascista"" eran los de VOX, y lo que demostraron es que VOX era tolerante (por lo menos ahora, casi nadie lo es cuando tiene poder).

Adicionalmente, para los homosexuales pudieran ser sumamente peligrosas las posiciones de extrema tolerancia de la izquierda con el islamismo, que cuando crezcan en Europa sí van a acabar con los homosexuales porque está muy dentro de su pensamiento.

Nota. He dado ejemplos de la izquierda que no es tan santa como se muestra. Es una respuesta a lo que dices de los nazis/fascistas (especialmente fascistas, que están muy asociados a la derecha, aunque ahora también deberían estar asociados al comportamiento de la izquierda). También se pueden poner ejemplos equivalentes del comportamiento y los absurdos de la derecha contra los homosexuales, que al igual que la izquierda tampoco son unos santos."
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868832,17,,--32547--,2019-04-25T14:15:49+00:00,3,15,"Así empieza el artículo: No es islamofobia. Cuando un autoproclamado “ideólogo” qatarí explica cómo hay que pegar a la esposa, según la tradición musulmana, lo dice ese individuo, bajo su responsabilidad, (sin que los movimientos feministas hayan reaccionado, que se sepa, hasta el momento) He dejado de leer y procedo a votar negativo esta basura de extrema derecha."
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868813,16,,--334312--,2019-04-25T14:14:10+00:00,0,11,"Otra vez la religión haciendo el ridículo, que estamos en el siglo XXI, no cuela. Ciencia islámica no es ciencia. Ciencia religiosa no es ciencia.

Ciencia es lo que utiliza el método científico."
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868798,15,13.0,--32677--,2019-04-25T14:11:30+00:00,0,16,"#13 en Arena, cari."
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868790,14,,io1976,2019-04-25T14:10:35+00:00,1,16,Son supositorios de jengibre y te dejan el orto para pocos farolillos.
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868775,13,7.0,Jack_Halcyon,2019-04-25T14:09:20+00:00,1,23,#7 ¿Has estudiado también en Kuwait? {shocked}
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868770,12,7.0,manuelpepito,2019-04-25T14:08:58+00:00,3,42,#7 Las inyecciones del Dr.Karmo
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868765,11,2.0,Jack_Halcyon,2019-04-25T14:08:16+00:00,3,51,"#2 A juzgar por lo leído, en menos que Casado un Master  {troll}"
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868756,10,,gerion_angel,2019-04-25T14:07:27+00:00,0,6,Su teoría lo tiene todo!
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868754,9,6.0,Socavador,2019-04-25T14:07:12+00:00,0,11,"#6 Le ha puesto de nombre ""mirabo"" No es listo el pájaro ni nada."
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868753,8,,--183882--,2019-04-25T14:07:08+00:00,1,-3,"Lo que es bastante profetico es que si eres hombre homosexual acabes metiéndote cosas por el culo, así que en algo acertó."
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868749,7,,--32677--,2019-04-25T14:06:55+00:00,12,130,"Yo la curo a pollazos. Alguien lo necesita? 

Te curo la homosexualidad y te convierto en mariconazo."
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868747,6,1.0,SilviaLibertarian,2019-04-25T14:06:11+00:00,1,21,"#1 Ya, es que... Además tenía que ser un supositorio. {roll} {roll}"
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868744,5,,--599848--,2019-04-25T14:05:49+00:00,1,18,"Entre los nazis/fascistas y los musulmanes, la comunidad LGBT lo tiene crudo."
lgtbi,https://www.meneame.net/story/doctora-kuwaiti-asegura-haber-inventado-supositorios-profeticos,3118287,26868729,4,,TrollHunter,2019-04-25T14:05:07+00:00,11,120,"Meterse cosas por el culo para curar la homosexualidad, ajá"
