tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/23-desaparecidos-cadaver-peor-tragedia-pateras-decada-canarias,2513091,18175979,13,,--464038--,2015-11-18T14:25:37+00:00,2,39,"Son seres humanos pero no conoces nada de ellos, pueden ser violadores, asesinos, llevar enfermedades altamente contagiosas o ser respetables padres de familia o buenas personas que solo tratan de buscar un futuro mejor. En cualquier caso cualquiera no se puede traspasar una frontera de cualquier modo y menos cuando se procede de un país 3er mundista, en que los derechos y libertades escasean o no existen. Hay que evitar estos desembarcos desde los lugares desde donde zarpan para evitar tragedias y dar seguridad a nuestros territorios."
inmigracion,https://www.meneame.net/story/23-desaparecidos-cadaver-peor-tragedia-pateras-decada-canarias,2513091,18175409,12,7.0,oso_69,2015-11-18T13:35:21+00:00,1,25,"#7 Una vez más: Yo no he matado a nadie. Ni les conozco; ni les he vendido un pasaje en una patera; ni les he obligado a embarcarse; ni he promovido ninguna guerra que los haya expulsado de su país; ni he colaborado conscientemente con ninguna multinacional que explote sus recursos naturales obligándoles a emigrar en condiciones peligrosas. 

Por lo único que podría ser responsable es por ser contrario a eliminar fronteras y a abrirlas de par en par. Pero como tampoco tengo jurisdicción sobre ese tema, y ninguno de los partidos, al menos que yo sepa, aboga por ello, tampoco me lo considero."
inmigracion,https://www.meneame.net/story/23-desaparecidos-cadaver-peor-tragedia-pateras-decada-canarias,2513091,18175340,11,7.0,--151628--,2015-11-18T13:29:14+00:00,1,27,"#7 Explícame como, sin ser indiferente a ello, esa balsa no hubiese naufragado."
inmigracion,https://www.meneame.net/story/23-desaparecidos-cadaver-peor-tragedia-pateras-decada-canarias,2513091,18175202,10,,Guanarteme,2015-11-18T13:18:59+00:00,1,28,"Los canarios estamos volviendo a emigrar como tristemente hemos tenido que hacer a lo largo toda nuestra puta historia, la diferencia es que hoy en día a Canarias llegan inmigrantes. Digno de análisis como mínimo."
inmigracion,https://www.meneame.net/story/23-desaparecidos-cadaver-peor-tragedia-pateras-decada-canarias,2513091,18175117,9,,--494066--,2015-11-18T13:13:35+00:00,0,6,Debe haber sido una experiencia realmente traumática. Esperemos que los supervivientes sean deportados de inmediato y puedan vivir estos momentos de dolor junto a sus seres queridos.
inmigracion,https://www.meneame.net/story/23-desaparecidos-cadaver-peor-tragedia-pateras-decada-canarias,2513091,18175051,8,5.0,Ruador,2015-11-18T13:09:27+00:00,0,20,#5 {confused}
inmigracion,https://www.meneame.net/story/23-desaparecidos-cadaver-peor-tragedia-pateras-decada-canarias,2513091,18175031,7,6.0,Ruador,2015-11-18T13:07:53+00:00,2,40,#6 Los hemos matado todos con nuestra indiferencia. y son muchos mas de 1000 los que van este año
inmigracion,https://www.meneame.net/story/23-desaparecidos-cadaver-peor-tragedia-pateras-decada-canarias,2513091,18175028,6,1.0,--151628--,2015-11-18T13:07:05+00:00,2,28,#1 No los ha matado nadie ni son más de 100.
inmigracion,https://www.meneame.net/story/23-desaparecidos-cadaver-peor-tragedia-pateras-decada-canarias,2513091,18175022,5,1.0,--405202--,2015-11-18T13:06:50+00:00,0,6,"#1 Aún no tienes la cosecha de Karma lista, vete al farmville."
inmigracion,https://www.meneame.net/story/23-desaparecidos-cadaver-peor-tragedia-pateras-decada-canarias,2513091,18175008,4,3.0,Ruador,2015-11-18T13:05:29+00:00,0,20,#3 ¿AnaRosa en el estrecho?
inmigracion,https://www.meneame.net/story/23-desaparecidos-cadaver-peor-tragedia-pateras-decada-canarias,2513091,18174991,3,,novenoarte,2015-11-18T13:04:08+00:00,0,13,¿Herrera haciéndose un selfie con la patera al fondo? ¿Botón de localización en facebook? ¿Caritas con bandera?
inmigracion,https://www.meneame.net/story/23-desaparecidos-cadaver-peor-tragedia-pateras-decada-canarias,2513091,18174968,2,1.0,--170126--,2015-11-18T13:01:12+00:00,5,50,#1 A saber la de atentados que hemos evitado con estas muertes.
inmigracion,https://www.meneame.net/story/23-desaparecidos-cadaver-peor-tragedia-pateras-decada-canarias,2513091,18174928,1,,Ruador,2015-11-18T12:57:16+00:00,12,100,Je suis... no coño que estos no son Europeos de primera {wall}
