tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/dimite-obispo-polaco-tras-escandalo-orgia-gay-varios-curas,3869497,39550866,69,68.0,domadordeboquerones,2023-10-27T07:27:31+00:00,0,6,"#68 A mi me da igual si mi Dios es el verdadero o no, para mi, que es lo que me importa es el mejor, del resto de Dioses no te puedo hablar porque no tengo ni idea ni de que existan

Y volviendo al hilo de que nos hizo llegar hasta aquí el debate 

Como diablos vais hacer para que yo deje de creer en mi religión y en mi Dios"
lgtbi,https://www.meneame.net/story/dimite-obispo-polaco-tras-escandalo-orgia-gay-varios-curas,3869497,39549929,68,64.0,victorjba,2023-10-26T23:21:25+00:00,0,9,"#64 Y por supuesto el tuyo es el único verdadero, justo como los otros tropecientosmil dioses."
lgtbi,https://www.meneame.net/story/dimite-obispo-polaco-tras-escandalo-orgia-gay-varios-curas,3869497,39549466,67,59.0,--759566--,2023-10-26T21:05:07+00:00,0,7,"#59 Eso hacen justamente las religiones y sectas. TODAS. Igual te crees que las chorradas irrealistas que te han enseñado sirven o se usan para otra cosa que no sea justamente acumular poder y riqueza en el mínimo de individuos posible.

Por contra el ateísmo no es ninguna creencia. Te lo aclaro por si te sientes tentado de intentar colar esa falacia.

En realidad no hace falta prohibir nada. Basta con aislar a todas las sectas del poder, apartarlas del sistema educativo, y cerrarles el grifo de las subvenciones y prebendas públicas. Sin poder y sin dinero se quedan sin finalidad y sin acólitos en una generación, y desaparecen solitas como cualquier otra empresa."
lgtbi,https://www.meneame.net/story/dimite-obispo-polaco-tras-escandalo-orgia-gay-varios-curas,3869497,39549181,66,65.0,ur_quan_master,2023-10-26T20:16:57+00:00,0,12,"#65 el celibato y la discriminación sexual imperante en la Iglesia católica excluyen a creyentes que desean ejercer el sacerdocio.   De rebote provocan que una parte apreciable de los sacerdotes católicos acaben abusando sexualmente de otras personas.

Para los estudios tienes Google. Te sorprenderás."
lgtbi,https://www.meneame.net/story/dimite-obispo-polaco-tras-escandalo-orgia-gay-varios-curas,3869497,39549081,65,62.0,--722290--,2023-10-26T20:00:07+00:00,0,6,"#62 estoy de acuerdo contigo en que es tremendamente ridículo discutir sobre la obligatoriedad de algo en un sitio en el que nadie está obligado a estar.

Te agradecería que me ilustraras con alguno de esos numerosos estudios que comentas."
lgtbi,https://www.meneame.net/story/dimite-obispo-polaco-tras-escandalo-orgia-gay-varios-curas,3869497,39549072,64,63.0,domadordeboquerones,2023-10-26T19:59:13+00:00,0,6,"#63 Error, yo creo en mi propio Dios, imposible que eso haya ocurrido, además empecé a creer hace poco"
lgtbi,https://www.meneame.net/story/dimite-obispo-polaco-tras-escandalo-orgia-gay-varios-curas,3869497,39548764,63,46.0,victorjba,2023-10-26T19:12:08+00:00,0,9,"#46 Sentimiento que te han metido a martillazos cuando tienes una edad en la que Gandalf, dios, o spiderman te parecen creíbles."
lgtbi,https://www.meneame.net/story/dimite-obispo-polaco-tras-escandalo-orgia-gay-varios-curas,3869497,39548360,62,58.0,ur_quan_master,2023-10-26T18:11:14+00:00,0,12,"#58 el celibato obligatorio existe dentro de la iglesia católica. Ponerse a discutir sobre eso es como discutir si la tierra es plana.

La represión sexual de las personas da lugar a distintos trastornos mentales y de conducta. Tienes estudios científicos y clínicos para parar un tren.

No tardaremos mucho en ver leyes que prohíban este y otros preceptos religiosos católicos por ir en contra de la libertad de las personas."
lgtbi,https://www.meneame.net/story/dimite-obispo-polaco-tras-escandalo-orgia-gay-varios-curas,3869497,39547916,61,,--759566--,2023-10-26T16:58:34+00:00,0,7,"#_60 ¿A qué viene de repente esta respuesta tan estúpida? {huh} ¿Tienes cinco añitos?

¿Y reportado por qué exactamente? ¿Acaso crees que ser un sectario con el coco comido y lleno de chorradas irrealistas no es algo criticable?

Jope, qué hecha polvo tenéis la cabeza los acólitos de estas mierdas.

(Viene de #57)"
lgtbi,https://www.meneame.net/story/dimite-obispo-polaco-tras-escandalo-orgia-gay-varios-curas,3869497,39547857,60,57.0,domadordeboquerones,2023-10-26T16:48:31+00:00,2,8,"#57 jajajajjajjajj 
reportaito miarma y al ignore jajajajj"
lgtbi,https://www.meneame.net/story/dimite-obispo-polaco-tras-escandalo-orgia-gay-varios-curas,3869497,39547461,59,41.0,--722290--,2023-10-26T15:47:34+00:00,0,6,"#41 Sinceramente, creo que las sociedades mas aberrantes y profundamente enfermas de la historia han sido aquellas en las que un individuo/pequeño grupo de individuos han determinado en nombre de todos lo que es licito o ilicito creer."
lgtbi,https://www.meneame.net/story/dimite-obispo-polaco-tras-escandalo-orgia-gay-varios-curas,3869497,39547448,58,37.0,--722290--,2023-10-26T15:46:19+00:00,0,6,"#37 ¿Celibato obligatorio? ¿Dónde? Hasta donde yo sé, nadie pone un cuchillo en el cuello a nadie para obligarle a hacer voto de castidad, ni para ordenarse sacerdote/meterse a monja/monje. Ciertamente los escandalos y abusos son totalmente culpa de la Iglesia , pero la afirmación de que los abusos se deben al voto de castidad, en mi opinión, no se sostiene en absoluto ¿Acaso decimos que es normal que alguien sienta el impulso de violar a otro alguien solo porque nadie quiere acostarse con él?

Para mi, claramente, los abusos en el seno de la Iglesia se deben a que no ha habido una respuesta contundente contra ellos. Desgraciadamente, en el mundo, existen pederastas y/o violadores. Si hay un lugar en la sociedad en el que se tiene autoridad, acceso a niños y no se responde contundentemente ante el mas minimo abuso, es normal que ese lugar atraiga a esos pederastas/violadores."
lgtbi,https://www.meneame.net/story/dimite-obispo-polaco-tras-escandalo-orgia-gay-varios-curas,3869497,39547286,57,55.0,--759566--,2023-10-26T15:23:39+00:00,1,13,"#55 Tú tienes el cerebro lavado desde crío y eres un caso perdido. Tu coco está tan lleno de absurdeces irrealistas que morirías de miedo ante la sola perspectiva de vivir sin las muletillas sectarias que te han imbuido desde que naciste.

Pero basta con evitar ese lavado de cerebro en las generaciones siguientes. Se aparta completamente a las sectas del poder, se cierran todos los grifos que las alimentan y se extinguen solas en una generación. Sin poder y sin dinero se quedan sin finalidad y sin acólitos, así de sencillo.

Insisto en que resultas muy ridículo llamando sentimiento a algo que no es más que un lavado de cerebro. Es tan penoso y sin sentido como llamar sentimiento a la creencia de que la Tierra es plana o a ser adicto a los opiáceos."
lgtbi,https://www.meneame.net/story/dimite-obispo-polaco-tras-escandalo-orgia-gay-varios-curas,3869497,39547163,56,,esehombresimpatico,2023-10-26T14:58:16+00:00,0,6,La curia romana en estado puro.
lgtbi,https://www.meneame.net/story/dimite-obispo-polaco-tras-escandalo-orgia-gay-varios-curas,3869497,39547084,55,54.0,domadordeboquerones,2023-10-26T14:44:04+00:00,0,6,"#54 Insisto, como harías para prohibir mis sentimientos, mis creencias y la del 70% de la población mundial"
