tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/furgoneta-kamikaze-52-migrantes-revienta-frontera-ceuta,3213237,28307857,191,52.0,--75126--,2019-11-21T17:17:41+00:00,0,10,"#52 Yo no lo veo tan fácil, Marruecos querrá algo a cambio y seguro que es caro."
inmigracion,https://www.meneame.net/story/furgoneta-kamikaze-52-migrantes-revienta-frontera-ceuta,3213237,28296562,190,185.0,--133448--,2019-11-20T11:05:51+00:00,0,11,"#185 Está claro que pocos emigrantes conoces tu. Soy hijo de la emigración y te podría contar historias que te recordarían mucho tiempos actuales. Y eso que nuestros padres y abuelos escapaban del hambre o la necesidad, no de la guerra o las limpieza étnicas."
inmigracion,https://www.meneame.net/story/furgoneta-kamikaze-52-migrantes-revienta-frontera-ceuta,3213237,28295772,189,188.0,--42429--,2019-11-20T09:39:19+00:00,0,10,"#188 A mi qué me cuentas.

A llorar a |buambusub"
inmigracion,https://www.meneame.net/story/furgoneta-kamikaze-52-migrantes-revienta-frontera-ceuta,3213237,28295221,188,79.0,--625818--,2019-11-20T08:09:45+00:00,0,6,"#79 Bueno, desde el punto de vista ultra-izquierdista de o-piensas-como-yo-o-si-opinas-diferente-eres-un-ultrafachas-y-xenofobos.

Ahora me han quitado karma por este comentario por ""incitación al odio"" {lol} {lol} {lol} , porque ya sabes hay que hablar siempre de seres de luz o eres un ultrafachas-xenofobos

https://www.meneame.net/c/28275441"
inmigracion,https://www.meneame.net/story/furgoneta-kamikaze-52-migrantes-revienta-frontera-ceuta,3213237,28295195,187,99.0,--625818--,2019-11-20T08:04:44+00:00,0,6,"#99 Ni hablar, siempre se habló de inmigrantes y emigrantes, como es lógico, al ser palabras que aportan más información a las frases, y de repente la prensa dejó de utilizar esos términos, a nivel global."
inmigracion,https://www.meneame.net/story/furgoneta-kamikaze-52-migrantes-revienta-frontera-ceuta,3213237,28295185,186,,--625818--,2019-11-20T08:02:09+00:00,0,6,Argumento cero.
inmigracion,https://www.meneame.net/story/furgoneta-kamikaze-52-migrantes-revienta-frontera-ceuta,3213237,28295178,185,157.0,--625818--,2019-11-20T08:01:15+00:00,0,6,"#157 Los españoles que fueron a trabajar fuera no saltaban muros ni arrastraban fronteras en plan kamikaze, emigraban legalmente, como legalmente entran muchos en España, los defensores de los inmigrantes ilegales lo hacéis porque os lo ordena el partido político de turno, pero es un absurdo."
inmigracion,https://www.meneame.net/story/furgoneta-kamikaze-52-migrantes-revienta-frontera-ceuta,3213237,28294785,184,136.0,--624785--,2019-11-20T05:39:48+00:00,0,8,#136 o que la peña es muy cortita porque dime cuántas personas tienen una garita de la Guardia Civil en la puerta. {roll}
inmigracion,https://www.meneame.net/story/furgoneta-kamikaze-52-migrantes-revienta-frontera-ceuta,3213237,28288334,183,73.0,elamperio,2019-11-19T10:00:35+00:00,1,1,"#73 Si la entrada fuese libre tendrías unos problemas de desempleo y, sumado a un impedimento de hacer frente al gasto presupuestario de políticas sociales, unos problemas de delincuencia bastante elevados, derivado de ello. Si a eso le sumas que no puedes hacer frente infraestructuralmente a la llegada de varios millones de población más... ya me explicarás las políticas que aplicarías con miles de persona entrando por tus fronteras todos los días. 

Por supuesto que hay que aumentar las inspecciones para reducir los abusos empresariales. Pero eso no haría que dejaran de cobrarse salarios mínimos bajo la presión de una masiva mano de obra sobrante."
inmigracion,https://www.meneame.net/story/furgoneta-kamikaze-52-migrantes-revienta-frontera-ceuta,3213237,28287093,182,179.0,apetor,2019-11-19T06:37:46+00:00,0,9,"#179 No es exactamente lo que queria poner, pero:

https://www.youtube.com/watch?v=CrB3842QMC4"
inmigracion,https://www.meneame.net/story/furgoneta-kamikaze-52-migrantes-revienta-frontera-ceuta,3213237,28286977,181,163.0,RubiaDereBote,2019-11-19T06:05:37+00:00,0,10,#163 {palm} {palm} {palm} {palm} {palm} {palm} {palm} {palm} {palm} {palm}
