tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/dos-refugiados-sirios-salvan-vida-politico-ultraderechista,2585982,19113465,62,,--264583--,2016-03-23T13:16:57+00:00,0,6,"La MASSMIERDA y los medios desinformación sionistas mueven la maquinaria de manera muy efectiva. Mañana tenemos ""encontrada un peo embotellado de Ana Frank"" y ""como un grupo de refugiados cosen una bandera de Europa con sus harapos."""
inmigracion,https://www.meneame.net/story/dos-refugiados-sirios-salvan-vida-politico-ultraderechista,2585982,19111153,61,8.0,redjhawk,2016-03-23T08:42:52+00:00,1,22,"#8 Joder, hay gente que no entiende las ironías ni poniendo tags.
@GeoX @botafumeiro @dispar @epsimac  ¿qué más necesitáis?"
inmigracion,https://www.meneame.net/story/dos-refugiados-sirios-salvan-vida-politico-ultraderechista,2585982,19110214,60,34.0,--324579--,2016-03-23T00:27:49+00:00,3,34,"#34 yo siempre digo que la solución para evitar los problemas es matar a todos los humanos. A todos. Así ya nadie hace nada malo.
Pero hay quien no me entiende."
inmigracion,https://www.meneame.net/story/dos-refugiados-sirios-salvan-vida-politico-ultraderechista,2585982,19109335,59,58.0,GeoX,2016-03-22T21:19:39+00:00,0,12,#58 Sí.
inmigracion,https://www.meneame.net/story/dos-refugiados-sirios-salvan-vida-politico-ultraderechista,2585982,19109331,58,54.0,--199729--,2016-03-22T21:19:13+00:00,0,6,#54 y lo dice uno que tiene de nick una marca de zapatos
inmigracion,https://www.meneame.net/story/dos-refugiados-sirios-salvan-vida-politico-ultraderechista,2585982,19109036,57,55.0,christian,2016-03-22T20:21:55+00:00,1,20,#55 http://www.theguardian.com/world/2016/mar/22/syrians-rescue-german-far-right-stefan-jagsch-from-car-crash-wreckage
inmigracion,https://www.meneame.net/story/dos-refugiados-sirios-salvan-vida-politico-ultraderechista,2585982,19109030,56,26.0,christian,2016-03-22T20:21:00+00:00,0,8,#26 http://www.theguardian.com/world/2016/mar/22/syrians-rescue-german-far-right-stefan-jagsch-from-car-crash-wreckage
inmigracion,https://www.meneame.net/story/dos-refugiados-sirios-salvan-vida-politico-ultraderechista,2585982,19109003,55,,chemari,2016-03-22T20:15:03+00:00,2,12,"No voy a votar negativo, pero no me lo creo. Que posibilidad hay de que dos refugiados sirios coincidan con un politico de ultraderecha en un accidente y ademas le salven la vida? y ademas de improbable es un titular cojonudo, lo que me hace sospechar que no ocurrió así exactamente."
inmigracion,https://www.meneame.net/story/dos-refugiados-sirios-salvan-vida-politico-ultraderechista,2585982,19108790,54,52.0,GeoX,2016-03-22T19:42:52+00:00,0,12,"#52 Vamos, que no sólo no sabes lo que es una falacia sino que encima me quieres echar a mí el muerto.

Hala chaval, que ya has quedado en evidencia {cheesy}"
inmigracion,https://www.meneame.net/story/dos-refugiados-sirios-salvan-vida-politico-ultraderechista,2585982,19108770,53,11.0,GeoX,2016-03-22T19:39:56+00:00,0,12,#11 Pero en ese caso su lógica ya no sirve para na... oh wait!
