tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38523021,54,,Jaime131,2023-06-02T06:41:27+00:00,0,11,A esta la están pagando para que liquide definitivamente a Podemos. Es la única explicación que se me ocurre.
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38523013,53,52.0,--730024--,2023-06-02T06:39:31+00:00,1,20,#52 Y en Estados Unidos.
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38522561,52,43.0,Druidaferal,2023-06-02T05:03:43+00:00,1,18,"#43 Francia es un ejemplo de hacer bien las cosas, es increíble lo bien que está todo allí con la inmigración."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38522554,51,17.0,Druidaferal,2023-06-02T05:01:46+00:00,1,18,"#17 claro, es que los visados están para algo, y aquí don un chiste, desde el sur ni eso, desde América con engaños."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38522550,50,15.0,Druidaferal,2023-06-02T05:01:00+00:00,1,18,"#15  #13 regularizar a miles dd inmigrantes simultáneamente y a todos los que entren, no solo va a destruir la economía si no que va a crear un ambiente de inseguridad totalmente insoportable. Aquí hay antecedentes de ataques terroristas islámicos, la diferencia entre estos y los de eta por ejemplo es que cualquiera puede ser un terrorista."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38522536,49,12.0,Druidaferal,2023-06-02T04:56:19+00:00,1,18,"#12  #12 España es el país donde la inmigración acude a recibir un pasaporte europeo, en el resto de países ni les dejan entrar.

Aqui llegas y si estás em situación lamentable te ayuda el estado con el dinero de todos, hay cientos de miles de inmigrantes viviendo gracias a la caridad de los españoles.

El objetivo de inmigración es ayudarte a que te quedes, no echarte a la mierda como hacen en casi cualquier otra país."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38455113,48,45.0,sotillo,2023-05-24T14:33:10+00:00,1,13,"#45 Por donde quieras, no te cortes, estamos para lo que sea"
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38454869,47,10.0,Saul_Gudman,2023-05-24T13:56:53+00:00,1,14,"#10 los haters de montero la amamos. Creo que tienes razón. Deberíais seguir con canal red y defendiendo el feminismo y el ministerio. Por favor, no pareis hasta el final. Es una heroína super lista, una mujer muy fuerte. El azote de la derecha. Que los resultados electorales no os cieguen, Pam algún día presidenta {hug}"
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38454856,46,7.0,Empakus,2023-05-24T13:55:50+00:00,1,22,"#7 es lo que tiene ser una pésima política que cada dos por tres anda insultando... El día que yo tenga un cargo público podréis criticarme por mis declaraciones y decisiones...
Hasta entonces... Chitón"
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38454842,45,18.0,Empakus,2023-05-24T13:54:32+00:00,1,22,"#18 mira, hay tantas burradas en tu comentario que no sé por dónde empezar..."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38454831,44,,Saul_Gudman,2023-05-24T13:53:18+00:00,3,29,"De los creadores de la ley si es si, trans, animal y vivienda... ahora llega papeles para todes. Estoy deseando verlo. Qué pena que os quede tan poco en el convento. Te vamos a echar de menos Podemos. Qué grandes momentos..."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453960,43,,--730024--,2023-05-24T12:03:33+00:00,2,23,"Yo apoyo a Irene

Paises como Estados Unidos o Francia tienen muchos inmigrantes y diversidad, y por eso no tienen problemas de racismo."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453942,42,40.0,--730024--,2023-05-24T12:00:44+00:00,0,9,"#40 Todos esperamosque que siga siendo referente, pero solo de Podemos. Yo solo quiero que se hunda Podemos, no que hunda a toda la izquierda."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453769,41,,zappbranigam,2023-05-24T11:37:35+00:00,1,13,"Podemos, lo que pudo haber sido y en lo que ha quedado. Qué lástima."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453729,40,10.0,--461414--,2023-05-24T11:33:02+00:00,0,8,"#10 viva irene, espero que siga siendo referente de la izquierda mucho tiempo"
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453705,39,,Elduende_Oscuro,2023-05-24T11:30:35+00:00,1,16,Y tras una sesuda autocrítica perderán por los medios de comunicación que son todos fascistas.
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453679,38,2.0,--461414--,2023-05-24T11:27:17+00:00,1,15,"#2 déjala,  si ella ve en su entorno racismo que lo diga. Es su experiencia y lo que la rodea"
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453656,37,36.0,QRK,2023-05-24T11:24:15+00:00,0,7,"#36 Ah! Los empresarios. Bueno, sólo lo hacen los que quieren pagar el sueldo en pipas.

A esos hay que ignorarlos, mejor."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453634,36,31.0,traviesvs_maximvs,2023-05-24T11:20:37+00:00,1,17,#31 Los empresaurios están siempre llorando con que faltan curritos pa explotar profesionales.
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453612,35,32.0,sotillo,2023-05-24T11:17:33+00:00,1,17,"#32 Da igual, no va a entrar de ninguna manera, tu te fijas en como avanza en Estados Unidos y ya te puedes hacer una idea, vamos por el mismo camino"
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453607,34,10.0,--582918--,2023-05-24T11:16:51+00:00,2,27,"#10 claramente te estas equivocado de persona. El feminismo no pasa por excluir al hombre porque eso no es feminismo. Tiene mucya visión para si y su familia, que ya tienen la vida solucionada.
Y lo mejor es que fue cajera"
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453593,33,4.0,--582918--,2023-05-24T11:14:40+00:00,2,26,#4 antes de Irene no hay leyes de inmigración
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453588,32,18.0,--582918--,2023-05-24T11:14:08+00:00,1,18,#18 mira que se podria lograr eso haciendo politicas para todos y no somo por lo que te deja de colgar
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453585,31,28.0,QRK,2023-05-24T11:14:00+00:00,0,7,#28 a favor de quien? los que lloran quienes son? mi no entender
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453581,30,,--582918--,2023-05-24T11:13:32+00:00,4,44,"diooos qué argumentación, qué debate, qué ausencia de desconocimiento, qué hostia en las elecciones. Ganadas a pulso eso sí."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453515,29,27.0,--684140--,2023-05-24T11:06:56+00:00,1,22,#27 Touché
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453502,28,25.0,traviesvs_maximvs,2023-05-24T11:05:36+00:00,2,24,"#25 la cuestión no son los papeles, es que a mayor número de trabajadores más pueden ajustar las condiciones a su favor, por eso están siempre llorando con que faltan camareros, informaticos y albañiles en uno de los países con más paro de Europa."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453491,27,24.0,cenutrios_unidos,2023-05-24T11:03:00+00:00,2,29,"#24 Hombre si es Enrique del Pozo, como que no es mi tipo."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453485,26,,NeuronaSur,2023-05-24T11:02:04+00:00,3,35,Cada día me convence más la idea de que es la infiltrada de Vox para reventar a Podemos.
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453473,25,22.0,QRK,2023-05-24T11:00:48+00:00,0,7,"#22 Joden el mercado y los pueden explotar precisamente si son irregulares...

No sé, yo sigo sin ver que mis intereses estén afectados como afirmas."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453472,24,23.0,--684140--,2023-05-24T11:00:40+00:00,0,8,"#23 si Irene se tira a un pozo yo tb! 

En fin..."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453458,23,21.0,cenutrios_unidos,2023-05-24T10:58:58+00:00,1,21,"#21 Sí, es una gilipollez. Pero regularizar no implica ""no ser racista"", es más es como decir que un empresario que mete a esta pobre gente y la explota en el campo es lo menos racista que hay sobre la tierra. 

Si Irene dice gilipolleces yo también."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453444,22,19.0,cenutrios_unidos,2023-05-24T10:56:25+00:00,3,40,"#19 Joden el mercado. Básicamente te permite explotar a la gente por parte de gente sin escrúpulos. Y de paso, manda un mensaje erróneo a aquellos que sí cumplen las leyes y normas."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453438,21,17.0,--684140--,2023-05-24T10:55:45+00:00,1,19,"#17 iba a seguir la discusión,pero viendo la gilipollez de ""violador en potencia"" ya se cómo va a acabar la cosa. Así que prefiero darte la razón ...y a seguir por otro lado ."
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453437,20,13.0,Gry,2023-05-24T10:55:39+00:00,0,17,"#13 Por otro lado los trabajadores no tendrán que competir contra gente que curra 9h diarias 7 días a la semana por 200€ al mes. {tongue}

https://www.meneame.net/story/detienen-dos-empresarios-bilbao-explotar-trabajadores-fabrica"
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453434,19,13.0,QRK,2023-05-24T10:55:14+00:00,0,7,"#13 Como trabajador, ¿en qué afecta a mis intereses?"
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453421,18,2.0,sotillo,2023-05-24T10:53:45+00:00,4,38,"#2 Una batalla perdida, mira que decirle a la gente que tenemos que ser todos iguales y tener los mismos derechos y obligaciones, con lo mal que está el servicio"
inmigracion,https://www.meneame.net/story/irene-montero-partidaria-proceso-regularizacion-migrantes-espana,3816401,38453414,17,15.0,cenutrios_unidos,2023-05-24T10:52:27+00:00,3,36,"#15 Claro, el efecto llamada no existe. Premiemos a los que incumplen la ley...joder son tantas cosas que no se por donde comenzar.

Pero es que soy facha seguramente y además un violador en potencia."
