tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/todo-sobre-bibby-stockholm-buque-ha-fletado-reino-unido-alojar,3836738,38877103,13,12.0,--62766--,2023-07-20T12:02:14+00:00,0,9,"#12 No estan emcerrados en el mar, es una embarcacion sin motor amarrada, donde pueden salir y entrar. Es por dinero."
inmigracion,https://www.meneame.net/story/todo-sobre-bibby-stockholm-buque-ha-fletado-reino-unido-alojar,3836738,38876575,12,11.0,Catacroc,2023-07-20T10:58:17+00:00,0,13,"#11 Dudo muchisimo que el tema sea por dinero, no creo que tenerlos en un barco sea mas barato."
inmigracion,https://www.meneame.net/story/todo-sobre-bibby-stockholm-buque-ha-fletado-reino-unido-alojar,3836738,38876417,11,10.0,--62766--,2023-07-20T10:38:12+00:00,0,9,"#10 No es hacerse trampas a si mismo. Como bien dices, en el barco están en suelo britanico, y al estado le sale mas barato. El estado cumple y el contribuyente aporta menos."
inmigracion,https://www.meneame.net/story/todo-sobre-bibby-stockholm-buque-ha-fletado-reino-unido-alojar,3836738,38876314,10,,Catacroc,2023-07-20T10:27:50+00:00,0,13,"Es hacerse trampas al solitario. Si el barco es britanico, en aguas britanicas y bajo la ley britanica, es suelo britanico."
inmigracion,https://www.meneame.net/story/todo-sobre-bibby-stockholm-buque-ha-fletado-reino-unido-alojar,3836738,38876276,9,8.0,--712564--,2023-07-20T10:22:26+00:00,0,7,"#8 Seguramente en el más barato que hayan podido encontrar, encima los hoteles tienen el problema de que tampoco pueden funcionar como una vivienda, depende del sitio, pero lo normal es que no tengan cocina, lavadora, ni otros servicios...

Ni idea cómo lo llevan los casos en españa que terminan alojados en hoteles, por ejemplo, porque su edificio quede en ruina o haya riesgo de derrumbe. No es una solución práctica."
inmigracion,https://www.meneame.net/story/todo-sobre-bibby-stockholm-buque-ha-fletado-reino-unido-alojar,3836738,38876235,8,7.0,--42429--,2023-07-20T10:17:20+00:00,0,11,"#7 Mi argumento es que de por si los hoteles británicos son una mierda, así que a saber en qué agujeros han estado leyendo a esta gente.

La diferencia es que ahora en ese buque estarán de facto hacinados en una cárcel."
inmigracion,https://www.meneame.net/story/todo-sobre-bibby-stockholm-buque-ha-fletado-reino-unido-alojar,3836738,38876199,7,5.0,--712564--,2023-07-20T10:12:12+00:00,0,7,"#5 Sigue siendo un alojamiento de lujo, a precio de lujo , por eso precisamente la gente busca alternativas como airbnb. En todo caso, creo que es evidente que tenerlos en un hotel no es una solución sostenible... no sé si acaso quieres argumentar lo contrario."
inmigracion,https://www.meneame.net/story/todo-sobre-bibby-stockholm-buque-ha-fletado-reino-unido-alojar,3836738,38876189,6,,--42429--,2023-07-20T10:11:41+00:00,2,32,"En España están los CIES, que tampoco son modelo de nada."
inmigracion,https://www.meneame.net/story/todo-sobre-bibby-stockholm-buque-ha-fletado-reino-unido-alojar,3836738,38876181,5,4.0,--42429--,2023-07-20T10:10:16+00:00,0,11,#4 ¿Has visto cómo son los hoteles en Reino Unido?
inmigracion,https://www.meneame.net/story/todo-sobre-bibby-stockholm-buque-ha-fletado-reino-unido-alojar,3836738,38876148,4,,--712564--,2023-07-20T10:07:07+00:00,0,7,"Todo sea dicho, un alojamiento en hotel es prácticamente un alojamiento de ""lujo""."
inmigracion,https://www.meneame.net/story/todo-sobre-bibby-stockholm-buque-ha-fletado-reino-unido-alojar,3836738,38876079,3,,Borgiano,2023-07-20T09:59:31+00:00,0,8,De racista al primer ministro no le pueden acusar
inmigracion,https://www.meneame.net/story/todo-sobre-bibby-stockholm-buque-ha-fletado-reino-unido-alojar,3836738,38875997,2,,powernergia,2023-07-20T09:49:50+00:00,0,12,Years and Years.
inmigracion,https://www.meneame.net/story/todo-sobre-bibby-stockholm-buque-ha-fletado-reino-unido-alojar,3836738,38875994,1,,Veelicus,2023-07-20T09:49:19+00:00,0,12,"Una carcel en el agua, que como estara en aguas internacionales hara que UK hable de ella como EEUU de Guantanamo..."
