tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28153039,21,4.0,Smidur,2019-10-31T16:05:55+00:00,0,7,"#4 Acuerdo? No les interesa... Pero porque es un debate que perderían todos. Pregúntale a la gente que está sufriendo la inmigración ilegal, como sus barrios se están degradando... Tienen miedo de hablar de este tema porque no saben que hacer.  Que paso darán próximamente? Quitar las Vallas? Invitar a toda África entrar en España para que luego Europa cierre fronteras internas y nos lo comamos a todos?  Venga hombre."
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28153018,20,7.0,Smidur,2019-10-31T16:02:52+00:00,0,7,#7 Y la inmigración no es importante?  El gasto que supone a todos los servicios una inmigración descontrolada no es importante? En Melilla y Ceuta están quitando las concertinas y en menos de dos minutos saltan la valla.
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28146799,19,12.0,Shotokax,2019-10-30T20:01:52+00:00,1,19,#12 estoy de acuerdo en que es lamentable que la única alternativa al discurso de los fascistas sea ignorar el tema.
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28146517,18,13.0,neuralgya,2019-10-30T19:14:53+00:00,2,45,#13 Parece que el que no sabe leer eres tu.  Y vas acusando de mentiras a otros. Negativo.
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28146490,17,5.0,--596437--,2019-10-30T19:10:40+00:00,0,8,#5 que no se habla de lo que a ellos les interesa. Aquí solo se permite hablar de lo malo que era Franco.
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28146482,16,4.0,--596437--,2019-10-30T19:09:40+00:00,1,11,#4 y bien que harán.
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28146379,15,6.0,--419859--,2019-10-30T18:52:49+00:00,1,11,"#6 ¿Tema crítico? ¿Qué va a ser lo siguiente crítico?, ¿la momia?, ¿Cataluña? {lol} {lol}

Temas críticos son la sanidad, losbimpuestos que no paganvlas empresas, la vicienda y similares. Lo demás es electoralismo guarro."
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28146179,14,13.0,--93115--,2019-10-30T18:23:53+00:00,2,34,"#13 6,6 es el dato de septiembre que yo use en un primer momento porque en octubre la preocupación por la falta de acuerdos políticos ha trastocado el resto de datos. Me acusas de que no los he usado y pongo los de octubre y ahora quieres usar el de octubre en inmigración y el de septiembre en violencia contra la mujer. No creo que mientas por idiocia porque sería demasiada hasta para ti, asi que pienso que lo haces para defender tu postura: http://www.cis.es/cis/export/sites/default/-Archivos/Indicadores/documentos_html/TresProblemas.html"
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28146142,13,12.0,--166606--,2019-10-30T18:16:15+00:00,3,-2,"#12 Sigues mintiendo, además de demostrar que no sabes leer.

Violencia de genero, 6,9%.

Normal que votes a lo que votes, si ya lo dice la Ciencia:

https://journals.sagepub.com/doi/abs/10.1177/0956797611421206?journalCode=pssa"
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28146131,12,10.0,--93115--,2019-10-30T18:14:16+00:00,2,34,"#10 bueno, para los gañanes que no saben leer pondré los datos del ultimo mes:

INMIGRACIÓN .. 10,7 puntos (tema prohibido en el debate)
Violencia contra la mujer............. 4,2 puntos (tema a tratar en el debate)
problemas medioambientales ... 2,3 (tema a tratar en el debate)

y para que entiendas que un problema que el 15% de los españoles les parece una preocupación de primer orden y que los siguientes partidos están todos de acuerdo en taparlo PSOE, PP, Ciudadanos, Unidas Podemos, ERC y PNV porque saben que el que se mueve no sale en la foto."
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28146130,11,7.0,--508572--,2019-10-30T18:14:12+00:00,0,7,"#7 Bueno, eso de ""asuntos más importantes"" es muy relativo. En el momento en que se está haciendo una operación llamada con contubernio de las mafias oenegeras, y todo eso se paga del bolsillo del contribuyente, poco importante no me parece.
Otra cosa es que escueza."
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28145842,10,9.0,--166606--,2019-10-30T17:30:19+00:00,1,21,"#9 Qué necesidad tenéis de mentir en la carcunda?

Según el último CIS el porcentaje sobre inmigración es del 10,7%, mentirosillo.


Aunque bueno, que la carcunda hable de las ""lineas del gran capital"" es para reírse directamente en vuestra cara.

Y tranquilo, que estamos esperando el debate más que nadie para que la gente normal vea la basura que hay en ese partido capitaneado por estafadores condenados judicialmente y vagos chupópteros."
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28145720,9,,--93115--,2019-10-30T17:15:08+00:00,6,54,"todo en orden, preocupación de los españoles según el barometro del CIS, pongo el mes anterior porque este mes la falta de acuerdos politicos ha subido tanto que ha trastocado todos los indicadores:

INMIGRACIÓN .. 15,6 puntos (tema prohibido en el debate)
VIOGEN ............. 6,7 puntos (tema a tratar en el debate)
problemas medioambientales ... 1,5 (tema a tratar en el debate)

¿Que indica esta prohibición? que al resto de partidos y directivos de tve (que también estaban en la reunión) les importa una mierda las preocupaciones de los españoles. Como todos están de acuerdo en seguir las lineas del gran capital, saben que sacar el tema solo les puede dañar y dar votos a VOX y que mucha gente despierte."
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28145641,8,6.0,--611327--,2019-10-30T17:06:18+00:00,1,19,"#6 La solución es sencilla, entregar Ceuta y Melilla a los ingleses a cambio de Gibraltar.
Confundes miedo con irrelevancia."
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28145627,7,5.0,--611327--,2019-10-30T17:04:51+00:00,2,-7,#5 Que el tiempo es limitado y hay asuntos mas importantes. Aunque al final será unos diciendo no te pongas nervioso y otros enseñando cartelitos.
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28145560,6,,Mr.Bug,2019-10-30T16:57:41+00:00,6,49,"Pues vaya estafa de debate, no sé porqué no se puede hablar de este tema cuando es un tema crítico en cualquier país y más en el nuestro que tiene una frontera caliente en el sur.

¿Le tienen miedo los otros partidos a los de Vox?"
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28145543,5,,isra_el,2019-10-30T16:56:02+00:00,3,27,¿Qué tiene de malo hablar de lo que sea?
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28145523,4,,--617160--,2019-10-30T16:53:31+00:00,0,8,"Y VOX se pasará el acuerdo por el arco del triunfo, hablará de inmigración en el debate, y si le corrigen, se irá indignado y dando el portazo."
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28145243,3,,--624785--,2019-10-30T16:22:05+00:00,0,6,Para qué si ya sabemos lo que piensan.
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28145239,2,1.0,--523080--,2019-10-30T16:21:45+00:00,1,20,"#1 O, tal como se aprobó, se le impide hablarde eso..."
inmigracion,https://www.meneame.net/story/tve-impide-vox-hablar-inmigracion-debate,3204429,28145209,1,,x.y.z,2019-10-30T16:18:35+00:00,0,14,Se pactaron los temas entre los partidos y ese no se aprobó. Errónea.
