tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/sanchez-junto-meloni-migracion-irregular-problema-europeo-exige,3799337,38141743,12,,--750796--,2023-04-05T23:54:52+00:00,0,6,"¿La ""migración"" irregular es un problema? ¿Pero la de los emigrantes o los inmigrantes?
Es lo que pasa, Antonio, cuando hablas como un mongolo, que lanzas un mensaje que si se analiza te deja en evidencia.

¿No te referirás a la INMIGRACIÓN? ¿O es que los europeos están causando problemas porque se están largando de manera ilegal?"
inmigracion,https://www.meneame.net/story/sanchez-junto-meloni-migracion-irregular-problema-europeo-exige,3799337,38140639,11,,--490115--,2023-04-05T18:57:47+00:00,0,10,"Sánchez facha!!

PD: Totalmente de acuerdo con el titular."
inmigracion,https://www.meneame.net/story/sanchez-junto-meloni-migracion-irregular-problema-europeo-exige,3799337,38140015,10,5.0,z1018,2023-04-05T17:00:53+00:00,0,7,"#5 la sonrisa de Meloni parece indicar que también ha caído en el magnetismo de Mr. Handsome, me parece que esto no le va a gustar a Úrsula."
inmigracion,https://www.meneame.net/story/sanchez-junto-meloni-migracion-irregular-problema-europeo-exige,3799337,38139745,9,1.0,Guanarteme,2023-04-05T16:13:04+00:00,1,20,"#1 Pues es verdad lo qué dicen, la verdad es la verdad la diga Agamenón o su porquero. 

Lo que no puede ser es que los isleños estemos aquí de ""campo de internamiento"" mientras en el continente ""alejan"" el problema, tampoco estas avalanchas humanas, estas pérdidas de vidas, esa falta de oportunidades en los países emisores y el Rey de Marruecos viviendo como vive y haciendo lo que hace a nivel político. 

Sí, esto es un problema que afecta Europa y si Meloni dice que ahora es de día, pues tendré que darle la razón, otra cosa es que hable de otro tema en el que discrepe, pero si lo que dices es cierto.... ¿Qué problema hay?"
inmigracion,https://www.meneame.net/story/sanchez-junto-meloni-migracion-irregular-problema-europeo-exige,3799337,38139675,8,1.0,Alakrán_,2023-04-05T15:57:31+00:00,9,74,"#1 Os puede la bilis.
Italia y España comparten problemas, la mayor fosa común que es el Mediterráneo y la inmigración ilegal, entre otros muchos, por lo que lo lógico es seguir yendo de la mano en este tema, como se viene haciendo desde hace tiempo, independientemente de que este la señora Meloni este en el poder, y no hace falta decir que hacen bien señalando que el problema de la inmigración ilegal es una cuestión de la UE."
inmigracion,https://www.meneame.net/story/sanchez-junto-meloni-migracion-irregular-problema-europeo-exige,3799337,38139663,7,5.0,rogerius,2023-04-05T15:55:17+00:00,0,11,#5 Carne de meme.
inmigracion,https://www.meneame.net/story/sanchez-junto-meloni-migracion-irregular-problema-europeo-exige,3799337,38139609,6,5.0,JungSpinoza,2023-04-05T15:45:12+00:00,0,10,"#5 Que bonito es el amor, cuando llega, se asoma, me ahoga, y vuela

https://youtu.be/lV30KqyIECU"
inmigracion,https://www.meneame.net/story/sanchez-junto-meloni-migracion-irregular-problema-europeo-exige,3799337,38139572,5,,Heni,2023-04-05T15:39:25+00:00,5,18,Meloni pensándose en hacerse socialista para comerse un buen sanchichoni
inmigracion,https://www.meneame.net/story/sanchez-junto-meloni-migracion-irregular-problema-europeo-exige,3799337,38139571,4,,dick_laurence,2023-04-05T15:39:20+00:00,0,9,"Y toda la razón tiene, a ver si para este asunto el resto de la UE no tiene nada que ver y se van a lavar las manos..."
inmigracion,https://www.meneame.net/story/sanchez-junto-meloni-migracion-irregular-problema-europeo-exige,3799337,38139517,3,,Enésimo_strike,2023-04-05T15:33:29+00:00,2,33,Sanchez tiene toda la razón.
inmigracion,https://www.meneame.net/story/sanchez-junto-meloni-migracion-irregular-problema-europeo-exige,3799337,38139499,2,,--723633--,2023-04-05T15:31:34+00:00,0,12,{palm}
inmigracion,https://www.meneame.net/story/sanchez-junto-meloni-migracion-irregular-problema-europeo-exige,3799337,38139494,1,,Clarinius,2023-04-05T15:30:59+00:00,0,9,"Creo que la siguiente etapa de su gira pasa por Hungría, para mostrar su sintonía con Orbán."
