tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/primer-gobierno-municipal-pp-vox-cantabria-toma-primera-medida,3825938,38659758,36,34.0,johel,2023-06-20T11:50:28+00:00,0,11,"#34 Es terrible llegar a escrubirlo pero los judios ultraortodoxos actuales estan muy muy cerca del nazismo, hay semanas en que sus comentarios o sus actos cruzan todas las lineas rojas de lo democraticamente tolerable y no merecen otro calificativo que el de ""judios nazis"". 
A nivel general lo de que te hagan pruebas de sangre y un arbol genealogico para considerarte ""judio autentico"" no tiene nombre."
lgtbi,https://www.meneame.net/story/primer-gobierno-municipal-pp-vox-cantabria-toma-primera-medida,3825938,38659712,35,33.0,johel,2023-06-20T11:45:56+00:00,0,11,"#33 Para pox no es ninguna contradiccion, tienes a un partido formado por gente que ha vivido toda su vida del cuento, de cobrar paguitas, de gritar muy fuerte, de comisionar, de sobornar y de codearse con reconocidos delincuentes. 
Son ""patriotas españoles"" financiados por una secta irani (grupo terrorista en las listas de eeuu), aliados de una secta mexicana de torturadores (el yunque), que son fans de la doctrina del saqueador americano bannon, amigos de los paraisos fiscales y con una ideologia sacada del ideario supremacista aleman/italiano/dictatorial.
¿Patriota? ¿Donde esta el patriotismo y el españolismo en todo eso? Se podria ser mas antipatriota pero habria que quemar el congreso o montarse una conspiracion de la polvora."
lgtbi,https://www.meneame.net/story/primer-gobierno-municipal-pp-vox-cantabria-toma-primera-medida,3825938,38656964,34,31.0,hasta_los_cojones,2023-06-20T07:11:18+00:00,0,10,#31 ¿Cuántos Nazis sionistas conoces?
lgtbi,https://www.meneame.net/story/primer-gobierno-municipal-pp-vox-cantabria-toma-primera-medida,3825938,38656684,33,31.0,hasta_los_cojones,2023-06-20T06:30:55+00:00,0,10,"#31 se llama cabalgar contradicciones.

Les llega la oportunidad de ser financiados por un interés extranjero que busca desestabilizar el país, ¿Lo aprovechan o no?

Pablo Iglesias, gran politólogo y nada sospechoso de vendepatrias, dice que sí."
lgtbi,https://www.meneame.net/story/primer-gobierno-municipal-pp-vox-cantabria-toma-primera-medida,3825938,38656312,32,27.0,ElPerroSeLlamabaMisTetas,2023-06-20T05:01:20+00:00,0,13,"#27 yo no establezco conexión, contesto a otro usuario con sus mismas palabras a ver si se da cuenta de lo que ha puesto"
lgtbi,https://www.meneame.net/story/primer-gobierno-municipal-pp-vox-cantabria-toma-primera-medida,3825938,38656014,31,30.0,johel,2023-06-19T23:47:16+00:00,0,11,"#30 Los 100 dias son para los democratas, no para los partidos politicos vendepratrias comprados por dinero extranjero contrarios a los intereses del pais que hablan abiertamente de reventar el sistema desde dentro.
Por otro lado a los supremacistas no se les tolera ni un segundo. Si dejas a un nazi que se siente en tu mesa, dejara de ser tu mesa y estaras sentado en la mesa del nazi."
lgtbi,https://www.meneame.net/story/primer-gobierno-municipal-pp-vox-cantabria-toma-primera-medida,3825938,38655876,30,29.0,hasta_los_cojones,2023-06-19T23:01:29+00:00,0,10,"#29 ¿Recuerdas lo de los 100 días?

Acaban de llegar y estás criticando su ""única medida"""
lgtbi,https://www.meneame.net/story/primer-gobierno-municipal-pp-vox-cantabria-toma-primera-medida,3825938,38655721,29,22.0,johel,2023-06-19T22:23:48+00:00,0,11,"#22 A Cain tambien le jodia que su hermano fuese el ojito derecho de dios. Los hipocritas cristianos apostolicos y romanos son los primeros en cometer los pecados originales inventados que tanto dicen recordar.

Me la pela y mucho que este una u otra bandera, pero quitar las banderitas de los demas como unica medida denota esa maravillosa idea de 1933 ""divide, fomenta el odio y venceras"" de la que no solo no hemos aprendido una puta mierda sino que hemos olvidado."
lgtbi,https://www.meneame.net/story/primer-gobierno-municipal-pp-vox-cantabria-toma-primera-medida,3825938,38655179,28,,sauron34_1,2023-06-19T20:56:44+00:00,0,11,Lo que más preocupa a la ciudadanía.
lgtbi,https://www.meneame.net/story/primer-gobierno-municipal-pp-vox-cantabria-toma-primera-medida,3825938,38654916,27,25.0,A_Ramos,2023-06-19T20:17:12+00:00,0,7,#25 Entonces no entiendo la relación que estableces entre gestionar bien y colgar banderas con respecto a gestionar bien y ganar derechos. Creo que son fenómenos no necesariamente conexos.
