tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/cien-personas-comunidad-lgtbi-euskal-herria-denuncian-israel,3874305,39636754,32,28.0,Polarin,2023-11-10T03:03:16+00:00,0,10,"#28 Es que el problema es cual? Cuando a mi me parecio magnifico que se instaurara el matrimonio igualitario, y estoy orgulloso de haber asistido a uno de los primeros, el problema es que no hubo otros cambios economicos. 

Ese es el problema, que nos pensabamos que esos cambios iban a suponer cambios socio-economicos.. y no ... tuvimos una crisis en 2007."
lgtbi,https://www.meneame.net/story/cien-personas-comunidad-lgtbi-euskal-herria-denuncian-israel,3874305,39632103,31,,Findopan,2023-11-09T12:50:01+00:00,0,7,"Ay, pensaba que el contexto era la masacre de Israel en Gaza pero será que está noticia viene con un hilo totalmente distinto."
lgtbi,https://www.meneame.net/story/cien-personas-comunidad-lgtbi-euskal-herria-denuncian-israel,3874305,39632065,30,29.0,Potencialdeshabilitado,2023-11-09T12:45:05+00:00,0,6,"#29 Chocho yo también sé manipular sacando de contexto, mi comentario va en relación a la noticia no con la justificación de un posible bombardeo. Se te ve venir fácil."
lgtbi,https://www.meneame.net/story/cien-personas-comunidad-lgtbi-euskal-herria-denuncian-israel,3874305,39631987,29,6.0,Findopan,2023-11-09T12:37:30+00:00,1,1,"#6 No no, está claro que ahora que lo dices mejor bombardear Cisjordania también."
lgtbi,https://www.meneame.net/story/cien-personas-comunidad-lgtbi-euskal-herria-denuncian-israel,3874305,39631968,28,17.0,Findopan,2023-11-09T12:35:35+00:00,0,7,"#17 Tenemos que elegir, aparentemente, entre la bonanza económica e igualar los derechos entre todos los ciudadanos. Zapatero pudo tomar las decisiones económicas que tomó porque nos soborno legalizando el matrimonio para todos, algo que era simultáneamente irrelevante y tan importante que opacaba los asuntos económicos, que son, por otra parte, la única cosa que afecta verdaderamente a la vida de las personas."
lgtbi,https://www.meneame.net/story/cien-personas-comunidad-lgtbi-euskal-herria-denuncian-israel,3874305,39630046,27,,--679626--,2023-11-09T08:40:45+00:00,0,6,"Tenéis que fijaros en una cosa, en Israel hay al menos dos realidades, los ultraortodoxos, y el resto, el resto media de hijos no llega a 2, los ultra media de hijos 6, éstos últimos solo se dedican a estudiar la Torá, no hacen nada mas, y las mujeres, pues eso, trabajo tienen, viven del estado. En un par de generaciones te cuento como estará el tema, y no digo pasear una pareja LGTB... de la mano, una pareja hetero con su hijo no podrá hacerlo, si no eres de los suyos. A Israel la extingue su propia demografía, Palestina solo debe esperar (si esperas lo suficiente, verás pasar el cadáver de tu enemigo frente a tí)"
lgtbi,https://www.meneame.net/story/cien-personas-comunidad-lgtbi-euskal-herria-denuncian-israel,3874305,39630033,26,24.0,Potencialdeshabilitado,2023-11-09T08:40:00+00:00,0,6,"#24 Toma si quieres te dejo otra noticia en que en vez de asesinado es ejecutado.

https://nosgustas.com/Articulos/7367-hamas-ejecuta-a-un-comandante-por-homosexual.html 

Se nota que eres hetero y ni tan siquiera puede imaginarte lo que implica ser gay en Palestina, en fin."
lgtbi,https://www.meneame.net/story/cien-personas-comunidad-lgtbi-euskal-herria-denuncian-israel,3874305,39629521,25,22.0,manbobi,2023-11-09T07:12:10+00:00,1,23,#22 Hay tanto demócrata de centro que es difícil poner un solo nombre.
lgtbi,https://www.meneame.net/story/cien-personas-comunidad-lgtbi-euskal-herria-denuncian-israel,3874305,39629469,24,6.0,IsraelEstadoGenocida,2023-11-09T07:03:04+00:00,0,9,"#6 Hace unos años mataron a Samuel de una paliza por ser gay. 

¿Eso nos hace homófobos a ti y todos los españoles?"
lgtbi,https://www.meneame.net/story/cien-personas-comunidad-lgtbi-euskal-herria-denuncian-israel,3874305,39629335,23,17.0,lameth,2023-11-09T06:35:51+00:00,0,9,"#17 A ver si lo entiendo: 
Según tu, fue Zapatero casa por casa jodiendo tu ""economía"". Metió mano en el bolso de tu madre, mientras ""permitía"" él que se casasen 2 personas que se quieren, pero que como no eres tu quien se casa no es importante. Pero que tienes amigos gais, y seguro que negros también. Por eso no eres homófobo.
Te explico:
1.- La crisis del 2008 fue global, no se si te acuerdas de ministros de economía del norte de Europa llamando PIGS a Portugal, Italia, Grecia y España. Y los hombres de negro.
2.- La mayoría de personas es capaz, además de que es estrictamente necesario, de hacer varias cosas al mismo tiempo. Imagínate un gobierno, con miles de personas.
3.- Tu teoría es errónea. Es creada por gente que lo que quiere es que no estés en lo importante, si no en cosas que ni te van ni te vienen. En cambio, lo que realmente te importa, es culpa de los gais, por querer casarse, o del gobierno, por avanzar socialmente, y legalizarlo."
lgtbi,https://www.meneame.net/story/cien-personas-comunidad-lgtbi-euskal-herria-denuncian-israel,3874305,39629308,22,2.0,lameth,2023-11-09T06:27:43+00:00,0,9,"#2 No bueno. Es que tienes derecho a matar a alguien porque es homófobo. Su sociedad. Su vecino. Bueno, da igual, su país vecino, que tiene una religión homófoba cuelga a gais y los prohíbe. ¿Qué Polonia hace lo mismo? Pues bien hecho. Haber si en !ESPAÑA¡ (con salivación adicional, por favor) hacemos lo mismo, tanta maricona y tanto ""woke"" va a cambiar nuestro ADN.

P.D No es una exageración, solo tenéis que revisar algún usuario famoso de aquí."
lgtbi,https://www.meneame.net/story/cien-personas-comunidad-lgtbi-euskal-herria-denuncian-israel,3874305,39629184,21,13.0,Potencialdeshabilitado,2023-11-09T05:16:00+00:00,0,6,#13 Tio estamos hablando de los homosexuales. Es imposible hablar contigo.
lgtbi,https://www.meneame.net/story/cien-personas-comunidad-lgtbi-euskal-herria-denuncian-israel,3874305,39629142,20,,Adam22,2023-11-09T04:04:25+00:00,0,7,"1) No se que tiene que ver que el israelita medio tenga bastante mas asumidas las ideas del progresismo occidental moderno que el palestino medio con el conflicto. No se están matando por los derechos LGBT. 

2) Esto es como si un grupo de cayetanos homosexuales dijese que el PSOE no ha hecho mas por los gays que el PP, que todo es mentira para quedar bien. Los hechos son los que son, por mucho que le jodan a alguno el discurso. 

3) El único párrafo que ""intenta"" explicar porque lo de Israel es ""pinkwashing"" es este:

< >

Al parecer, constatar que el islamismo va unido a un rechazo frontal a la ideas progresivas occidentales, como la tolerancia a los colectivos LGBT es racismo e islamofobia, y por si fuera poco, parecen decir que en Palestina no existen los géneros y las orientaciones sexuales, porque esas clasificaciones son cosa que malvados colonialistas. {lol} 

Tienen un nivel de retraso durísimo."
lgtbi,https://www.meneame.net/story/cien-personas-comunidad-lgtbi-euskal-herria-denuncian-israel,3874305,39629077,19,,Polarin,2023-11-09T02:47:20+00:00,0,10,"{hug} 
Ya pero es que el mundo ha cambiado mucho desde los 80-90. Ya no podemos irnos todos a la playa, a jugar a las raquetas en verano, sin que nos importe nada. Conoci a alguien y a su hermana que su padre era de Palestina."
lgtbi,https://www.meneame.net/story/cien-personas-comunidad-lgtbi-euskal-herria-denuncian-israel,3874305,39629071,18,,Polarin,2023-11-09T02:30:11+00:00,0,10,".... conio, no todos, pero hay un cuerpo legal, no? 

Y una tendencia social. Es como ""todos los sevillanos no te van a pegar de ostias si hay una procesion debajo de tu casa el jueves santo a las 2 de la maniana y sales al balcon diciendo que es una puta mierda y que quieres dormir que maniana tienes que trabajar y que si estan todos majaras y que te dejen en paz"", pero yo no lo hara si fuera tu, forastero. Todos, no... pero"
