tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/italia-socorre-mas-mil-inmigrantes-mar,3789955,37967203,13,12.0,--583514--,2023-03-11T09:46:57+00:00,0,19,"#12 ¿Por qué no habláis claro de una puta vez y decís abiertamente que lo que queréis es ver a los ""oscuritos"" muertos? Seguiríais siendo lo mismo pero al menos habría algo más de honestidad en vuestras palabras. Creo que la moral actual es rescatar un barco (un Aquarius), pero matar a palos al resto, sin cámaras. Y para eso nos viene muy bien Turquía, Marruecos, Libia.. Pero eh, en la publicidad institucional, a tope con los oscuritos."
inmigracion,https://www.meneame.net/story/italia-socorre-mas-mil-inmigrantes-mar,3789955,37966913,12,11.0,xpell,2023-03-11T08:54:40+00:00,0,19,"#11 Vamos, lo que yo digo: un problema menor que afectaba a apenas unas decenas de miles de refugiados ---un problema absolutamente menor hípermagnificado por los racistas de allí y de aquí--- mientras el país tiene en realidad un 30% de población inmigrante. La mayor parte, originalmente ilegal.

¿Por qué no habláis claro de una puta vez y decís abiertamente que lo que queréis es ver a los ""oscuritos"" muertos? Seguiríais siendo lo mismo pero al menos habría algo más de honestidad en vuestras palabras."
inmigracion,https://www.meneame.net/story/italia-socorre-mas-mil-inmigrantes-mar,3789955,37966782,11,10.0,--583514--,2023-03-11T08:29:58+00:00,0,19,"#10 Del sistema de puntos supongo que no has oído hablar nunca, etc y sí, los australianos en general son bastante racistas y el votante medio está bastante contento con todas las políticas que supongan menos inmigrantes de ciertas nacionalidades.

 Ejem, conozco gente de MSF, que ha  trabajado en esos proyectos (la caravana de migrantes en México, que hablaban con el Narco y les decían que estaban encantados de que les cuidasen ""la mercancía"", porque eso son los migrantes para ellos). Sí, los de MSF son los de barcos que iban a 10 kilómetros de Libia.

Mueren miles en silencio y no nos importa, sólo cuando hay alguna foto como la del niño turco. Mientras, seguimos externalizando la labor de maltratar, pegar, robar, etc.

Noticia fresquita, pagamos a los libios para que sigan ""gestionando"" el problemilla a su manera. Y esto lo hace el gobierno de Meloni y el gobierno más progresista de la historia de España en su frontera con Melilla. No hacerlo, simplemente da más votos a VOX.

https://euobserver.com/migration/156683 ""The EU commission gave the Libyan Coast Guard the first of five new EU-funded patrol boats to help prevent migrants and asylum seekers from fleeing to Europe.

The handover on Monday (6 February) in Italy by EU commissioner Oliver Varhelyi to Libya's minister of foreign affairs comes just days ahead of an EU summit on migration.


A Libyan patrol boat which had chased a boat of migrants into Malta's search-and-rescue zone (Photo: Nikolaj Nielsen)
""Today's delivery of the search and rescue vessel for the Libyan Coast Guard is a milestone in our fight against illegal migration,"" said Varhelyi.

The boats have been billed as a life-saving exercise by the EU, despite knowing many of those returned to Libya face persecution, rape, torture and enslavement."" They were procured under a border management budget from the EU's emergency trust fund for Africa.

It also comes after Italy's rightwing government renewed a deal to provide Libya with more funds and equipment to intercept people fleeing the country by sea.

The European Commission says its Libya policies adheres to the ""do no harm principle"". But it will not provide evidence, and refuses to name the outside contractor it hired to carry out the assessments."
inmigracion,https://www.meneame.net/story/italia-socorre-mas-mil-inmigrantes-mar,3789955,37966728,10,9.0,xpell,2023-03-11T08:17:27+00:00,0,19,"#9 ¿Te refieres a esa Australia donde el 30% de la población es inmigrante (7,7 de 25 millones), llegada normalmente de manera ilegal por vía aérea con un visado de turista y quedándose después, sólo superada por un puñado de micronaciones y esas tiranías del golfo Pérsico donde la mayoría de la población es inmigrante...?

https://en.wikipedia.org/wiki/Immigration_to_Australia#Country_of_birth_of_Australian_residents
https://en.wikipedia.org/wiki/List_of_sovereign_states_and_dependent_territories_by_immigrant_population

¿...pero donde un gobierno racista pudo dar gusto a sus racistas votantes poniéndose chuloputas con un problema prácticamente inexistente de ""gente de barcos"" (coloreadita, eso sí) que se habría resuelto por sí solo igual que ocurrió con el pico anterior que aparece en el artículo que citas y que has ignorado convenientemente? 

https://en.wikipedia.org/wiki/Asylum_in_Australia#Statistics

Sí, a esa Australia te refieres y de la que obviamente no tienes ni puta idea más que lo que te ha contado la misma derechusma racista de aquí en sus panfletos para catetos e ignorantes con severos déficits neuronales. Ya mueren miles. ¿O pensabas que sino salen los cadáveres en las playas no se ahogan? Varios miles desaparecen cada año en en el Mediterráneo. Pues con tu ""método"", morirían aún muchos más y todo se volvería muchísimo más violento, como en la frontera sur de EEUU. Porque el problema en el Mediterráneo no tiene nada que ver con los ocasionalísimos picos aislados de unas decenas de miles de refugiados puntuales en los mares australianos sino que afecta de manera permanente a cientos de millones personas, decenas de naciones y es extremadamente más complejo. Pero yo ya sé que eso de las complejidades y los matices no se os da muy bien, ya. Mejor todos muertos y que no molesten, ¿verdad?, pero luego que vengan a trabajar por cuatro perras cuando se les necesita, eso sí, y después se piren como perros sin ningún derecho. Típicamente derechista."
inmigracion,https://www.meneame.net/story/italia-socorre-mas-mil-inmigrantes-mar,3789955,37966378,9,7.0,--583514--,2023-03-11T07:05:35+00:00,0,19,"#7 Ya mueren miles. ¿O pensabas que sino salen los cadáveres en las playas no se ahogan?

Varios miles desaparecen cada año en en el Mediterráneo.

Entre 1.000 y 5.000 mil cada año. 

https://www.epdata.es/datos/inmigrantes-muertos-desaparecidos-mediterraneo-camino-europa/85


He mirado que pasa en Australia, donde dejaron claro que todo el que llegue en barco ilegalmente, jamás va a  tener asilo. 

https://en.m.wikipedia.org/wiki/Asylum_in_Australia

""The rate of arrivals by boat, the most controversial aspect of Australia's refugee policy, has been exceptionally volatile. It reached a peak of 20,587 people in 2013 (excluding crew), before falling again to zero two years later""."
inmigracion,https://www.meneame.net/story/italia-socorre-mas-mil-inmigrantes-mar,3789955,37965983,8,3.0,--596452--,2023-03-11T00:19:31+00:00,0,6,"#3 No, las remolcas hasta Libia, y desde ahí que enfilen para sus casas."
inmigracion,https://www.meneame.net/story/italia-socorre-mas-mil-inmigrantes-mar,3789955,37965921,7,6.0,xpell,2023-03-10T23:58:21+00:00,2,38,"#6 Bien, pues tu pregunta retórica resultó no ser tan retórica. Provocarías la muerte de una montaña de gente mientras los traficantes encuentran nuevas rutas, exactamente como ocurre en la frontera mexicana de EEUU, y en un año o así lo tendrías todo aún peor, mucho más violento, ensangrentado y brutal. Igual que allí.

¿Tú crees que a la gente que corre todos esos inmensos peligros para llegar hasta la costa libia (o el muro estadounidense) los vas a parar en el tramo final? ¿Cómo, ametrallándolos? El mundo no funciona como al fascismo trumpista le gustaría."
inmigracion,https://www.meneame.net/story/italia-socorre-mas-mil-inmigrantes-mar,3789955,37965850,6,5.0,--583514--,2023-03-10T23:30:42+00:00,0,19,"#5 Uhmm, era una pregunta retórica. Caerían drásticamente las llegadas.

https://www.reuters.com/article/inmigracion-europa-ong-idLTAKCN1AT0M1-OUSLT


Menos de una quinta parte depues de 2017:



2021 59,702
2020 34,134
2019 11,471
2018 23,037
2017 117,153
2016 181,436
2015 153,842
2014 170,100
https://www.statista.com/statistics/623514/migrant-arrivals-to-italy/"
inmigracion,https://www.meneame.net/story/italia-socorre-mas-mil-inmigrantes-mar,3789955,37965742,5,1.0,xpell,2023-03-10T23:00:29+00:00,0,19,#1 Que se ahogarían varios miles de personas en el mar mientras encuentran otras vías de pasarlos. No se le pueden poner puertas ni a la esperanza ni a la desesperación.
inmigracion,https://www.meneame.net/story/italia-socorre-mas-mil-inmigrantes-mar,3789955,37965728,4,1.0,PedoCósmico,2023-03-10T22:58:16+00:00,1,25,"#1 Te digo lo que pasaría: seguirían intentándolo, pero con menos garantías aún. Es lo que tiene huir de situaciones terribles."
