tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26894993,34,33.0,CerdoJusticiero,2019-04-29T11:38:27+00:00,0,6,"#33 Usaría una hipérbole como por ejemplo ""Pepito se parte la espalda por 4 duros"", pero no diría que algo que presuntamente ocurre ""frecuentemente"" ocurre ""siempre""."
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26894150,33,32.0,Sulfolobus_Solfataricus,2019-04-29T10:12:43+00:00,0,11,"#32 Yo dije que ""siempre"", no ""nunca"", pero vale. Tú jamás usarías una hipérbole para comentar una tendencia real.
Ponte la medallita por tu búsqueda en Google."
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26893139,32,30.0,CerdoJusticiero,2019-04-29T08:21:16+00:00,0,6,"#30 Claro, claro. Cuando dijiste que estas noticias nunca partían de apoderados y que por algo sería querías decir que en el fondo da igual si provienen o no de apoderados y que no son creíbles nunca porque...

...mmm...

...estooo...

...porque no, joder.

Los que se tragan cualquier mierda acríticamente son siempre los demás, por supuesto, pero que tú te contradigas a ti mismo evidencia que eres un agudo librepensador.

Gracias por tanto."
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26892645,31,,Cancerbero,2019-04-29T07:15:35+00:00,0,7,Putos jipiosos de izquierdas que roban votos... Oh... Wait...
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26892467,30,22.0,Sulfolobus_Solfataricus,2019-04-29T06:51:30+00:00,0,11,"#22 Eso no hace más verosímil o interesante esta ""noticia"" de Cambados. Por supuesto que habrá denuncias de todo, pero que haya llegado esta a portada básicamente indica que Menéame se come lo que le sirvan."
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26892041,29,,polvos.magicos,2019-04-29T04:59:16+00:00,0,10,Así gana el PP.
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26891270,28,5.0,neo1999,2019-04-28T22:24:14+00:00,1,19,"#5 Creo que ahora se dice ""constitucionalistas"""
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26890748,27,23.0,luiggi,2019-04-28T21:27:22+00:00,2,24,"#23 ya van 30 ... Por suerte la ultraderecha está muy lejos de gobernar, los españoles nunca le van a dar la mayoría a un partido percibido muy lejos del centro, pero pudo llegar a influir en un gobierno de derechas, ya de por sí un bloque muy pro-privilegios, para aumentar mas la desigualdad.
Un 10% de ciudadanos de ideología radical me parecen peligrosos, y más que son muy activos y hacen mucho ruido. Hasta ahora temían el desprecio, ahora no se esconden. Hay que volver a desenmascararles, que vuelvan a tener vergüenza de admitir su machismo, xenofobia, elitismo o prejuicios. 
Su actividad últimamente me sorprendió incluso en Menéame, defendiendo a los verdugos y denigrando a las víctimas. Parecían ser media comunidad de Menéame. Son un 10% pero si no se les enfrenta generarán odio y esto puede acabar como esa guerra que defienden. Imponiendo su verdad por las armas. No será la primera vez."
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26890672,26,25.0,luiggi,2019-04-28T21:17:21+00:00,0,10,"#25 Es que poner a un tipo de candidato en pleno escándalo de haber obtenido regalada la carrera y un máster, le da igual a los viejitos conservadores, pero la gente joven, en su mayoría universitarios sin privilegios, parece que no, pero le toca los huevos eso, y se inclinaron por otro partido de derechas."
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26890252,25,,--489332--,2019-04-28T20:30:19+00:00,0,6,Pues a pesar de curas y monjas ¡VAYA HOSTIA!
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26889887,24,13.0,--570893--,2019-04-28T19:36:09+00:00,0,8,"#13 No se si seran las monjas solamente, pero yo recuerdo perfectamente hace algo mas de 30 años al director del instituto de FP donde cursaba estudios, llevarnos a todos sus alumnos en autobus al otro centro donde se votaba por un cargo que ""tenia"" ejercer el. 

Y vamos ten bien claro que sabia quien habia votado y a quien. 

Si eso se hacia ya en los institutos, puedes imaginarte la cultura democratica que existia, o existe."
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26889849,23,11.0,santim123,2019-04-28T19:29:39+00:00,1,21,#11 ahora 20 y pico. Ya terminaron la misa de 9 o algo.
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26889765,22,21.0,CerdoJusticiero,2019-04-28T19:09:50+00:00,2,22,"#21 Mira, interventores denunciando:

https://www.elconfidencial.com/amp/elecciones-generales/2019-04-28/elecciones-generales-robo-votos-ancianas-pp-bilbao_1969942/

Un abrazo, fiera."
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26889749,21,,Sulfolobus_Solfataricus,2019-04-28T19:04:25+00:00,2,22,"Estas denuncias que se envían siempre son en forma de fotos de gente que pasa por el colegio y no de los interventores de los partidos. Por algo será.
El año en que los residentes se tengan que pagar un taxi tendremos envíos sobre lo crueles que son las monjitas con los pobres ancianos, negándoles ayuda, abandonando a la gente a su cargo."
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26889728,20,4.0,--603370--,2019-04-28T18:58:23+00:00,0,7,#4 es su propio cielo particular en la Tierra
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26889715,19,1.0,box3d,2019-04-28T18:55:22+00:00,0,8,#1 Jalisia Calidade {lol}
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26889705,18,,--474877--,2019-04-28T18:52:52+00:00,0,8,"Pobres abuelitos, al saber cómo están con estas espabiladas."
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26889703,17,,--603390--,2019-04-28T18:52:32+00:00,0,7,El voto milenial sí que es chungo
inmigracion,https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,3119707,26889675,16,,Mierdapati,2019-04-28T18:48:33+00:00,0,5,Paredón
