tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/invertidos-paso-frente-historia-guerra-contra-homosexuales,3827272,38682411,10,9.0,jobar,2023-06-23T10:06:20+00:00,1,21,"#9 Igualmente, si tienes dudas elige siempre las tijeras de punta roma."
lgtbi,https://www.meneame.net/story/invertidos-paso-frente-historia-guerra-contra-homosexuales,3827272,38682385,9,8.0,--677377--,2023-06-23T10:04:24+00:00,1,19,#8 que pases un buen dia
lgtbi,https://www.meneame.net/story/invertidos-paso-frente-historia-guerra-contra-homosexuales,3827272,38681295,8,7.0,jobar,2023-06-23T08:09:48+00:00,1,21,#7 Eso dependerá de si consideras a los cubanos como tal ¿no? {troll} si no te hubieras dado por aludido o te hubieras metido a enmierdar
lgtbi,https://www.meneame.net/story/invertidos-paso-frente-historia-guerra-contra-homosexuales,3827272,38681196,7,6.0,--677377--,2023-06-23T07:55:05+00:00,1,19,"#6 me llamas homófobo, galán? Pues nada, reportadito."
lgtbi,https://www.meneame.net/story/invertidos-paso-frente-historia-guerra-contra-homosexuales,3827272,38680826,6,5.0,jobar,2023-06-23T07:07:14+00:00,4,48,"#5 Y en tu casa hay 100 veces más homofobia que en Cuba, y eres español, puestos a inventarnos cifras."
lgtbi,https://www.meneame.net/story/invertidos-paso-frente-historia-guerra-contra-homosexuales,3827272,38680810,5,4.0,--677377--,2023-06-23T07:04:46+00:00,0,9,#4 en cuba hay 100 veces más homofobia que en España.
lgtbi,https://www.meneame.net/story/invertidos-paso-frente-historia-guerra-contra-homosexuales,3827272,38680662,4,3.0,jobar,2023-06-23T06:42:09+00:00,0,11,"#3 En Cuba se despenalizó la homosexualidad solo un año después que en España, y ni siquiera se tuvo que morir el dictador para eso."
lgtbi,https://www.meneame.net/story/invertidos-paso-frente-historia-guerra-contra-homosexuales,3827272,38680594,3,,--677377--,2023-06-23T06:30:47+00:00,0,9,En Cuba tienen la ley de peligrosidad social predelictiva.
lgtbi,https://www.meneame.net/story/invertidos-paso-frente-historia-guerra-contra-homosexuales,3827272,38680367,2,,ur_quan_master,2023-06-23T05:50:03+00:00,0,12,Mucha lucha interna veo yo ahí.
lgtbi,https://www.meneame.net/story/invertidos-paso-frente-historia-guerra-contra-homosexuales,3827272,38680277,1,,tiopio,2023-06-23T05:24:57+00:00,1,31,Ahora quieren revertir la situación.
