tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/abdul-invierte-campo-espanol-como-migrantes-estan-salvando-final,3769499,37591168,91,90.0,--731452--,2023-01-17T13:54:08+00:00,0,9,"#90 Gracias.
Ya sé que tienes otra idea de ti mismo."
inmigracion,https://www.meneame.net/story/abdul-invierte-campo-espanol-como-migrantes-estan-salvando-final,3769499,37586599,90,89.0,powernergia,2023-01-16T22:20:01+00:00,0,12,#89 Pues si que andas bien de entendederas.
inmigracion,https://www.meneame.net/story/abdul-invierte-campo-espanol-como-migrantes-estan-salvando-final,3769499,37586475,89,12.0,--731452--,2023-01-16T21:58:51+00:00,0,9,"#12 Tus mensajes suenan como los ""esclavistas buenos"" del pasado: si los negros no se pueden valer por si mismos que no quiso dios eso, si es natural que les demos comida y trabajo, si yo los trato bien que les doyu pocos latigazos, si vaya con esos que no quieren esclavos porque los dejan sin su medio de vida...

Tú no lo notarás, pero suenas así.

Da la impresión de que dices ""los inmigrantes son muy buenos proque vienen a ser casi como esclavos y es la mejor vida posible para ellos""."
inmigracion,https://www.meneame.net/story/abdul-invierte-campo-espanol-como-migrantes-estan-salvando-final,3769499,37586464,88,86.0,--731452--,2023-01-16T21:56:44+00:00,0,9,"#86 Estos mensajes son tan de conversación de niño que ya no sé si serás una IA o si simplemente te parece normal marear por marear.
No voy a seguir hablando contigo, lo siento. Te bloqueo.
P.S.: no votaste negativo, simplemente te aviso."
inmigracion,https://www.meneame.net/story/abdul-invierte-campo-espanol-como-migrantes-estan-salvando-final,3769499,37579525,87,,EBMer,2023-01-16T04:35:46+00:00,0,6,Vienen a robarnos nuestras ovejas...
inmigracion,https://www.meneame.net/story/abdul-invierte-campo-espanol-como-migrantes-estan-salvando-final,3769499,37579232,86,85.0,--665266--,2023-01-15T23:27:11+00:00,0,20,"#85 ¿Tienes algo para poder interpretar los argumentos?
Porque después de leerte... creo que no.
Te devuelvo tu negativo sin venir a cuento. Si quieres puedes seguir... Tú verás."
inmigracion,https://www.meneame.net/story/abdul-invierte-campo-espanol-como-migrantes-estan-salvando-final,3769499,37579096,85,83.0,--731452--,2023-01-15T22:55:35+00:00,0,8,#83 ¿ Tienes algún argumento y tienes algo que decir o pones comentarios sin sentido ?
inmigracion,https://www.meneame.net/story/abdul-invierte-campo-espanol-como-migrantes-estan-salvando-final,3769499,37578954,84,41.0,encurtido,2023-01-15T22:17:50+00:00,0,7,"#41 Mi familia paterna es ganadera. Se ha optado por mantener pastoreo tradicional con negocios en plan 50 ovejas, que obviamente jamás serán competitivas (no están capitalizadas) y marchan a base de subvenciones.

Es como si en vez de dejar que se montaran fábricas de zapatos, se subvencionaran los pequeños talleres artesanos."
inmigracion,https://www.meneame.net/story/abdul-invierte-campo-espanol-como-migrantes-estan-salvando-final,3769499,37578722,83,81.0,--665266--,2023-01-15T21:35:11+00:00,1,12,"#81 Cáritas te habla:
http://menea.me/28smd
""Tres de cada diez hogares en España (el 31,5%, unas seis millones de familias) no cuentan con un presupuesto que garantice unas condiciones de vida dignas, según el informe 'El coste de la vida y estrategias familiares para abordarlo', de Cáritas Española, que analiza la situación de las familias en medio de la crisis inflacionaria.

El estudio, presentado este jueves, revela que estos 6 millones de familias en España viven con ingresos inferiores al 85% de su presupuesto de referencia. Ese porcentaje es superior a la tasa de pobreza relativa (20,7%) y a la tasa AROPE (25,3%), calculadas por el INE para el año 2019."""
inmigracion,https://www.meneame.net/story/abdul-invierte-campo-espanol-como-migrantes-estan-salvando-final,3769499,37578636,82,76.0,--596452--,2023-01-15T21:20:54+00:00,0,8,#76 No me vale para los exagerados desfases.
inmigracion,https://www.meneame.net/story/abdul-invierte-campo-espanol-como-migrantes-estan-salvando-final,3769499,37578602,81,80.0,--731452--,2023-01-15T21:14:41+00:00,0,8,"#80  ¿ Te avisaron a ti antes de nacer que te espera un mundo de pobreza, donde no podrás desarrolllarte como persona con bastante probabilidad, cuando estabas en un sitio donde sí era posible tener vivienda, familia, etc ?
África tiene muchos más nacimientos que España."
inmigracion,https://www.meneame.net/story/abdul-invierte-campo-espanol-como-migrantes-estan-salvando-final,3769499,37578580,80,63.0,--665266--,2023-01-15T21:10:12+00:00,0,20,"#63 Entonces, tu afirmación de que vinieron engañados sería también aplicable a muchos otros... ¿No será que en general venimos todos engañados a este mundo?"
inmigracion,https://www.meneame.net/story/abdul-invierte-campo-espanol-como-migrantes-estan-salvando-final,3769499,37578565,79,78.0,--665266--,2023-01-15T21:08:32+00:00,0,20,"#78 Estoy de acuerdo contigo. No te discuto eso. Ahora bien, una vez que dejas de emigrar (y eso siempre va a ser en primera persona), cuando paras y te asientas en un sitio, en algún momento dejarás de ser un inmigrante para los habitantes de ese sitio, y para tus compatriotas, y para ti mismo, dejarás de ser un emigrante. Llevo 16 años viviendo en Madrid, desde otra ciudad a unos 200 km. Así que pienso que en algún momento dejaré de ser un emigrante. ¿No? Supongo que cuando deje de pensar en volver...
Sniff"
