tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/victoria-villarruel-ariete-milei-reivindica-dictadura-opone-gay,3856262,39295756,11,,--137668--,2023-09-18T19:34:20+00:00,0,6,"""En el mundo no se hace discriminación entre víctimas"".

Qué locura, a partir del minuto 03:35 parece que estuviera reclamando una Ley de Memoria Histórica. Pero oyes, ¡Viva Lo Pais! {wall} 

https://youtu.be/gbm-PCc2Iz4?feature=shared"
lgtbi,https://www.meneame.net/story/victoria-villarruel-ariete-milei-reivindica-dictadura-opone-gay,3856262,39293256,10,,manbobi,2023-09-18T13:09:57+00:00,1,18,"Reivindica la dictadura pero para ser de las ejecutoras. Habría que ver si le gustaría ser violada y torturada. 
Es como los ""ciudadanos del mundo"", del rico, claro.

Una hija de la gran puta, vaya."
lgtbi,https://www.meneame.net/story/victoria-villarruel-ariete-milei-reivindica-dictadura-opone-gay,3856262,39293207,9,,JoseLuis80,2023-09-18T13:02:17+00:00,4,33,"Ah si, las bodas gays. Ese fenómeno que ha hecho daño literalmente a cero personas y que es una amenaza para la libertad de cero personas.
Muy importante acabar con ellas. {shit}"
lgtbi,https://www.meneame.net/story/victoria-villarruel-ariete-milei-reivindica-dictadura-opone-gay,3856262,39293206,8,6.0,Pasoto,2023-09-18T13:01:52+00:00,2,27,"#6 y al paso que van las van a vivir.
Argentina está hecha una mierda. Una dictadura no les va a solucionar nada pero muchos la piden a gritos. 
Si ya lo decía el Fari “ Deja a los chavalotes, déjalos que caminen como ellos camelen; si los chavales camelan pegándole un poco a la lejía, o camelan pegándole a la mandanga, ¡Pues déjalos!"""
lgtbi,https://www.meneame.net/story/victoria-villarruel-ariete-milei-reivindica-dictadura-opone-gay,3856262,39293139,7,,--136355--,2023-09-18T12:52:10+00:00,1,16,"Poco de liberal tiene, pues"
lgtbi,https://www.meneame.net/story/victoria-villarruel-ariete-milei-reivindica-dictadura-opone-gay,3856262,39293128,6,,Milmariposas,2023-09-18T12:50:55+00:00,1,15,"Estos millenials que no han vivido una dictadura de verdad y que romantizan esas etapas, los ponía yo a vivirlas de verdad..."
lgtbi,https://www.meneame.net/story/victoria-villarruel-ariete-milei-reivindica-dictadura-opone-gay,3856262,39293109,5,,Yuiop,2023-09-18T12:48:32+00:00,0,7,Los argentinos ya tienen a su propio Abascal; necesitaban a su Rocío Monasterio.
lgtbi,https://www.meneame.net/story/victoria-villarruel-ariete-milei-reivindica-dictadura-opone-gay,3856262,39293106,4,1.0,HernanArg,2023-09-18T12:48:06+00:00,1,14,#1 Libertad de organizar visitas a la casa de genocidas...
lgtbi,https://www.meneame.net/story/victoria-villarruel-ariete-milei-reivindica-dictadura-opone-gay,3856262,39293079,3,,pepel,2023-09-18T12:44:06+00:00,2,47,https://www.meneame.net/story/quien-victoria-villarruel-abanderada-familia-militar-secunda
lgtbi,https://www.meneame.net/story/victoria-villarruel-ariete-milei-reivindica-dictadura-opone-gay,3856262,39293075,2,,cenutrios_unidos,2023-09-18T12:43:23+00:00,1,15,Cómo lo van a gozar...
lgtbi,https://www.meneame.net/story/victoria-villarruel-ariete-milei-reivindica-dictadura-opone-gay,3856262,39293065,1,,--757690--,2023-09-18T12:42:22+00:00,2,25,¡¡LIBERTAD!!
