tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/refugiados-sirios-tragedia-guerra-amenaza-desahucio,3184182,27826948,15,12.0,posvale,2019-09-17T22:05:55+00:00,0,6,#12 pena
inmigracion,https://www.meneame.net/story/refugiados-sirios-tragedia-guerra-amenaza-desahucio,3184182,27823547,14,7.0,--394145--,2019-09-17T13:55:22+00:00,0,12,#7 Tuvieron mala suerte con la ciudad o más bien el país que les tocó...
inmigracion,https://www.meneame.net/story/refugiados-sirios-tragedia-guerra-amenaza-desahucio,3184182,27823533,13,8.0,--394145--,2019-09-17T13:53:35+00:00,0,12,#8 Si a cada uno habría que darle lo que predica...
inmigracion,https://www.meneame.net/story/refugiados-sirios-tragedia-guerra-amenaza-desahucio,3184182,27823350,12,4.0,feifur,2019-09-17T13:35:00+00:00,0,6,#4 asco
inmigracion,https://www.meneame.net/story/refugiados-sirios-tragedia-guerra-amenaza-desahucio,3184182,27822749,11,,--602105--,2019-09-17T12:18:44+00:00,0,7,"900€, casi el doble de la pensión de mi madre"
inmigracion,https://www.meneame.net/story/refugiados-sirios-tragedia-guerra-amenaza-desahucio,3184182,27822728,10,6.0,--615147--,2019-09-17T12:16:09+00:00,1,0,"#6 Pues yo estoy convencido de que si no nuestra generación, a la siguiente le tocará vivir una bien grande..."
inmigracion,https://www.meneame.net/story/refugiados-sirios-tragedia-guerra-amenaza-desahucio,3184182,27822554,9,3.0,Pedro_Bear,2019-09-17T11:53:18+00:00,1,20,"#3 son refugiados con 70 años de edad que perdieron a su familia e hijos, todo, llevan dos años aquí, y además tienen dificultades con la lengua. Un poco de empatía por favor."
inmigracion,https://www.meneame.net/story/refugiados-sirios-tragedia-guerra-amenaza-desahucio,3184182,27822493,8,5.0,--620229--,2019-09-17T11:45:40+00:00,0,7,#5 Ojalá no me toque una desgracia y haya gente como tú repartiendo las ayudas
inmigracion,https://www.meneame.net/story/refugiados-sirios-tragedia-guerra-amenaza-desahucio,3184182,27822396,7,5.0,--349080--,2019-09-17T11:35:16+00:00,0,7,#5 Segun las declaraciones ellos prefieren la guerra a no tener dinero.
inmigracion,https://www.meneame.net/story/refugiados-sirios-tragedia-guerra-amenaza-desahucio,3184182,27822218,6,5.0,--424445--,2019-09-17T11:17:33+00:00,1,30,"#5 Déjalo en ""Ojalá no nos toque vivir ninguna guerra""."
inmigracion,https://www.meneame.net/story/refugiados-sirios-tragedia-guerra-amenaza-desahucio,3184182,27822135,5,3.0,--394145--,2019-09-17T11:08:34+00:00,0,12,#3 #4 Ojalá no nos toque vivir ninguna guerra y tener que recurrir a gente como vosotros...
inmigracion,https://www.meneame.net/story/refugiados-sirios-tragedia-guerra-amenaza-desahucio,3184182,27822094,4,,posvale,2019-09-17T11:03:34+00:00,4,9,"«Si yo hubiera sabido que iba a pasar esto, me quedo en Siria con la guerra. Habría sido más fácil»

...y ese es el mensaje importante que deben transmitir a todos sus conocidos Sirios. No vayan a pensar que en alguna parte alguien va a pagarles vivienda, comida, sanidad, caprichos y vacaciones pagadas a Siria todos los años. 

Un sirio en guerra debe elegir entre quedarse sin nada en una Siria en guerra, o trasladarse para vivir SIN NADA a otro lugar SIN GUERRA y tener la oportunidad de vivir de la caridad o buscarse la vida. No puede pretenderse vivir eternamente y gratis como clase media sólo por una historia triste como la de millones y millones de personas."
inmigracion,https://www.meneame.net/story/refugiados-sirios-tragedia-guerra-amenaza-desahucio,3184182,27822063,3,,--620229--,2019-09-17T11:00:56+00:00,6,38,"Anda que no hay gente aquí a la que le vendrían de perlas esos 900€ mensuales... Parados de larga duración, enfermos, minusválidos.."
inmigracion,https://www.meneame.net/story/refugiados-sirios-tragedia-guerra-amenaza-desahucio,3184182,27822048,2,,--33563--,2019-09-17T10:58:49+00:00,1,20,"«Si yo hubiera sabido que iba a pasar esto, me quedo en Siria con la guerra. Habría sido más fácil»."
inmigracion,https://www.meneame.net/story/refugiados-sirios-tragedia-guerra-amenaza-desahucio,3184182,27822034,1,,--394145--,2019-09-17T10:57:28+00:00,0,12,En cambio hay mucha gente adinerada en España que vive muy bien a costa de los demas...
