tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39905612,100,59.0,Gavela,2023-12-23T01:22:47+00:00,0,6,#59 muchas reivindicaciones sociales y políticas.
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39900446,99,,JotaMayuscula,2023-12-22T07:16:04+00:00,0,7,{kiss} {kiss}
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39899053,98,91.0,--762354--,2023-12-21T19:59:27+00:00,1,1,"#91 ¿Estrategia? ¿Es que esto es una partida de ajedrez? Yo estaba haciendo comentarios en Internet y tú has venido a trolear. ¿Tengo que tener una estrategia? Anda, piérdete."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39898894,97,52.0,juanitro,2023-12-21T19:18:11+00:00,0,9,#52 la puerta de salida es grande.
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39898494,96,95.0,MJDeLarra,2023-12-21T18:04:59+00:00,0,10,#95 Pues tienes razon.
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39898244,95,90.0,triste_realidad,2023-12-21T17:16:31+00:00,1,16,"#90 Ha dicho cuando se sientan 10 personas y 1 (de ellos) es fascista, son 10 fascistas.
""Porque cuando se sientan 10 personas y 1 es fascista, y no le pegan de hostias y se les permite todo, entonces son 10 fascistas los que hay sentados"".
Si son 10 personas en total no pude haber 11 fascistas."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39897676,94,66.0,eixerit_yo,2023-12-21T15:34:07+00:00,0,7,#66 {wink}
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39897515,93,,Socavador,2023-12-21T15:06:00+00:00,0,12,"El concejal de Vox encantado, más sobres para su buchaca y unos perroflautas menos haciendo el indio en su ayuntamiento."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39897452,92,8.0,flikin,2023-12-21T14:57:14+00:00,0,6,"#8 A mi me parece un error renunciar a un dinero que te pertenece, eso solo les hace mas felices a los fachas y les da alas para seguir haciendo mierda. 
Hay que pedirlo, ser ultrapesados, ser lo peor, estar todo el rato dando la kk. Que les pese. Estar hasta en la sopa, es tu derecho y es tu dinero.

Eso si seria echarle huevos"
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39897280,91,87.0,JotaMayuscula,2023-12-21T14:29:50+00:00,1,-1,"#87 Ya está! Has tardado tres comentarios en decirlo. Jajaja. Sois cortaypegas. Has detectado otro fascista! Para eso te preparaste todos estos años! Jajaja.

Merezco que me peguen entonces? Ésa es tu estrategia? Llamar fascista y luego insultar y agredir?

Sinceramente, creo que el fascista eres tú."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39897237,90,62.0,MJDeLarra,2023-12-21T14:22:14+00:00,0,10,"#62 En total 11 fascistas, eso es lo que puede que quisiera decir, pero lo que ha dicho es otra cosa. Ha dicho que el fascista deja de ser fascista, o sea, le ha blanqueado."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39897195,89,33.0,mono,2023-12-21T14:16:52+00:00,0,11,"#33 Precisamente, estoy viendo un artículo relacionado con lo que dices:

https://www.infobae.com/espana/2023/12/21/lo-que-cuesta-una-mayoria-absoluta-ayuso-gasto-182000-euros-cada-dia-en-campana-tras-pedir-un-prestamo-de-dos-millones/

Y VOX (en Madrid) es el que menos se gastó, casi 3 veces menos que Podemos y 10 menos que el PP. 

No tengo los datos de otras regiones, pero entendo que no son los gastones por excelencia"
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39896858,88,1.0,alfpeen,2023-12-21T13:22:36+00:00,0,7,"#1 esperemos que ese partidillo no se lo gaste en toros para potenciar matanzas, sangre y armas."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39896827,87,86.0,--762354--,2023-12-21T13:16:59+00:00,0,8,"#86 Ojalá. No caerá esa breva. Los fascistas seguís paseándoos tan tranquilos y soltando vuestras mierdas con impunidad. Y no me vengas con que no eres fascista, porque si no no estarías discutiendo. Vamos, que a ti también te falta un hervor, dos veranos y un gulag."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39896406,86,83.0,JotaMayuscula,2023-12-21T12:15:59+00:00,0,7,"#83 Un poco violente eres, admítelo"
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39896389,85,26.0,zrspa,2023-12-21T12:13:44+00:00,0,7,#26 El que no vota como tú es inculto entonces?
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39896080,84,82.0,Toponotomalasuerte,2023-12-21T11:33:52+00:00,0,9,"#82 muchos no saben cómo funciona la vida.
Las subvenciones a empresas son el día a día de los presupuestos y nadie duda de ellas.
Estás pagando el 40% de la deuda en subvencionar a la banca y a blackrock.
Pero los parguelas solo miran al dedo que señala."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39896079,83,78.0,--762354--,2023-12-21T11:33:30+00:00,0,8,"#78 Deja de proyectar.
Tiene cojones llamar ""el diferente"" al fascista."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39896048,82,69.0,CharlesBrowson,2023-12-21T11:30:59+00:00,0,7,"#69 pues tambien, pero aqui son todos muy ñiñiñi y es la tecnica de quedarse ciego para dejar al oponente tuerto, al igual que el festival se va a celebrar seguramente los toros no aguantarian, pero es mejor romperse la camisa llorar quejarse y seguir igual."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39895872,81,,carlosuyate,2023-12-21T11:10:57+00:00,0,6,¡Viva la Libertad de Expresión! (siempre que expreses lo que yo te diga y nada  más que lo que yo te diga)
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39895860,80,13.0,ParaLoQueHayQueVer,2023-12-21T11:09:42+00:00,0,6,"#13 Entre quitarme una subvención o un tiro en la nuca, no sé con cuál quedarme, la verdad. Vaya falsa dicotomía más chustera te has marcado."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39895756,79,,zrspa,2023-12-21T10:58:12+00:00,0,7,Pues como debería ser. ¿Por qué hemos de financiar todos festivales y otros negocios? Que se financien solos. En resumen: buena noticia.
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39895524,78,43.0,JotaMayuscula,2023-12-21T10:36:13+00:00,0,7,#43 Tener razón y pegar al diferente también no?
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39895347,77,70.0,--712564--,2023-12-21T10:18:31+00:00,0,7,"#70 Coloquialmente, o según el diccionario, puedes meter casi cualquier palabra, pero en general hay muchas palabra que tienen usos muy específicos. Eso se nota mucho cuando aprendes otro idioma, hay sinonimos que no siempre son intercambiables. Y en español me recuerda a como parar y detener tienen connotaciones muy diferentes.

En este caso, me parece poco acertado ""rechazar""..."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39895294,76,12.0,pUrpOsE_uNdErGrOuNd,2023-12-21T10:12:45+00:00,1,9,#12 Respeta o a la cuneta
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39895228,75,52.0,ingenierodepalillos,2023-12-21T10:05:40+00:00,1,19,#52 A Menéame se viene llorado de casa.
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39895197,74,56.0,--762354--,2023-12-21T10:01:14+00:00,0,8,"#56 Aprende a citar, hombre. Mi comentario es el 21, no el 17.

A los fascistas, esos que matan gente o la encierran según les viene en gana porque se creen los amos de la ley y la justicia, hay que darles de hostias.
¡Claramente!
Se llama autodefensa. No es ni ultra ni violento (¿mola que te discutan los términos? a mí me suena a lo de cuando una agresión sexual no es una agresión sexual porque patatas).
O también pueden dejar de ser fascistas y todos contentos.

Aturuleto, aturuleto..."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39895128,73,,Charlie_Chemist,2023-12-21T09:52:01+00:00,0,6,"Si señor, eso se llama integridad."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39895075,72,,--772776--,2023-12-21T09:45:18+00:00,1,0,Ese dinero se lo gastará vox en adoctrinar con toros y crucifijos
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894925,71,61.0,--136355--,2023-12-21T09:26:27+00:00,0,9,"#61 vaya, ya se ha ofendido uno de los ciber voluntarios de guardia {lol} {lol} {lol} {lol}"
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894860,70,44.0,porcorosso,2023-12-21T09:17:14+00:00,0,15,"#44 rechazar
5. tr. Mostrar oposición o desprecio a una persona, grupo, comunidad, etc. https://dle.rae.es/rechazar?m=form"
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894827,69,1.0,Toponotomalasuerte,2023-12-21T09:13:52+00:00,0,9,#1 como los toros y la iglesia!! Empecemos por ahí!
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894798,68,37.0,stygyan,2023-12-21T09:10:57+00:00,2,40,"#37 ¿has pensado meterte a trabajar en el cine? Porque te encanta proyectar, gañán."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894779,67,36.0,stygyan,2023-12-21T09:09:20+00:00,2,28,"#36 pero qué haces proyectando tus fantasías en otras personas, coñe. Haz como todas y te abres una cuenta en pornhub."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894702,66,2.0,--770714--,2023-12-21T09:01:26+00:00,0,6,#2 sólo los de la zona entenderán tu comentario
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894653,65,1.0,carlesm,2023-12-21T08:54:37+00:00,2,25,"#1 Muchos negativos para un comentario que, claramente, habla de los toros y de la iglesia católica. Que, con el interés que generan, renunciaran claramente a sus subvenciones, no? no?"
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894636,64,23.0,perej,2023-12-21T08:52:03+00:00,1,30,"#23 sus votantes saben que todo eso que enumeras y muchas otras necesidades, van incluidas en el pack, y no les importa.
Son fachas de mierda, analfabetos, orgullosos de serlo."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894541,63,50.0,triste_realidad,2023-12-21T08:39:35+00:00,0,6,"#50 Se puede hacer, pero puede que ya no venga tantos artistas invitados como antes o no puedan permitirse las mismas actividades que antes, o no dure lo mismo que antes...."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894528,62,53.0,triste_realidad,2023-12-21T08:37:07+00:00,0,6,#53 Dice cuando se sientan 10 y 1 (de ellos) es fascista....
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894453,61,37.0,--136355--,2023-12-21T08:26:46+00:00,1,-6,"#37 ahora? {lol} {lol} {lol} {lol}

Al poco de crear menéame, esto ya estaba infestado de ciber voluntarios

https://www.libertaddigital.com/internet/el-portal-meneame-expulsa-a-varios-voluntarios-ciber-progresistas-por-inundarlo-de-noticias-contra-el-pp-1276322830/"
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894445,60,29.0,Niltsiar,2023-12-21T08:24:11+00:00,0,7,#29 A veces entiendo tanto a las mujeres que se quejan de que algunos tíos insisten en explicarles cosas... {roll}
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894417,59,51.0,turuleto,2023-12-21T08:18:30+00:00,0,9,#51 No entiendo.
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894414,58,50.0,turuleto,2023-12-21T08:18:13+00:00,0,9,"#50 la cultura es vital también.

La pena es que algunos la usen para meter dentro su ideología. Ese no es el fin de la cultura, que tiene un propósito mucho más alto de miras que la simple propaganda y proselitismo."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894408,57,,nilien,2023-12-21T08:16:49+00:00,0,10,"Da gusto leer las declaraciones de los organizadores del festival, ojalá hubiera más gente así, priorizando otros valores frente al ""vamos a intentar forrarnos a toda costa""..."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894403,56,38.0,turuleto,2023-12-21T08:15:45+00:00,0,9,"#38 Te cito en #17 y que la palabra escrita no se puede borrar: ""#17 Bueno, si es a fascistas, las hostias pueden ser con y sin hache, intercalada o no, bailada o sin bailar... """
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894387,55,14.0,vicenfox2,2023-12-21T08:13:09+00:00,0,11,#14 cada vez que veo hostia sin hache me entran unas ganas de aplaudir caras... {lol}
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894376,54,5.0,Ankor,2023-12-21T08:11:51+00:00,0,10,"#5 Siendo el pueblo que es y conociéndolos. Se lo gastarán todo en toros. Y aparte de la subvención, un poco más."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894351,53,8.0,MJDeLarra,2023-12-21T08:07:51+00:00,0,10,"#8 10+1 son once. Pero eso ya lo sabias, blanqueador de fascistas!!"
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894339,52,1.0,--770844--,2023-12-21T08:05:00+00:00,1,-8,#1 no entiendo que te hayan crucificado a negativos. Ánimo Charles! Es como una especie de política de la cancelación versión Menéame.
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894307,51,39.0,Gavela,2023-12-21T07:59:03+00:00,0,6,#39 no tengo claro que hayas escuchado la música que se producía en los 80-90.
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894304,50,,BRPBNRS,2023-12-21T07:58:31+00:00,1,17,"Me estas diciendo que un festival que recibía subvenciones...¿Se puede hacer tambien sin subvenciones? {roll} {roll} 

Lo de este pais de pagar los gustos personales con el dinero de todos es para reirse.

Festivales, organizaciones, fútbol , toros, actos religiosos... ¡¡EL QUE LOS QUIERA QUE LOS PAGUE!!

Cada céntimo del estado debe ir a las cosas vitales (sanidad,educación,carreteras,trabajo...)"
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894268,49,,--136355--,2023-12-21T07:53:03+00:00,1,8,"#_8 Bueno, salvo cuando los fascistas supremacistas tienen 7 diputados y los necesitamos para la investidura. En ese caso, sentarse con ellos y concederles todo lo que quieran es de político de altas miras que es capaz de llegar a acuerdos con todos

#9 te cito, que el clon ulta me tiene en ignore. Supongo que el jefe le quitó el huesito la última vez que le dejé en ridículo y quiere evitar que se repita"
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894256,48,24.0,--752879--,2023-12-21T07:51:30+00:00,1,9,"#24 si, gente que prefiere toros y vírgenes a cultura y educación, y así nos va."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894242,47,24.0,gemmota,2023-12-21T07:49:00+00:00,0,10,#24 La salud mental de la población en España está fatal.
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894195,46,39.0,HASMAD,2023-12-21T07:41:43+00:00,4,45,"#39 Exacto, a ver si VOX deja de parasitar de ideología el arte."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894178,45,1.0,HASMAD,2023-12-21T07:38:03+00:00,2,16,"#1 Claro, porque el dinero ahorrado en la subvención va a repercutir en el bienestar del pueblo."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894144,44,16.0,Onaj,2023-12-21T07:32:00+00:00,0,8,#16 No la han rechazado. Según la noticia no la han querido pedir
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894139,43,41.0,--762354--,2023-12-21T07:31:03+00:00,0,8,"#41 ¿Realmente tengo razón yo? Qué ilusión me hace, siempre quise tener razón."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894132,42,40.0,--762354--,2023-12-21T07:29:59+00:00,1,18,"#40 Jajaja, ¿los de VOX prohibiendo dar por culo? Estás tú que sí, con lo viciosos y pervertidos que son.
Lo prohibirán de boquilla, pero en la trastienda no harán otra cosa.
Lo mismo con la pederastia."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894130,41,38.0,JotaMayuscula,2023-12-21T07:29:50+00:00,1,16,#38 Realmente tiene razón #21. Aquí mucha gente considera a vox fascistas y considera no sólo que se les puede sino que se les tiene que pegar.
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894092,40,34.0,EdmundoDantes,2023-12-21T07:22:20+00:00,1,18,#34 Pues ten cuidado que como sea anal los de Vox lo van a prohibir.
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894087,39,,turuleto,2023-12-21T07:21:33+00:00,4,24,"En mi opinión, esto es instrumentalizar la música, parasitarla de ideología (como han hecho con MNM y con todo lo que han podido) y utilizarla de la peor manera, al servicio de una ideología y excluyendo y dividiendo. Que es justamente lo contrario de lo que es la Música (con mayúscula)."
lgtbi,https://www.meneame.net/story/festival-renuncia-subvencion-no-reunirse-concejal-vox-veto-lgtbi,3889198,39894080,38,37.0,--762354--,2023-12-21T07:20:15+00:00,1,18,"#37 Te mereces todos los insultos que se me ocurran.
Ultra y violento serás tú."
