tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/valor-capital-humano-perdio-espana-emigracion-2022-supero-150,3889674,39904947,45,44.0,daTO,2023-12-22T21:29:29+00:00,0,10,"#44 en base a tus idioteces de gañán,"
inmigracion,https://www.meneame.net/story/valor-capital-humano-perdio-espana-emigracion-2022-supero-150,3889674,39904915,44,43.0,Abajo,2023-12-22T21:20:07+00:00,0,12,"#43 En basa a nada,  suposiciones, al igual que tu anterior comentario, lo que te sitúa como comentarista de barra de bar. Es muy sencillo lo que tratas de hacer (ser soez) pero suele tener efecto boomerang. Paz"
inmigracion,https://www.meneame.net/story/valor-capital-humano-perdio-espana-emigracion-2022-supero-150,3889674,39904849,43,33.0,daTO,2023-12-22T21:04:37+00:00,0,10,"#33 Vale, ya veo que me confirmas mi comentario.."
inmigracion,https://www.meneame.net/story/valor-capital-humano-perdio-espana-emigracion-2022-supero-150,3889674,39903592,42,35.0,Urasandi,2023-12-22T16:40:11+00:00,0,11,#35 Vota a quien lo proponga.
inmigracion,https://www.meneame.net/story/valor-capital-humano-perdio-espana-emigracion-2022-supero-150,3889674,39903469,41,40.0,dabiologo,2023-12-22T16:03:40+00:00,0,10,"#40 Faltan médicos donde no se dan las condiciones mínimas para trabajar y vivir dignamente. Lo que hay que reclamar son esas condiciones a los que deben proveerlas, no atar en corto a profesionales formados con fondos públicos…. Si planteas un país de escuela y a trabajar, o eres empresario y te vienen bien los borregos, o eres cortito de miras"
inmigracion,https://www.meneame.net/story/valor-capital-humano-perdio-espana-emigracion-2022-supero-150,3889674,39903444,40,39.0,Abajo,2023-12-22T15:56:58+00:00,0,12,"#39 Para que construyan infraestructuras y viviendas. Si no los hubiera, porque se van fuera, tendríamos el mismo problema que con los médicos.

Y no me has contestado la pregunta, para que quieres subvencionar estudios de medicina si van fuera? Para  tener que contratar un seguro medico privado?"
inmigracion,https://www.meneame.net/story/valor-capital-humano-perdio-espana-emigracion-2022-supero-150,3889674,39903425,39,32.0,dabiologo,2023-12-22T15:51:57+00:00,0,10,"#32 para que formar ingenieros, arquitectos, etc, para empresas privadas?

Que estudien los ricos y los pobres a doblar la espalda…

En fin, vete a barrer la playa y entretente"
inmigracion,https://www.meneame.net/story/valor-capital-humano-perdio-espana-emigracion-2022-supero-150,3889674,39903408,38,17.0,Abajo,2023-12-22T15:46:24+00:00,0,12,"#17 Con los médicos tenemos un problema si subvencionamos por encima de los 100.000 euros por cabeza y luego se van. Qué hacemos? Sanidad privada o de mierda, no hay más opciones...."
inmigracion,https://www.meneame.net/story/valor-capital-humano-perdio-espana-emigracion-2022-supero-150,3889674,39903403,37,18.0,Abajo,2023-12-22T15:44:45+00:00,0,12,"#18 Has pensado que si se subvencionan estudios, no estaría de más que nos volviera de vuelta a los contribuyentes? Que sí subvencionamos carreras de medicina, no estaría demás que nos devolvieran vía servicio lo subvencionado? 

Es un tanto egoísta el planteamiento de; que me subvenciones y ahí os quedáis, me piro a otro lado donde pagan más... En ese escenario, debería de ser; vete pero devuelve lo subvencionado o estudiaste en privada sin subvención puedes irte...

Yo no fui a la universidad porque ni con beca me llegaba, no podía y tenía hermanos pequeños a los que había que comprarles muchas cosas, por lo que estudiaba y trabajaba a los 16. 

Tú? Trabajaste mientras hacías la carrera o te lo pagó todo mamá y papá?"
inmigracion,https://www.meneame.net/story/valor-capital-humano-perdio-espana-emigracion-2022-supero-150,3889674,39903379,36,22.0,Abajo,2023-12-22T15:38:42+00:00,0,12,#22 En USA pagan la universidad via créditos?
