tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/llamas-ira-teorias-conspiratorias-grecia-provocan-cacerias,3850171,39171158,14,2.0,Mark_,2023-08-31T19:35:03+00:00,0,12,"#2 la derecha con sus ideas de patriotismo nunca entenderán que alguien gobierne un estado y que no sean ellos, y para ello utilizaran las armas más sucias posibles. Ya lo hemos visto una y otra vez allá donde están presentes."
inmigracion,https://www.meneame.net/story/llamas-ira-teorias-conspiratorias-grecia-provocan-cacerias,3850171,39171145,13,12.0,Mark_,2023-08-31T19:33:01+00:00,0,12,#12 qué bulo se ha lanzado contra Rubiales?
inmigracion,https://www.meneame.net/story/llamas-ira-teorias-conspiratorias-grecia-provocan-cacerias,3850171,39164426,12,2.0,tiopio,2023-08-31T05:07:53+00:00,1,29,#2 ¿Y contra Rubiales?
inmigracion,https://www.meneame.net/story/llamas-ira-teorias-conspiratorias-grecia-provocan-cacerias,3850171,39163863,11,10.0,Asimismov,2023-08-30T21:39:25+00:00,0,9,"#10 A Grecia la destrozaron la derecha griega y después el DB y la SG que compraban su deuda, para finalmente, la Merkel, el BCE y el FMI saquearon Grecia para salvar las cuentas del DB y de la SG, además vendiéndoles submarinos alemanes."
inmigracion,https://www.meneame.net/story/llamas-ira-teorias-conspiratorias-grecia-provocan-cacerias,3850171,39163789,10,,karaskos,2023-08-30T21:20:04+00:00,0,7,"Creo que Grecia puede ser incluida en la lista de los países más mierdas de Europa con todas las de la ley.

Saluda a Polonia y Hungría"
inmigracion,https://www.meneame.net/story/llamas-ira-teorias-conspiratorias-grecia-provocan-cacerias,3850171,39163149,9,,Feindesland,2023-08-30T19:31:41+00:00,0,15,"Joder....cazar inmigrantes... ¡¡pringaos!!!

¡Que vengan aquí a ayudar a cazar al Rubiales, que aún no ha dimitido!

{lol} {lol} {lol}"
inmigracion,https://www.meneame.net/story/llamas-ira-teorias-conspiratorias-grecia-provocan-cacerias,3850171,39162520,8,4.0,Verdaderofalso,2023-08-30T17:54:18+00:00,1,25,#4 desde el Falcon
inmigracion,https://www.meneame.net/story/llamas-ira-teorias-conspiratorias-grecia-provocan-cacerias,3850171,39162483,7,6.0,--419859--,2023-08-30T17:48:53+00:00,0,12,"#6 Claro, como aquí que los que queman los montes son todos inmigrantes, sin excepción. Inmigrantes Gallegos en Galicia, Inmigrantes Asturianos en Asturias, inmigrantes ..."
inmigracion,https://www.meneame.net/story/llamas-ira-teorias-conspiratorias-grecia-provocan-cacerias,3850171,39162416,6,,Derko_89,2023-08-30T17:35:54+00:00,1,22,Culpa del abandondo de tierras por el empobrecimiento de los agricultores? No! Culpa de los recortes que han minado los presupuestos en prevención y extinción de incendios? No! ¡Culpa de los inmigrantes! {palm}
inmigracion,https://www.meneame.net/story/llamas-ira-teorias-conspiratorias-grecia-provocan-cacerias,3850171,39162405,5,,laruladelnorte,2023-08-30T17:34:50+00:00,6,65,"Uno de los más devastadores se desató la semana pasada en el bosque de Dadiás, en la región norteña de Evros, cobrándose la vida de 21 personas, 18 de ellas inmigrantes, incluidos dos niños, que habían cruzado la cercana frontera desde Turquía. Hay quienes utilizan el poder del odio como combustible."
inmigracion,https://www.meneame.net/story/llamas-ira-teorias-conspiratorias-grecia-provocan-cacerias,3850171,39162388,4,3.0,Cuñado,2023-08-30T17:31:18+00:00,3,14,#3 Yo no descartaría a Perro Sanxe {tinfoil}
inmigracion,https://www.meneame.net/story/llamas-ira-teorias-conspiratorias-grecia-provocan-cacerias,3850171,39162373,3,,Verdaderofalso,2023-08-30T17:27:51+00:00,8,100,"La conspiración del rayo láser espacial judio o del NOM ya no da más de sí, y hay que señalar a alguien que sea más palpable y real. 

Y quien es? El inmigrante"
inmigracion,https://www.meneame.net/story/llamas-ira-teorias-conspiratorias-grecia-provocan-cacerias,3850171,39162351,2,,SeñorPresunciones,2023-08-30T17:24:35+00:00,25,240,"Las armas del fascismo siempre han sido esas, el bulo, la mentira y por ende las conspiraciones. ¿Qué otra cosa que una gran conspiración fue lo que se urdió contra los judíos? Los metieron a calzador en el imaginario de la gente como origen de todos los males.  Con estas cosas empieza el fascismo, o directamente la sinrazón y la locura colectiva."
inmigracion,https://www.meneame.net/story/llamas-ira-teorias-conspiratorias-grecia-provocan-cacerias,3850171,39162343,1,,manbobi,2023-08-30T17:22:55+00:00,6,63,Los típicos bulos del ultracentro
