tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/companera-inmigrante-dijo-conteste-pregunta-idioma-humano-normal,3210184,28246767,18,,--80628--,2019-11-13T14:51:01+00:00,0,7,Otro que necesita bastante educación dando clase.
inmigracion,https://www.meneame.net/story/companera-inmigrante-dijo-conteste-pregunta-idioma-humano-normal,3210184,28246420,17,,--20202--,2019-11-13T14:09:22+00:00,0,8,"Lo lógico es que se le despida ipso facto, se le aparte de todo el sistema universitario público español, se le retire la cátedra y se estudie si esos comentarios podrían ir por civil o penal ante un tribunal. 

Un funcionario, sea docente o cartero, tiene un código de conducta. Para más inri en las universidades hay códigos aun más estrictos que hablan del respeto, el esfuerzo y esas movidas. Así que lo suyo sería 12 horas para que recoja su mesa y que la universidad se querelle contra él para ver si le puede sacar pasta.

Aviso para otros, que vayan poniendo las barbas a remojo o aprendan a comportarse como alguien que ha sido educado en un mínimo de civismo."
inmigracion,https://www.meneame.net/story/companera-inmigrante-dijo-conteste-pregunta-idioma-humano-normal,3210184,28242136,16,,cromax,2019-11-13T05:08:20+00:00,0,16,"Es la Universidad. Por desgracia todos hemos tenido profes que eran auténticos cabestros o de estos que te preguntas como leches pueden ser profesores universitarios. 
Lo malo es que yo me temo que estas conductas sirven de ejemplo para sus alumnos que luego pueden acabar en puestos de responsabilidad o dando clase, por ello soy de los que creo que habría que cortalas en seco. 
Porque el pimpollo que ve con 21 años que un capullo dice barbaridades desde un puesto de autoridad y no le pasa nada se le puede pasar por la cabeza ""Ah, pues yo también puedo hacerlo""."
inmigracion,https://www.meneame.net/story/companera-inmigrante-dijo-conteste-pregunta-idioma-humano-normal,3210184,28235684,15,11.0,--614439--,2019-11-12T11:46:32+00:00,0,7,"#11 Yo es que soy más de montar el pollo y dar por el culo.
Si el juego va de amargar pues me lo tomo como un reto personal."
inmigracion,https://www.meneame.net/story/companera-inmigrante-dijo-conteste-pregunta-idioma-humano-normal,3210184,28235678,14,13.0,--614439--,2019-11-12T11:45:39+00:00,0,7,"#13 Me he dejado el ""a tiempo"". Pero creo que se sobreentiende."
inmigracion,https://www.meneame.net/story/companera-inmigrante-dijo-conteste-pregunta-idioma-humano-normal,3210184,28235556,13,6.0,Cabre13,2019-11-12T11:36:02+00:00,2,24,"#6 Es curioso, estás en la noticia de ""esto ha sido denunciado"" y tu opinión es ""deberían hacer algo, vaya inútiles""."
inmigracion,https://www.meneame.net/story/companera-inmigrante-dijo-conteste-pregunta-idioma-humano-normal,3210184,28235535,12,,Cabre13,2019-11-12T11:34:41+00:00,2,19,"Jajaja, qué políticamente incorrecto, lo único que hacía era ejercer su libertad de decir lo que le apetece ante grupos de estudiantes desde su posición de autoridad.
Ahora solo falta que haya que regular cómo se puede insultar a los alumnos."
inmigracion,https://www.meneame.net/story/companera-inmigrante-dijo-conteste-pregunta-idioma-humano-normal,3210184,28235487,11,6.0,Guanarteme,2019-11-12T11:29:46+00:00,0,11,"#6 Y luego montan el pollo, le recriminan al profesor en clase o denuncian en las redes sociales y todos los ""buenistas pro-sistema"" llegan desde los Mundos de Yupi a decirles que ""no son formas"", que hay que ""mandar un escrito blablablá a la comisión tratratrá"", que las denuncias en comisaría/consejería y que hay que ser sumisos prudentes... 

Eso sin contar que si un profesor te toca muchos la moral en un FP o en Secundaria tienes la opción de cambiarte de instituto, en cambio la opción de cambiarte de universidad no es tan sencilla. Los alumnos más puteados son los de primaria y Universidad, eso lo hace en Secundaria con alumnos que por ellos ""no estarían allí"" o en un máster con clientes y le montan la revolución."
inmigracion,https://www.meneame.net/story/companera-inmigrante-dijo-conteste-pregunta-idioma-humano-normal,3210184,28235094,10,6.0,--608421--,2019-11-12T11:02:03+00:00,2,27,"#6 Porque la universidad, más unas que otras, son otro universo, con reyes y reyezuelos y con vasallos y valídos."
inmigracion,https://www.meneame.net/story/companera-inmigrante-dijo-conteste-pregunta-idioma-humano-normal,3210184,28235084,9,,--608421--,2019-11-12T11:00:53+00:00,2,19,"Lo terrible es la de años que ese bicho ha estado campando por sus respetos con total impunidad.

Si en lugar de catedrático de odontología fuese juez quizás aun estaría a sus anchas, hay una serie de puestos que parecen reinados de taifas."
