tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/ultima-incorporacion-ciudadanos-firme-activista-contra-derechos,3150367,27322828,20,19.0,--542333--,2019-07-02T13:53:01+00:00,0,7,#19 Creo que no ha quedado claro mi comentario. No estoy criticando las pintadas a su hipocri-truck.. . mas bien pretendia ilustrar los motivos que llevaron a la gente a volcar sus mensajes de amor en ella {troll}
lgtbi,https://www.meneame.net/story/ultima-incorporacion-ciudadanos-firme-activista-contra-derechos,3150367,27322758,19,18.0,x.y.z,2019-07-02T13:40:46+00:00,0,14,#18 {calzador} + {0x1f691}
lgtbi,https://www.meneame.net/story/ultima-incorporacion-ciudadanos-firme-activista-contra-derechos,3150367,27322108,18,1.0,--542333--,2019-07-02T12:09:44+00:00,0,7,"#1 Como su carroza el dia del Orgullo, que tambien quedo hecha una joya!
Que cosas eh...  {lol} {lol}"
lgtbi,https://www.meneame.net/story/ultima-incorporacion-ciudadanos-firme-activista-contra-derechos,3150367,27321394,17,16.0,--137774--,2019-07-02T11:03:33+00:00,0,8,#16 Precisamente metiendose donde no le llaman es cuando no asegura los mismos derechos.
lgtbi,https://www.meneame.net/story/ultima-incorporacion-ciudadanos-firme-activista-contra-derechos,3150367,27321358,16,15.0,x.y.z,2019-07-02T11:00:18+00:00,0,14,"#15 Están en su derecho de no hacer uso del derecho al matrimonio homosexual, pero en absoluto pueden negarlo y tratar de arrebatar derechos a los demás.

Y si, el estado tiene que meterse en todo, sobre todo en asegurar los mismos derechos para todos y evitar las discriminaciones. Que malo es el estado!!"
lgtbi,https://www.meneame.net/story/ultima-incorporacion-ciudadanos-firme-activista-contra-derechos,3150367,27321305,15,14.0,--137774--,2019-07-02T10:55:00+00:00,0,8,"#14 Ya, pero la religión es la religión. Y el matrimonio para un católico es sagrado (es uno de sus sacramentos). A los que no somos religiosos pues ciertas cosas nos da igual, pero entiendo que a una persona que tiene unas convicciones religiosas fuertes, haya cosas que no les agrade sobre todo cuando va en contra de sus principios, y en su derecho está de movilizarse en contra mientras lo haga dentro de la legalidad. 

El problema está en que el estado tiene que meter sus narices absolutamente en todo. Si cualquiera pudiera ""casarse"" civilmente yendo a un notario y formalizando un contrato privado con una o varias personas de su mismo sexo o contrario, o con un familiar o con el churrero de la esquina, todas estas historias se terminarían. Seríamos todos un pelín más libres, pero de verdad de la buena, no de la libertad que nos dan como limosna."
lgtbi,https://www.meneame.net/story/ultima-incorporacion-ciudadanos-firme-activista-contra-derechos,3150367,27321131,14,12.0,x.y.z,2019-07-02T10:33:35+00:00,0,14,"#12 En un cristiano también debería ser normal el no juzgar (y no seréis juzgados, se supone que les decían), el perdonar los pecados, amar al prójimo, respetar al diferente...

Yo, sin ser católico, estoy en desacuerdo con los pantalones tobilleros pero no me movilizo contra quienes los llevan."
lgtbi,https://www.meneame.net/story/ultima-incorporacion-ciudadanos-firme-activista-contra-derechos,3150367,27320942,13,,io1976,2019-07-02T10:07:37+00:00,1,21,La basura ficha basura.
lgtbi,https://www.meneame.net/story/ultima-incorporacion-ciudadanos-firme-activista-contra-derechos,3150367,27320875,12,,--137774--,2019-07-02T09:59:58+00:00,0,8,"Ciudadanos es uno de esos partidos que nunca me ha gustado. Pero eso no quita para que me de asco la campaña de acoso y derribo a la que está siendo sometido porque no hace lo que a cierto sector le interesa que haga. Y digo lo mismo de Podemos y de Vox.  Dice bien poco de la ""democracia"" de este país.

Nos podrá gustar más o menos, pero que una persona católica convencida no esté de acuerdo con el matrimonio homosexual es normal."
lgtbi,https://www.meneame.net/story/ultima-incorporacion-ciudadanos-firme-activista-contra-derechos,3150367,27320421,11,,--394145--,2019-07-02T09:03:47+00:00,1,25,Es extrema derecha y lo sabéis...
