tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39931601,19,15.0,Verdaderofalso,2023-12-28T14:56:54+00:00,0,20,#15 #18 pues anda que no se han soltado burradas contra médicos y sanitarios en general durante el COVID
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39931415,18,15.0,--181777--,2023-12-28T14:23:28+00:00,1,40,"#15 Está incitando al odio contra un colectivo desfavorecido históricamente

Cuando se hizo lo mismo con las antenas 5G y el covid se atacó a las antenas y a los técnicos de telecomunicaciones"
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39931228,17,2.0,Shuquel,2023-12-28T13:54:50+00:00,2,24,#2 Y tarde
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39931099,16,,tiopio,2023-12-28T13:32:56+00:00,0,19,"De los negacionistas:

https://aldescubierto.org/2022/01/04/la-ultraderecha-en-las-manifestaciones-negacionistas-valencia-madrid/"
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39931087,15,,--605806--,2023-12-28T13:31:26+00:00,0,6,"pues no sé qué pensar, por un lado lo dicho en el artículo es horrible, pero cárcel por un artículo... quizás me parece excesivo, aunque con esta gente no se que solucion hay. Espero que tambien cierren la pagina de fb y redes sociales ya que dicen que este tipo de articulos era frecuente."
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39931084,14,12.0,--181777--,2023-12-28T13:31:08+00:00,1,35,"#12 Ahora son el Efecto 2000 jajajaaj

Son todos como Rajoy de inteligentes"
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39931071,13,,tiopio,2023-12-28T13:29:06+00:00,1,39,"El libelo ""El Chueca Virus-22"", sigue colgado en esa página. Tal y como informamos recientemente, el pasado día 5 de diciembre, nuestro camarada David Usero, responsable de redes sociales de España 2000, acudió a declarar como acusado a la sección quinta de la Audiencia Provincial de Valencia. https://espana2000.es/2023/12/21/david-usero-condenado-a-dos-anos-y-ocho-meses-de-carcel-por-un-supuesto-delito-de-odio-contra-el-colectivo-lgtbi/"
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39931064,12,1.0,tsumy,2023-12-28T13:28:25+00:00,1,35,#1 Llegan tarde incluso al nombre. Cuando al cojo se le ocurrió la idea de llamar a su grupo de neofascistas E2000 sonaba espectacular... Y ya se les había pasado la fecha
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39931021,11,,ahotsa,2023-12-28T13:22:21+00:00,0,11,Con permiso del colectivo LGTBI: Allí podrá deducir experimentalmente que las relaciones con este colectivo no transmite esa enfermedad {troll}
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39930909,10,9.0,--181777--,2023-12-28T13:05:19+00:00,0,20,"#9 En este caso lo que está haciendo es incitar a la gente a que lo haga

Ya vimos como los técnicos de telecomunicaciones eran atacados y asesinados cuando se dijo que el 5G contagiaba el Covid"
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39930896,9,,tpm1,2023-12-28T13:03:21+00:00,0,8,Casi le sale más barato atropellar a alguien y matarlo.
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39930879,8,2.0,MiguelDeUnamano,2023-12-28T13:01:26+00:00,4,90,"#2 Claro, porque están madrugando 400 años atrás."
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39930872,7,6.0,--181777--,2023-12-28T12:59:57+00:00,0,20,"#6 Destinan todo a la beneficencia 

Pero quien se beneficia son ellos {palm}"
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39930867,6,3.0,devilinside,2023-12-28T12:58:45+00:00,0,11,"#3 Cabrones, la podían destinar a beneficencia"
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39930849,5,,--181777--,2023-12-28T12:56:26+00:00,1,31,"Los hombres de antes iban a la guerra, los de ahora lloran por la sexualidad de otros

El que está seguro de su sexualidad no se mete en la del resto {roll}"
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39930840,4,2.0,--84408--,2023-12-28T12:54:50+00:00,2,41,"#2 Frase genial, que voy a adoptar, con su permiso, para sacar en conversaciones cuñadas."
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39930838,3,2.0,--181777--,2023-12-28T12:54:46+00:00,0,20,#2 Más que la España que madruga son la España quema droga {lol}
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39930814,2,1.0,devilinside,2023-12-28T12:51:54+00:00,5,83,"#1 Y menos mal que es la España que madruga. Para madrugar tanto, siempre van con retraso"
lgtbi,https://www.meneame.net/story/condenado-casi-3-anos-prision-cargo-espana-2000-atribuyo-origen,3891419,39930808,1,,--181777--,2023-12-28T12:51:05+00:00,3,66,"Llegan tarde a los derechos LGTBI, al aborto, al divorcio, a las vacaciones pagadas, a la jornada de 8 horas, a la democracia...

Pero dicen que la viruela del mono viene de otros, cuando ellos son retrasados, literalmente {lol}"
