tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/interior-condecora-guardias-civiles-melilla-absueltos-maltratar,2613014,19469890,59,3.0,WarDog77,2016-05-14T11:30:27+00:00,0,10,"#3 Yo vi las imágenes que vi, y vi violencia innecesaria y gratuita. El juez puede sentenciar lo que quiera, recuerda que el juez sentencia en base a las leyes que hay, no a la verdad, la verdad juridica y la realidad no tienen porque coincidir."
inmigracion,https://www.meneame.net/story/interior-condecora-guardias-civiles-melilla-absueltos-maltratar,2613014,19465101,58,57.0,--234048--,2016-05-13T14:39:21+00:00,0,16,"#57 Ya ya ya.... que te molesta porque los jueces no han seguido el criterio de la plebe que bramaba indignada con el puño en alto y han actuado siguiendo la ley.

Será que tenias pruebas incontrovertidas pero se te pasó ir al juzgado a aportarlas. 

El nivel al que nos tienes acostumbrado. Otro llorón más al que no le gusta la realidad, pero la culpa es de los demás."
inmigracion,https://www.meneame.net/story/interior-condecora-guardias-civiles-melilla-absueltos-maltratar,2613014,19465050,57,3.0,earthboy,2016-05-13T14:32:38+00:00,0,13,"#3 #7 Será algún tipo de retraso. Prueba un buen homeópata.

#44 Caramba que sí. Ha estado al nivel de los ""rebota, rebota y en tu culo explota"" a los que nos tienes acostumbrados."
inmigracion,https://www.meneame.net/story/interior-condecora-guardias-civiles-melilla-absueltos-maltratar,2613014,19458959,56,55.0,--234048--,2016-05-12T19:14:01+00:00,0,16,"#55 ¿ahora te has quedado sin pruebas y te pones a criticarme por mi nick?

JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA"
inmigracion,https://www.meneame.net/story/interior-condecora-guardias-civiles-melilla-absueltos-maltratar,2613014,19458937,55,54.0,sinanpacha,2016-05-12T19:11:16+00:00,0,16,"#54 Joder, que eres expertomilitar. Esto me pasa por no leer los nombres de la gente con la que discuto: está claro que contigo no hay manera de hacerlo constructivamente. Una pérdida de tiempo, besis."
inmigracion,https://www.meneame.net/story/interior-condecora-guardias-civiles-melilla-absueltos-maltratar,2613014,19458911,54,53.0,--234048--,2016-05-12T19:07:50+00:00,0,16,"#53 ¿que tenían miedo de que les absolvieran por NO HABER PRUEBAS CLARAS? 

Claro. Normal. 

{lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol}"
inmigracion,https://www.meneame.net/story/interior-condecora-guardias-civiles-melilla-absueltos-maltratar,2613014,19458880,53,52.0,sinanpacha,2016-05-12T19:03:34+00:00,0,16,"#52 1) El pacto consiste en que ellos admiten que lo mataron y a cambio -viva españa- prácticamente se les perdona. 
2) La familia acepta el pacto, según ellos mismos, porque tenían miedo de que en el juicio les absolvieran, un deporte nacional en este país: http://www.elmundo.es/cataluna/2016/05/09/57304df9268e3e86458b45d5.html"
inmigracion,https://www.meneame.net/story/interior-condecora-guardias-civiles-melilla-absueltos-maltratar,2613014,19458845,52,51.0,--234048--,2016-05-12T19:00:29+00:00,0,16,"#51 Pactando... No porque se haya demostrado.

Y lo de los puñetazos claro que era tortura... Pero eso no fue la causa de la muerte.

Te lo pregunto de nuevo... ¿por que la familia no ha seguido con el juicio hasta el final?"
inmigracion,https://www.meneame.net/story/interior-condecora-guardias-civiles-melilla-absueltos-maltratar,2613014,19458828,51,50.0,sinanpacha,2016-05-12T18:59:05+00:00,0,16,#50 ¿Que no lo mataron? ¡Pero si se han declarado culpables de homicidio y torturas! ¡Lo han admitido ellos mismos!
inmigracion,https://www.meneame.net/story/interior-condecora-guardias-civiles-melilla-absueltos-maltratar,2613014,19458821,50,49.0,--234048--,2016-05-12T18:58:22+00:00,0,16,"#49 Ah ya... un accidente mostrado como ejemplo de los habituales hechos que ocurren.

¿Esther Quintana y cuantos más? ¿10? ¿20?

Es repulsivo que traten de taparlo y es por eso por lo que les tendrían que empapelar... pero a este tipo no lo mataron. Por algo no ha seguido la familia con el juicio."
