tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38607899,19,,Brill,2023-06-13T14:31:28+00:00,0,10,Me pregunto si ABC lo condena o lo celebra. De los que comentarán la noticia en su medio no tengo duda.
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38607361,18,,Findopan,2023-06-13T13:32:14+00:00,0,7,"Lo de la inclusión en EEUU es una cosa muy rara, a veces van tan lejos que acaban dando la vuelta entera. Porque desde luego tratar de definir la sexualidad poniendo al género masculino como pivote alrededor del cual se define lo demas parece más bien algo de la edad media. Retroprogresismo."
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38606333,17,,--461414--,2023-06-13T11:29:29+00:00,1,12,Deberíamos saber como definen al hombre para entender esa definición
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38606195,16,,tiopio,2023-06-13T11:15:11+00:00,0,18,Es lógico. Woman quiere decir no hombre.
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38606145,15,14.0,ochoceros,2023-06-13T11:09:51+00:00,0,12,"#14 Yo tendría cuidado con los Abogados Cristianos y Hazte Oír, porque según eso en su folleto quedaría patente que la virgen María es lesbiana por su orientación sexual zoofílica {troll}"
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38606110,14,13.0,El_padrino,2023-06-13T11:06:33+00:00,1,12,#13 he actualizado para decir que las orientaciones sexuales se sobrentiende que solo aplican a la especie humana.
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38606092,13,12.0,ochoceros,2023-06-13T11:05:01+00:00,0,12,"#12 Ya, pero leyendo el titular podrían ser hasta imanes {lol}"
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38606062,12,9.0,El_padrino,2023-06-13T11:01:55+00:00,1,12,"#9 te pongo la definición en inglés para que veas cómo no podía estar contemplado. Pero si un transespecie :
Lesbian [sexual orientation]: A non-man attracted to non-men. While past definitions refer to ‘lesbian’ as a woman who is emotionally, romantically, and/or sexually attracted to other women, this updated definition includes non-binary people who may also identify with the label.


Ten en cuenta que v estamos hablando de orientaciones sexuales y se sobrentiende que v está solo aplican a la especie humana"
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38605856,11,,--718914--,2023-06-13T10:39:58+00:00,0,9,Que coincidencia! Como los armadillos!
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38605795,10,4.0,Drazul,2023-06-13T10:32:26+00:00,0,10,#4 para muchos retrógrados se podría definir a un gay de la misma forma que a una lesbiana {troll}
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38605780,9,3.0,ochoceros,2023-06-13T10:30:40+00:00,3,31,"#3 No sé, según esa definición los perros son lesbianas, por ejemplo."
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38605749,8,7.0,DerTeufel,2023-06-13T10:26:31+00:00,1,24,#7  El no ser no es... Y volvemos a empezar...
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38605718,7,,pitercio,2023-06-13T10:21:48+00:00,0,13,Es un adelanto y se puede también definir al no-nada atraído sexualmente por nada.
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38605714,6,,--719323--,2023-06-13T10:21:21+00:00,0,10,"Yo pensaba que ""definir"" es decir lo que es, no lo que no es.. {roll}"
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38605704,5,,cenutrios_unidos,2023-06-13T10:20:04+00:00,0,15,"Yo soy claramente lesbiano, me gustan las mujeres."
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38605703,4,,ombresaco,2023-06-13T10:19:27+00:00,0,10,"Y los hombres homosexuales son ""no mujeres atraidos por no mujeres""?
¿Eso no les da la razón a quienes hablan de género no binario?"
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38605688,3,,El_padrino,2023-06-13T10:18:02+00:00,3,33,Pues está bien definido desde que no se sabe/puede definir que es una mujer....
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38605686,2,0.0,themarquesito,2023-06-13T10:17:49+00:00,1,27,"#0 La universidad se llama ""Johns Hopkins"", no John Hopkins, que el fundador se llamaba exactamente así"
lgtbi,https://www.meneame.net/story/universidad-define-lesbianas-como-no-hombres-atraidos-otros-no,3823651,38605679,1,,Jaime131,2023-06-13T10:17:23+00:00,2,25,Yo siempre pienso en ellas como no tigres atraídos por otros no tigres.
