tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/mueren-casi-60-personas-naufragio-patera-iba-canarias,3221314,28401537,100,76.0,Misth,2019-12-05T17:35:19+00:00,0,7,#76 si...porque España esta hasta arriba de Libios... ¿Alguna tonteria mas que agregar?
inmigracion,https://www.meneame.net/story/mueren-casi-60-personas-naufragio-patera-iba-canarias,3221314,28400078,99,,Meneador_Compulsivo,2019-12-05T14:14:01+00:00,2,29,Un vuelo desde Nuakchot (Mauritania) o Dakar (Senegal) a Tenerife cuesta menos de 250€
inmigracion,https://www.meneame.net/story/mueren-casi-60-personas-naufragio-patera-iba-canarias,3221314,28399852,98,90.0,casius_clavius,2019-12-05T13:46:03+00:00,0,9,"#90 No puedo, en cuanto te veo se me saltan las lágrimas, monín."
inmigracion,https://www.meneame.net/story/mueren-casi-60-personas-naufragio-patera-iba-canarias,3221314,28399501,97,64.0,--516070--,2019-12-05T13:09:02+00:00,1,15,"#64 Gracias, el móvil nuevo me trae de culo."
inmigracion,https://www.meneame.net/story/mueren-casi-60-personas-naufragio-patera-iba-canarias,3221314,28399422,96,88.0,--614617--,2019-12-05T13:01:20+00:00,1,21,"#88 Mientes:

NO HE DICHO que no haya que auxiliar a los que se lanzan al mar y a los que llegan.

He dicho que hay que solucionar el problema de origen para que dejen de lanzarse al mar y arriesgarse a morir, o llegar aquí y casi siempre vivir en pésimas condiciones.

Como eres un sectario, no eres capaz de entender lo que te dicen."
inmigracion,https://www.meneame.net/story/mueren-casi-60-personas-naufragio-patera-iba-canarias,3221314,28398875,95,78.0,--234798--,2019-12-05T12:00:12+00:00,0,7,"#78 No veo a que viene lo de hipocrita. Lo de irresponsable te lo compro, no me voy a hacer responsable de los problemas de otras sociedades. Y en esos paises no viven disminuidos mentales, viven humanos adultos con el mismo seso que los demas, los mismos derechos y las mismas responsabilidades."
inmigracion,https://www.meneame.net/story/mueren-casi-60-personas-naufragio-patera-iba-canarias,3221314,28398588,94,92.0,--618308--,2019-12-05T11:27:35+00:00,0,6,"#92 Que dejes de llorar, nenaza!"
inmigracion,https://www.meneame.net/story/mueren-casi-60-personas-naufragio-patera-iba-canarias,3221314,28398562,93,89.0,cromax,2019-12-05T11:24:26+00:00,0,13,#89 Se ve que en los 90 teníamos a los hijos del baby boom y que ahora el que tiene más de dos hijos es una rareza.
inmigracion,https://www.meneame.net/story/mueren-casi-60-personas-naufragio-patera-iba-canarias,3221314,28398556,92,91.0,cromax,2019-12-05T11:23:45+00:00,0,13,"#91 ¡Huy! Si está Chuck Norris por aquí y yo sin enterarme.
Vale, el enésimo mierdecilla atrincherado tras la pantalla.
Hasta nunca, espero."
inmigracion,https://www.meneame.net/story/mueren-casi-60-personas-naufragio-patera-iba-canarias,3221314,28398427,91,47.0,--618308--,2019-12-05T11:09:02+00:00,0,6,"#47 Vale, campeón, ahora dilo sin llorar"
inmigracion,https://www.meneame.net/story/mueren-casi-60-personas-naufragio-patera-iba-canarias,3221314,28398424,90,55.0,--618308--,2019-12-05T11:08:32+00:00,0,6,"#55 Vale, ahora dilo sin llorar, campeón"
inmigracion,https://www.meneame.net/story/mueren-casi-60-personas-naufragio-patera-iba-canarias,3221314,28398173,89,46.0,asfaltaplayas,2019-12-05T10:39:32+00:00,0,10,"#46 Se ve que hasta los 90 ni se recogía uva, a los abuelos se les dejaba en una gasolinera y las casas se hacían de paja.
Todo eso se hace desde hace mucho, lo que pas aque gracias a la inmigración pues en vez de tener a uno recogiendo fresas por 1300 lo tienes por 600."
