tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27593886,16,14.0,Tonet,2019-08-12T21:20:39+00:00,3,29,"#14  Si miras las noticias referentes a OpenArms, Ocean Viking de MSF o el Sea Watch verás como están llenas de comentarios horribles, xenófobos e inhumanos. Son una tropa de trolls con los clásicos argumentos de ultraderecha tipo ""llévatelos a tu casa"", ""Open Arms o Médicos sin Fronteras se hacen de oro recogiendo inmigrantes"" y demás basura trumpista y voxiana que desde hace unos meses rondan mucho por aquí."
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27593451,15,2.0,Priorat,2019-08-12T19:59:24+00:00,0,10,"#2 Buejo, son inmigrantes para ti. Si leen la noticia en su país serán emigrantes. Y lo más normal es que ellos mismos se perciban como emigrantes.

Así que yo voto para que en el titular en lugar de migrantes ponga emigrantes. Porque son emigrantes. ¿O no están emigrando?"
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27593103,14,12.0,neuron,2019-08-12T18:45:17+00:00,1,13,"#12 flipante ! Los comentarios son flipantes y vomitivos. 

Además de tener una capacidad de argumentación de un neardental."
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27593090,13,3.0,neuron,2019-08-12T18:43:00+00:00,2,4,"#3 o es ironia o simplemente vomitivo tu comentario 

Sabes por que huyen,no?"
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27592496,12,9.0,a69,2019-08-12T16:58:46+00:00,2,23,#9 Racismo. Como el de muchos (nuevos) vox-meneantes
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27592334,11,10.0,PAUL2,2019-08-12T16:33:52+00:00,0,13,"#10 pero estos no quieren vivir en Tunez,mejor Alemania o Suecia.
Y el paripé que hacen recogiendo a estas personas en la costa libia es lamentable y sospechoso.
Siento las muertes, pero España no está para tirar cohetes."
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27592300,10,6.0,--214483--,2019-08-12T16:27:42+00:00,3,42,#6 sereis malpensados. Mira que pensar que Tunez es un puerto seguro... ni que se le hubiese parecido este año a 9 millones de turistas!
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27592214,9,,--275256--,2019-08-12T16:13:42+00:00,0,7,¿Por que nos los han bajado a todos?No los dejan o algo así.
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27591931,8,3.0,--42429--,2019-08-12T15:27:52+00:00,3,10,"#3 Qué listos que son, que entregan esas personas a las autoridades para que una vez curadas se les aplique la ley de extranjería, con expulsiones más que probables.

Maquiavélico."
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27591907,7,6.0,--525604--,2019-08-12T15:23:44+00:00,6,45,"#6  Son las nuevas monjas agnósticas, guardianas de la moral y además con ansias de proselitismo.

Pero , que casualidad, que siempre vienen de colegios de pago, con idiomas, viajes de voluntariado pagados por papi, chalet en las afueras y muchas con academias de oposiciones pagadas por papá o ya con ""plazaenpropiedad"" o con varios intentos de tenerla.

O sea, gente de la que no encuentras en barrios obreros del extraradio.

Blanco bueno busca negro pobre. https://www.grupotortuga.com/Blanco-bueno-busca-negro-pobre-Una"
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27591872,6,,PAUL2,2019-08-12T15:17:21+00:00,2,27,"Estas Ongs son como muy mosqueantes, en teoría son muy buenos e incriticables,pero no sé, no me cuadra y observo un ego inmenso en sus líderes.

Solo me ocurre a mí??"
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27591859,5,,--585089--,2019-08-12T15:16:14+00:00,0,8,La  verdad que evacuar a dos enfermos con sus familiares llama la atención.
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27591719,4,,--525604--,2019-08-12T15:00:54+00:00,13,42,"Por qué no clausuran estos barcos tan pronto toquen un puerto sin consentimiento? si si, humanitariamente descargais a los humanos, pero vosotros os quedais sin barco.
A rescatarlos en el yate hinchable de Amazon."
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27591684,3,,--599247--,2019-08-12T14:56:59+00:00,13,57,"Buena estrategia, dejar a estas personas que pasen los días en la más absoluta miseria para que vayan cayendo enfermas y así no haya más remedio que colarlas a algún país. Ya hay que ser miserable para jugar así con la vida de esta pobre gente, pero qué puede esperarse de unos traficantes de personas."
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27591655,2,,ﻞαʋιҽɾαẞ,2019-08-12T14:53:47+00:00,2,25,"Como no tienen claro qué palabra usar, ponen ""migrantes"" en el titular e ""inmigrantes"" en la entradilla."
inmigracion,https://www.meneame.net/story/open-arms-logra-evacuar-ocho-migrantes-malta,3168915,27591652,1,,Uge1966,2019-08-12T14:53:27+00:00,2,31,"¿Y cómo afirmas en pretérito perfecto para después añadir un ""previsiblemente""?"
