tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/francia-no-readmitira-migrantes-sean-expulsados-reino-unido,3789161,37952371,12,2.0,Mikhail,2023-03-09T09:39:20+00:00,0,7,#2 Lo que no pudo hacer Napoleón lo va a hacer el Brexit. {0x1f61d}
inmigracion,https://www.meneame.net/story/francia-no-readmitira-migrantes-sean-expulsados-reino-unido,3789161,37951588,11,1.0,--726381--,2023-03-09T07:46:53+00:00,0,18,#1 Hostia
inmigracion,https://www.meneame.net/story/francia-no-readmitira-migrantes-sean-expulsados-reino-unido,3789161,37951525,10,8.0,SHC_1987,2023-03-09T07:33:32+00:00,0,7,"#8 A la mierda ya hombre, basta ya de hipocresía, si realmente a nadie le importa esa gente, aquí todo el mundo renegando de ellos y nos vamos a poner tiquismiquis por la manera de deshacerse del problema..."
inmigracion,https://www.meneame.net/story/francia-no-readmitira-migrantes-sean-expulsados-reino-unido,3789161,37951513,9,6.0,--746395--,2023-03-09T07:32:33+00:00,0,7,"#6 por eso ahora van a perseguir a los ilegales, habrán familias que no tienen culpa de nada, pero como se persiguió a cualquiera que señaló que dejar a cualquiera vivir ilegalmente iba a ser un problema, que la inmigración masiva desconcertada no tenía ni pies ni cabeza, 20 años después van a perseguir a los inmigrantes. Es vuestra culpa."
inmigracion,https://www.meneame.net/story/francia-no-readmitira-migrantes-sean-expulsados-reino-unido,3789161,37951488,8,7.0,Gry,2023-03-09T07:29:52+00:00,0,16,"#7 Pues si, matar cientos de miles de hombres, mujeres y niños está como que mal visto. {tongue}"
inmigracion,https://www.meneame.net/story/francia-no-readmitira-migrantes-sean-expulsados-reino-unido,3789161,37951435,7,4.0,SHC_1987,2023-03-09T07:22:32+00:00,3,-19,"#4 Pues si no los aceptan, al mar, ya ves tu que problema..."
inmigracion,https://www.meneame.net/story/francia-no-readmitira-migrantes-sean-expulsados-reino-unido,3789161,37951278,6,1.0,ur_quan_master,2023-03-09T06:52:36+00:00,4,46,"#1 y nazis, también han surgido muchos nazis supremacistas."
inmigracion,https://www.meneame.net/story/francia-no-readmitira-migrantes-sean-expulsados-reino-unido,3789161,37951250,5,,--725826--,2023-03-09T06:45:48+00:00,4,0,Parece que los gobiernos se van poniendo las pilas en el tema de la inmigración ilegal. A ver el nuestro lo que tarda en darse cuenta.
inmigracion,https://www.meneame.net/story/francia-no-readmitira-migrantes-sean-expulsados-reino-unido,3789161,37951195,4,,Gry,2023-03-09T06:31:14+00:00,1,25,"Es el problema que tienen todos los que predican que van a expulsar a los inmigrantes ilegales. 

Hablar es muy fácil pero en la práctica necesitas que el país a donde los envías acepte la devolución."
inmigracion,https://www.meneame.net/story/francia-no-readmitira-migrantes-sean-expulsados-reino-unido,3789161,37951169,3,1.0,Supercinexin,2023-03-09T06:23:36+00:00,7,80,#1 De buena mañana y ya borracho.
inmigracion,https://www.meneame.net/story/francia-no-readmitira-migrantes-sean-expulsados-reino-unido,3789161,37951158,2,,Asimismov,2023-03-09T06:21:17+00:00,1,15,"Así me gusta, aislando al continente de su vecino. 

{shit} Ahora Francia también debería devolver a los turistas británicos a sus islas."
inmigracion,https://www.meneame.net/story/francia-no-readmitira-migrantes-sean-expulsados-reino-unido,3789161,37951136,1,,--746395--,2023-03-09T06:10:59+00:00,12,-88,"El sueño de traer a gente de África a causa del bombardeo publicitario de los 80 y 90 sobre la pobreza en África se ha dado una ostia con la realidad.
Suecia, Francia, Reino Unido, España, Alemania, casi todos los países trajeron un montón de Peña de África y en todos los casos ha sido un fracaso.
Europa se ha llenado de guetos donde ya no es posible entrar, 
Extremistas religiosos y familias numerosas a cargo del estado.
Habrá quien diga que no tienen suficientes ayudas económicas y sociales, deja que me ría, en Francia hace poco te pagaban por tener hijos igual que Suecia, hoy esos países están a punto de convertirse en Estados fallidos, el más doloroso es Suecia, el que fue el ejemplo de Europa.
Ahora intentan tener un mínimo de control de sus ciudadanos, ya veremos."
