tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17417531,31,29.0,Loda,2015-07-30T20:34:26+00:00,1,23,#29 Cameron dice que los inmigrantes ilegales son unas abejas a las que hay que expulsar Titular en http://www.negocios.com/noticias/cameron-dice-los-inmigrantes-ilegales-son-abejas-hay-expulsar-30072015-1909  {wow}  {palm} {palm} {palm}
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17417516,30,,ciborg,2015-07-30T20:29:19+00:00,0,16,La solución es fácil: que dejen de robar y crear guerras nuestras multinacionales en sus países.
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17416989,29,27.0,Nandete,2015-07-30T18:41:38+00:00,1,23,"#27 ahora mismo han vuelto a decirlo en la sexta noticias, por lo que parece que no es una confusion si no algo premeditado para causar mas impacto con la noticia.

Minutos antes ha pasado algo aun mas grave, el ataque del judio ortodoxo que ha apuñalado a 6 personas en la fiesta gay esa en Jerusalen, llega a ser un musulman y la palabra hubiera sido ataque terrorista, con corresponsales de cientos de medios de comunicacion incluidos y 3h de informes diarios"
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17415721,28,,L.A,2015-07-30T15:22:29+00:00,1,13,Si tanto os gustan haced un crowdfunding y los acogéis vosotros. {grin}
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17415481,27,26.0,Loda,2015-07-30T14:54:27+00:00,1,26,"#26 x #19 ya ves cómo funciona el oligopolio de las agencias de noticias y los medios sensacionalistas. La traducción más lógica y justa hubiera sido ""enjambre"". Plaga en inglés es ""plague, pest""."
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17415399,26,22.0,Nandete,2015-07-30T14:44:25+00:00,1,23,"#22 lo de plaga se ve que es en lo que se han puesto de acuerdo en decir los medios de comunicacion o bien la fuente que lo ha traducido se lo ha colado a todas, en La Sexta en las noticias de al medio dia tambien han dicho ""plaga"""
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17415291,25,,toposan,2015-07-30T14:31:14+00:00,1,17,Un día serán tan numerosos que ya no bastarán las alambradas... ni los imbéciles que tenemos por gobernantes.
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17415127,24,5.0,--258554--,2015-07-30T14:12:05+00:00,0,12,"#5 Ya, ¿y porqué no nos vamos al paso previo, a lo que genera gente huyendo de su pais y las consabidas mafias? Porque ver libre a Tony Blair no genera más que puto asco y descrédito ante cualquier Tribunal Penal Internacional.

#23 No digas gilipolleces, España tiene muchos menos refugiados que Grecia, Italia, Alemania, Reino Unido... y nuestro Ministro de Torquemada llama a esto goteras para negarse a admitir a coutas insignificantes
http://www.eldiario.es/desalambre/Refugiados-Mediterraneo-ultima-odisea_12_402929706.html"
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17415003,23,,--305786--,2015-07-30T13:55:16+00:00,0,8,"En todos los sitios están poniendo medidas contra la inmigración masiva, menos en España, donde el giliprogre y el buenismo triunfan, somos los tontos de Europa"
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17414802,22,20.0,Loda,2015-07-30T13:30:45+00:00,3,41,"#20 x #19 Swarm NO significa ""plaga"". La traducción es errónea o sensacionalista por parte de ElConfidencial si lo prefieres.

Swarm (como el verbo ""to swarm"") significa llegada en grandes números. En mi opinión el uso de la palabra es apropiado dadas las circunstancias en el Mediterráneo y en Caláis. Esto es pura corrección política como arma arrojadiza primero y como titulares sensacionalistas después."
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17414776,21,,--343064--,2015-07-30T13:27:13+00:00,1,14,"Me da a mi que esta hablando claro, pero hay que verlo en clave politica, por que sabe que el UKIP esta cerca."
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17414762,20,19.0,Lobazo,2015-07-30T13:25:55+00:00,1,36,"#19 Swarm también significa plaga, y la noticia habla sobre la polémica que ha levantado el lenguaje que ha utilizado, por lo que de errónea tiene poco.

La definición de ""Swarm"", por cierto, es exactamente ""mass of insects"":
http://www.wordreference.com/es/translation.asp?tranword=swarm

Correción al diccionario la que le quieres hacer {blank}"
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17414746,19,0.0,Loda,2015-07-30T13:23:26+00:00,5,52,"#0 La traducción es ERRONEA
Cameron NO ha dicho ""plaga"" (plague) si no ""swarm"" (enjambre) ""a swarm of people coming across the Mediterranean, seeking a better life, wanting to come to Britain"" http://www.bbc.co.uk/news/uk-politics-33716501

#1 #3 La controversia es puro humo, corrección política como arma arrojadiza usada por la oposición y lobbies inmigracionistas como el 'Refugee Council'."
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17414743,18,,NomeRallesPesao,2015-07-30T13:23:02+00:00,2,38,"Exportar bombardeos: No problem.

Importar humanos: aisssssssssssshhhh..."
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17414720,17,5.0,--484297--,2015-07-30T13:19:53+00:00,2,26,"#5 el problema no son las mafias, el problema es la pobreza y/o guerra que tienen en sus paises, pero claro a lo mejor para que podamos seguir teniendo coches, tv, ... en occidente, ellos tienen que seguir siendo pobres {wink}"
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17414692,16,,Azucena1980,2015-07-30T13:15:51+00:00,0,12,Qué guay va a ser cuando se vayan de Europa y se les llene el país de alemanes y franceses que crucen la frontera irlandesa.
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17414686,15,10.0,Lobazo,2015-07-30T13:15:21+00:00,1,36,#10 Para que se enteren por aquí que el cuñadismo no es solo Marca España {lol} Pero puede que esté más acentuado en algunos sitios más que en otros.
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17414683,14,,te_digo_que_no,2015-07-30T13:14:49+00:00,0,10,"Tengo que a los españoles también nos incluyen en ""la plaga"""
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17414680,13,9.0,--432809--,2015-07-30T13:14:28+00:00,2,50,#9 El dueño y señor del famoso  maletín rojo del premier británico
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17414677,12,8.0,Lobazo,2015-07-30T13:13:56+00:00,1,28,"#8 Ya entiendo. Bueno, creo que conocerás muy bien lo mucho que le gusta el sensacionalismo a la prensa británica, y lo estupendos que se ponen a la mínima {tongue}"
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17414674,11,,Boleteria,2015-07-30T13:13:46+00:00,0,8,Como le de por echar a españoles los Wetherspoons se van a la ruina {troll}
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17414671,10,,--13404--,2015-07-30T13:13:23+00:00,2,28,"La periquita del otro día ya proponía pararlos con armas directamente. No, sí.... https://www.meneame.net/c/17407824"
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17414662,9,3.0,--418333--,2015-07-30T13:12:09+00:00,2,50,#3 Será su cuñado.
inmigracion,https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,2455058,17414657,8,4.0,LuisPas,2015-07-30T13:11:49+00:00,0,10,"#4 perdona, no queria parecer que me estaba metiendo con la noticia en si, me refiero a que aqui, UK, sale todo el rato en las noticias, periodicos, etc... como si fuese una invasion zombie y Francia fuera Mad Max"
