tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38361323,93,91.0,Globo_chino,2023-05-10T09:22:21+00:00,0,9,"#91 Dices que el movimiento LGTB es una nueva religión y que le lava la cabeza a los niños, y luego yo soy el que se monta películas."
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38359578,92,84.0,VotaAotros,2023-05-10T06:08:33+00:00,1,20,"#84 Va a ser que no, desgraciadamente."
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38359571,91,86.0,VotaAotros,2023-05-10T06:07:25+00:00,1,20,"#86 Tú sí que la tienes echa trizas... Ahora no tirar piedras a los mariquitas es una nueva religión {palm} Falacia. ¿Me puedes mostrar cuando yo he dicho eso?
Te creas tu propia película y luego argumentas sobre ella, obviando lo que dice a quién le respondes."
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38359558,90,89.0,VotaAotros,2023-05-10T06:05:25+00:00,1,20,"#89 Te puedo poner un ejemplo de charla ""feminista"" en un instituto:

https://www.youtube.com/watch?v=SWrGTN2V9l8

Menos mal que esta no era curricular... creo."
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38359464,89,49.0,Pablosky,2023-05-10T05:47:11+00:00,0,14,"#49 ¿Podrías poner un ejemplo de una charla normal para ver qué es la ""terrible aberración"" que meten en la cabeza a los niños? Sin mierdas sacadas de contexto si es posible, si es un vídeo del CM de Vox con la charla más loca que haya subida a youtube con trozos cortados no sería un buen ejemplo.

A fecha de hoy he visto mucha gente ofendiéndose por esto (tu comentario por ejemplo) pero no he visto a nadie poner en blanco sobre negro todo lo que está realmente mal."
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38359222,88,,Feindesland,2023-05-10T01:58:53+00:00,0,20,"Lo mío------------> Educar.
Lo de los demás------------------>Adoctrinar.

El tema es lo de menos."
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38359131,87,,mcfgdbbn3,2023-05-09T23:55:51+00:00,0,11,"¿Y si luego salen tolerantes, qué? ¡Terrible, hay que evitarlo como sea!"
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38358575,86,49.0,Globo_chino,2023-05-09T21:03:26+00:00,0,9,"#49 Ahora no tirar piedras a los mariquitas es una nueva religión {palm}

Yo en el instituto tuve una charlas de las FFAA y no se consideraba adotrinamienro. De hecho, los niños por defecto lo hacen. No tienen maldad, ni perspicacia Claro, a ningún niño a sido atacado por sus compañeros por su condición sexual {palm} . Por su ""naturaleza"" no son homofóbicos, sino porque se lo enseñan en su casa o la calle. Se les promueve a ser lo que no son, se les confunde hasta el punto que llegan a la adolescencia sin saber qué son o qué sienten, algo normal en la adolescencia, pero que ahora es elevado al cubo por una ""ideología"" que les está haciendo la cabeza trizas. Como si ser hetero y no ser transexual no fuera lo normal por defecto, alguno tiene tiene la cabeza hecha trizas, eso sí."
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38358225,85,2.0,Condenación,2023-05-09T20:06:19+00:00,1,19,"#2 Eso, adoctrinamiento a cara descubierta, para que no queden dudas. Lo del examen lo impartirán unas señoras externas, sin plaza de profesoras y contratadas a dedo."
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38357937,84,82.0,--721359--,2023-05-09T19:21:16+00:00,0,8,#82 Te equivocas en eso (y en el resto)...
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38357908,83,79.0,Chinchorro,2023-05-09T19:16:06+00:00,1,-4,#79 negativo por intentar adoctrinarme.
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38357905,82,81.0,VotaAotros,2023-05-09T19:15:25+00:00,1,20,"#81 Efectivamente, para vosotros, los que defendéis unas charlas que adoctrinan revistíendolas de DDHH."
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38357896,81,78.0,--721359--,2023-05-09T19:14:03+00:00,0,8,"#78 ""Tú has"" esto... ""La gente como tú"" esto otro... ""para tí""... ""para vosotros""..."
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38357884,80,38.0,VotaAotros,2023-05-09T19:12:31+00:00,1,20,"#38 Si únicamente se enseñara eso, no habría problema. Pero no."
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38357878,79,76.0,VotaAotros,2023-05-09T19:11:59+00:00,2,13,#76 Otro que no entiende ni lo que lee...
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38357864,78,60.0,VotaAotros,2023-05-09T19:10:02+00:00,1,20,"#60 Vamos, que no has entendido nada, has metido la pata hasta el fondo e intentas arreglarlo dando patadas hacia delante. Eso habla más de tí que de mí."
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38357600,77,,voidcarlos,2023-05-09T18:34:03+00:00,1,30,"Incluso con la torticera redacción de los manipuladores de eldiario, está claro que la opinión general es dejar estas cosas fuera de la escuela."
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38357141,76,3.0,Chinchorro,2023-05-09T17:22:54+00:00,2,10,#3 Otro que piensa que la educación básica y el respeto es adoctrinamiento.
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38355731,75,0.0,liztorra,2023-05-09T13:45:41+00:00,1,18,"#0 Es una pena, pero yo también me opongo a actividades sobre ""diversidad sexo-genérica"" en colegios, impartidas por entidades que profesan creencias anticientíficas y esencialmente sexistas.

Ni PIN ni PON, reconquistar la noción de COEDUCACIÓN . La coeducación secuestrada. Crítica feminista a la penetración de las ideas transgeneristas en la educación , Silvia Carrasco (coord.)."
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38355666,74,73.0,Toponotomalasuerte,2023-05-09T13:36:06+00:00,0,7,#73 jijijijiji a donde? Al cole?
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38355625,73,66.0,--642930--,2023-05-09T13:30:47+00:00,1,16,"#66 por eso no dudas en violar la libertad de los demás sin problema alguno.
Como ya he dicho, te molan las dictaduras y todo aquel que no piense como tú ya sabemos todos donde tiene que ir {wink}

Gracias por confirmar lo que he dicho {kiss}"
lgtbi,https://www.meneame.net/story/instituto-publico-madrid-impuso-pin-parental-charla-lgtbi-mitad,3810903,38355318,72,1.0,NPC_3575,2023-05-09T12:51:57+00:00,1,22,#1 Exacto!
