tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20556624,79,78.0,CerdoJusticiero,2016-10-21T11:03:27+00:00,0,6,#78 No merece la pena seguir intercambiando mensajes contigo. Mereces verte en el pellejo de esa gente a la que no te importa que se agreda. Ojalá algún día ocurra.
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20556498,78,77.0,--323100--,2016-10-21T10:48:59+00:00,1,10,"#77 99% de la gente? Vaya parece una estadística de las del telediario del pp sacada de la manga. Es difícil dialogar con alguien que se inventa los hechos. 

Delinquir es delinquir no cabe mucha interpretacion. Y delinquir con menores es peor aun. Si djeamos que se salte la ley ese moro y su hijo porque no 1 10 o 100 o 500 millones mas? Hay que ser solidarios no?sobretodo con el dinero de los demas...."
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20556287,77,76.0,CerdoJusticiero,2016-10-21T10:20:57+00:00,5,-19,"#76 Es curioso, el 99% de la población ve una agresión injustificada a una menor y a un adulto con otro menor en brazos, sin interpretación posible. Sin embargo tú, que eres un xenófobo, opinas que en esa agresión ridícula existe un intento de colaboración con la policía.

Hay que ser muy, muy cínico para decir que cuando le lanza una patada a la rodilla a una niña estaba tratando de auxiliar a la policía, en lugar de cometiendo un delito: https://youtu.be/C55HKEtJChI

La verdad es que, por más asco que me des, también me produces mucha pena. Me pregunto qué clase de vida ha tenido que tener una persona como para que sea capaz de defender a una idiota que pateó a gente que no le había hecho nada. Supongo que todo vale para mantener Europa bien blanca y libre de moros, ¿no? Incluso agredir gratuitamente a menores. ¿Qué clase de educación te dieron tus padres? ¿Sabe la gente que convive contigo que defiendes las agresiones a menores?"
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20556050,76,75.0,--323100--,2016-10-21T09:48:56+00:00,1,10,#75 favorecer y facilitar un delito es un delito en si mismo con o sin menores. La ley es la ley para todos igual. No cabe interpretarla según nuestros juicios morales.  No hablamos de una pena de muerte ni mucho menos.  Hablamos de una detención sin más en un estado de derecho.
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552644,75,74.0,CerdoJusticiero,2016-10-20T17:47:51+00:00,0,6,"#74 No, el modo de responder frente a un delito varía en función de muchos factores, como por ejemplo el daño que se pueda realizar a terceros.

Deja de hacerte el retrasado, sé perfectamente que no eres tan idiota."
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552570,74,72.0,--323100--,2016-10-20T17:35:16+00:00,1,22,"#72 Osea que un delito deja de ser delito por llevar un niño

Buen argumento buenista."
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552437,73,18.0,Mirlowsky,2016-10-20T17:09:24+00:00,0,9,"#18 Mira este enlace: http://www.vozpopuli.com/deportes/entrenadores-Getafe-zancadilla-periodista-sirio-refugiado_0_963803717.html Galán dejó abierta la puerta a un futuro regreso en febrero de 2017, siempre condicionado a que ""se materialice su conocimiento del idioma y la integración necesaria para el desempeño de labores administrativas""."
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552433,72,71.0,CerdoJusticiero,2016-10-20T17:08:51+00:00,0,6,"#71 Si lleva un niño en brazos NO, EVIDENTEMENTE.

Menuda basura de comentario, qué puto asco."
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552314,71,31.0,--323100--,2016-10-20T16:52:04+00:00,3,10,"#31 No agredió, facilitó la detencion como tu harías con cualquier delincuente.

Si tu ves a alguien cometer un crimen y tiene la posibilidad de ponerle la zancadilla no lo harías?"
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552292,70,42.0,--230508--,2016-10-20T16:48:21+00:00,1,20,"#42 Seguro que a menudo es así, y a menudo también como yo digo. En el arte por ejemplo, siempre como yo digo. Tuve un vecino escultor que era un negro de Dalí, y el hacía esculturas y Dalí las presentaba y firmaba como suyas, sin asesorar ni pollas. Medio mundo funciona así."
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552278,69,37.0,--271311--,2016-10-20T16:47:10+00:00,1,11,"#37 Para ser justos los futbolistas brasileños suelen hablar bastante bien español en muy poco tiempo. Los que no aprenden ni a palos son los británicos, pueden tirarse 15 años jugando en España y solo aprender a decir ""una servesa""."
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552262,68,,--526783--,2016-10-20T16:44:42+00:00,2,-14,"@lamonjamellada el exceso de negativos te quita karma a ti, no a mi. De nada {kiss}"
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552257,67,,sin_animo_de_lucro,2016-10-20T16:43:01+00:00,0,6,"Pffff, que le han dado, el balón de oro? en fin..."
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552216,66,59.0,Georgius_Saliciletensis,2016-10-20T16:37:11+00:00,0,11,"#59 Siento tanto comentario, pensaba que no me los había publicado (me devolvió error)"
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552208,65,50.0,tartarus,2016-10-20T16:35:41+00:00,1,19,#50 Y que las fuentes son 100% fiables.
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552207,64,59.0,Georgius_Saliciletensis,2016-10-20T16:35:38+00:00,0,11,"#59 No sé porque iba a ser difícil de creer, pero no lo sé ni creo que lo vaya a confesar. Este es el comunicado oficial: http://mcaf.ee/z4hvk6"
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552198,63,59.0,Georgius_Saliciletensis,2016-10-20T16:34:38+00:00,0,11,#59 EDIT
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552193,62,59.0,Georgius_Saliciletensis,2016-10-20T16:33:56+00:00,1,21,"#59 Está en varios artículos desde 2015 excepto en España y siempre según los kurdos, con responsabilidad de una masacre. Estos son algunos:

http://www.israelnationalnews.com/News/News.aspx/200921
https://www.rt.com/news/316124-refugee-camerawoman-kicked-militant/
https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2015%2F09%2F24%2Fworld%2Feurope%2Fsyrian-refugee-tripped-in-hungary-denies-extremist-ties.html%3F_r%3D0

Este es el comunicado oficial: http://pydrojava.com/%D8%A7%D9%84%D8%A3%D8%B3%D8%A8%D8%A7%D9%86-%D9%8A%D8%B7%D8%B9%D9%85%D9%88%D9%86-%D8%A7%D8%B1%D9%82%D9%89-%D8%A7%D9%84%D8%AF%D9%8A%D9%85%D9%82%D8%B1%D8%A7%D8%B7%D9%8A%D8%A7%D8%AA-%D9%81%D9%8A-%D8%A7/

Acabo de ver que tercerainformacion.es lo publicó en su momento:

http://www.tercerainformacion.es/antigua/spip.php?article92204"
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552169,61,,Alias_Piejodido,2016-10-20T16:29:28+00:00,0,7,En todas partes la Internacional Pepera arrasa gracias al nacional-racismo y el individualismo anticomunista. Enhorabuena a la galardonada por el carnet del partido que ostenta y los beneficios que otorga.
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552168,60,53.0,Sulfolobus_Solfataricus,2016-10-20T16:29:27+00:00,1,19,"#53 Pues qué bien que se va a buscar la vida en otro lugar, ¿no?"
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552160,59,47.0,--523223--,2016-10-20T16:27:54+00:00,0,10,"#47 eso es difícil de creer.
Quiero decir, sólo un medio se hace eco de ello. Tienes más fuentes? No te ofendas, es por contrastar"
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552159,58,,--507156--,2016-10-20T16:27:52+00:00,0,7,Tengo un dildo anal negro con pinchos en casa que seguro que la premiaría como se merece.
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552158,57,20.0,r3dman,2016-10-20T16:27:50+00:00,0,6,"#20 Además que la han premiado por algo que no tiene absolutamente nada que ver, ya la despidieron por lo otro. Que más quieren, que la ahorquen en público?"
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552151,56,49.0,--526783--,2016-10-20T16:26:21+00:00,1,-2,#49 Pues yo le doy un premio {lol}
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552148,55,18.0,--526783--,2016-10-20T16:25:59+00:00,1,17,"#18 Este no era entrenador, era relaciones públicas para dejar bien al equipo, pero no ha podido hacer de relaciones públicas porque no ha aprendido, venga ya"
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552143,54,,Azucena1980,2016-10-20T16:25:43+00:00,1,11,"El tiempo pone a cada uno en su lugar 

https://www.meneame.net/story/escuela-entrenadores-despide-refugiado-sirio-no-aprender-espanol"
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552137,53,40.0,--526783--,2016-10-20T16:24:38+00:00,3,-4,"#40 Dice que ha hablado con conocidos en Alemania y se queja de que estan mucho mejor, además, le despidieron por no quere aprender a hablar en español.. después de estar dos años contratado para un trabajo que no podía hacer."
inmigracion,https://www.meneame.net/story/premian-reportera-hungara-zancadilleo-refugiado-hijo-brazos,2687198,20552136,52,41.0,--526783--,2016-10-20T16:24:26+00:00,4,-11,"#41 Dice que ha hablado con conocidos en Alemania y se queja de que estan mucho mejor, además, le despidieron por no quere aprender a hablar en español.. después de estar dos años contratado para un trabajo que no podía hacer."
