tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26773313,25,24.0,Pointman,2019-04-11T08:10:49+00:00,0,8,#24 La perversión está en los ojos del que mira. Yo ahí solo veo a dos jóvenes y viriles deportistas ejércitandose de forma sana y casta.
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26770973,24,2.0,Tachy,2019-04-10T19:25:00+00:00,1,13,#2 Pues no sé qué decirte...
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26767809,23,22.0,Mysanthropus,2019-04-10T12:07:06+00:00,2,43,"#22 No es cierto. En occidente somos bastante críticos con nuestras democracias y el nivel de libertad de prensa está a años luz del de Rusia (por no hablar de derechos y libertades civiles, y sino que se lo pregunten a los gays). Poner al mismo nivel a Rusia no deja de ser algo muy aventurado y osado..."
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26767744,22,21.0,--32547--,2019-04-10T11:59:10+00:00,0,17,"#21 Tenemos una idea muy romántica de nuestras ""democracias"", que no son tales. Pero siempre es más fácil creerse mejor y mirar por encima del hombro a otros países."
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26767700,21,17.0,Mysanthropus,2019-04-10T11:54:47+00:00,1,24,"#17 Claro, el nivel democrático de Rusia es equiparable al de las democracias occidentales..."
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26767683,20,8.0,Mysanthropus,2019-04-10T11:53:18+00:00,2,55,#8 ¿Eres un reprimido? {troll}
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26767673,19,1.0,Mysanthropus,2019-04-10T11:52:25+00:00,0,16,"#1 No, es Rusia..."
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26767552,18,3.0,--599163--,2019-04-10T11:41:10+00:00,1,23,"#3 por eso en la India son todos gays  y se están quedando sin población.

Pocas bromas"
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26767500,17,10.0,--32547--,2019-04-10T11:36:11+00:00,0,17,"#10 No es cierto prácticamente en ningún país. Quizás en Suiza. 

Deberíamos hacernos conscientes de esto."
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26767445,16,3.0,Mateila,2019-04-10T11:30:26+00:00,2,46,#3 #8 Comerte una buena polla no te hace menos hombre.
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26766740,15,14.0,--32677--,2019-04-10T10:20:29+00:00,0,19,#14 y la cinta rosa como diadema sujetando mi #pelaso
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26766731,14,,--389808--,2019-04-10T10:19:35+00:00,1,26,"Yo me imagino a @karmo con unos pantalones de yoga, ahí, marcando paquete......"
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26766670,13,8.0,skaworld,2019-04-10T10:12:12+00:00,6,83,#8 Yo aqui lo que deduzco es que llevas toda la vida pensando que eres marica y al final resulta que simplemente te gusta el pilates.
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26766606,12,,--555900--,2019-04-10T10:05:57+00:00,0,8,Hay más idiotas que botellines...
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26766559,11,1.0,sotillo,2019-04-10T09:59:22+00:00,0,9,"#1 Un religioso y un abogado conservador, lo dice todo"
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26766515,10,,IkkiFenix,2019-04-10T09:55:53+00:00,1,32,"Maksimenko calificó a Dvorkin de pseudo-sanador y explica que “tiene una visión arcaica del mundo. Vivimos en un país democrático y la gente puede hacer lo que quiera dentro de la ley. El mundo entero está haciendo yoga y no causa ningún daño a nadie. Y no va a hacer que nadie sea gay, pero incluso si lo hace, tenemos democracia en nuestro país y todos tenemos el derecho de elegir nuestro propio camino” Bueno, eso de democratico no se hasta que punto es cierto..."
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26766449,9,5.0,Pointman,2019-04-10T09:50:13+00:00,1,20,"#5 Ya se sabe, el roce hace el cariño. En este caso es un roce un poco bruto, pero allá cada uno..."
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26766437,8,6.0,--32677--,2019-04-10T09:49:08+00:00,4,65,"#6 los reprimidos son los más viciosos. Ya te lo digo yo, que de esto algo se. 

#3"
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26766436,7,,hazardum,2019-04-10T09:49:08+00:00,0,7,"Es que los pantalones de yoga son muy sexys, y todos los presos ahí, sólitos.... {troll}

Que disparates por el mundo...."
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26766425,6,3.0,--4520--,2019-04-10T09:48:16+00:00,2,46,"#3 Mira @karmo, y luego te rehuye {troll}"
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26766421,5,2.0,--4520--,2019-04-10T09:47:43+00:00,1,28,"#2 En Rusia son más de sambo, que es como darse amor, pero a lo ruso
https://youtu.be/EwsEzMg3HhU"
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26766403,4,,Gry,2019-04-10T09:46:16+00:00,0,12,Seguro al 100% que es gay y no quiere aceptarse a si mismo...
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26766384,3,,skaworld,2019-04-10T09:44:18+00:00,3,47,"Hay que andarse con cuidado, no es ni la primera ni la segunda vez que intento ir al gimnasio a clases de yoga y puff aparezco en una sauna gay comiendome un manojo de pollas."
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26766371,2,,Pointman,2019-04-10T09:42:22+00:00,1,11,"Que hagan wrestling o lucha grecorromana, que es más de machos."
lgtbi,https://www.meneame.net/story/detienen-clases-yoga-carceles-rusas-crear-presos-homosexuales,3111028,26766296,1,,Ze7eN,2019-04-10T09:37:42+00:00,1,31,#noeselmundotoday
